dataset, numInstances, numAttributes, attEvalMethod, pasMethod, evalSupport, evalConfidence, numAttributesToSelect, entropy, huffman, cutoffThreshold, variablesThreshold, classifier, support, confidence, l2ResampleSizeRatio, l2ClassRatio, l2ClassRepeat, experimentID, l2ClassExperimentIteration, errorRate, errorRateVariance, precision, precisionVariance, recall, recallVariance, fMeasure, fMeasureVariance, weightedAreaUnderROC, weightedAreaUnderROCVariance, areaUnderROC0, areaUnderROC0Variance, areaUnderROC1, areaUnderROC1Variance, minOcc, addDefaultRule, minOccPercent, numGeneratedRules, numGeneratedRulesPercent, expectedRuleLength, averageRuleLength, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPercent
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 1, false, 0.041666666666666664, 7, 0.2916666666666667, , , 1.0, 1.0, 1.25, 0.3125, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 1, true, 0.041666666666666664, 7, 0.2916666666666667, , , 1.0, 1.0, 1.25, 0.3125, 0.0
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 2, false, 0.08333333333333333, 6, 0.25, , , 0.9583333333333334, 1.0, 1.375, 0.34375, 0.041666666666666664
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 2, true, 0.08333333333333333, 6, 0.25, , , 0.9583333333333334, 1.0, 1.375, 0.34375, 0.041666666666666664
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 3, false, 0.125, 5, 0.20833333333333334, , , 0.9166666666666666, 1.0, 1.5, 0.375, 0.08333333333333333
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 3, true, 0.125, 5, 0.20833333333333334, , , 0.9166666666666666, 1.0, 1.5, 0.375, 0.08333333333333333
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 4, false, 0.16666666666666666, 3, 0.125, , , 0.875, 1.0, 1.75, 0.4375, 0.125
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 4, true, 0.16666666666666666, 3, 0.125, , , 0.875, 1.0, 1.75, 0.4375, 0.125
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 5, false, 0.20833333333333334, 3, 0.125, , , 0.875, 1.0, 1.5833333333333333, 0.3958333333333333, 0.125
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 5, true, 0.20833333333333334, 3, 0.125, , , 0.875, 1.0, 1.5833333333333333, 0.3958333333333333, 0.125
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 6, false, 0.25, 3, 0.125, , , 0.875, 1.0, 1.375, 0.34375, 0.125
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 6, true, 0.25, 3, 0.125, , , 0.875, 1.0, 1.375, 0.34375, 0.125
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 7, false, 0.2916666666666667, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 7, true, 0.2916666666666667, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 8, false, 0.3333333333333333, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 8, true, 0.3333333333333333, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 9, false, 0.375, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 9, true, 0.375, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 10, false, 0.4166666666666667, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 10, true, 0.4166666666666667, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 11, false, 0.4583333333333333, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 11, true, 0.4583333333333333, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 12, false, 0.5, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 12, true, 0.5, 2, 0.08333333333333333, , , 0.7083333333333334, 1.0, 1.875, 0.46875, 0.2916666666666667
contact-lenses, 24, 4, , , , , , , , , , ODRI_T, , , , , , , , , , , , , , , , , , , , , , 13, false, 0.5416666666666666, 0, 0.0, , , 0.0, 0.0, 4.0, 1.0, 0.0
