dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
autos, 205, 25, ODRI_T, 1, 0.004878048780487805, false, 0.16097560975609757, 0.8411755910662555, 0.8390243902439024, 0.8383553447488087, 0.890913414116875, 57, 0.2780487804878049, 0.9951219512195122, 1.0, 1.5414634146341464, 0.06165853658536585, 0.004878048780487805
autos, 205, 25, ODRI_T, 1, 0.004878048780487805, true, 0.16097560975609757, 0.8411755910662555, 0.8390243902439024, 0.8383553447488087, 0.890913414116875, 57, 0.2780487804878049, 0.9951219512195122, 1.0, 1.5414634146341464, 0.06165853658536585, 0.004878048780487805
autos, 205, 25, ODRI_T, 2, 0.00975609756097561, false, 0.1951219512195122, 0.8067286700285683, 0.8048780487804879, 0.804964038088115, 0.873435728295686, 46, 0.22439024390243903, 0.9853658536585366, 1.0, 1.9268292682926829, 0.07707317073170732, 0.014634146341463415
autos, 205, 25, ODRI_T, 2, 0.00975609756097561, true, 0.1951219512195122, 0.8067286700285683, 0.8048780487804879, 0.804964038088115, 0.873435728295686, 46, 0.22439024390243903, 0.9853658536585366, 1.0, 1.9268292682926829, 0.07707317073170732, 0.014634146341463415
autos, 205, 25, ODRI_T, 3, 0.014634146341463415, false, 0.23414634146341465, 0.7669889131603129, 0.7647058823529411, 0.7649915920923045, 0.8429920952243745, 43, 0.2097560975609756, 0.9560975609756097, 1.0, 2.848780487804878, 0.11395121951219511, 0.04390243902439024
autos, 205, 25, ODRI_T, 3, 0.014634146341463415, true, 0.23902439024390243, 0.7628209385232092, 0.7609756097560976, 0.761183444171303, 0.8427253613411672, 43, 0.2097560975609756, 0.9560975609756097, 1.0, 2.848780487804878, 0.11395121951219511, 0.04390243902439024
autos, 205, 25, ODRI_T, 4, 0.01951219512195122, false, 0.23902439024390243, 0.7620846831226901, 0.7574257425742574, 0.7586161134078904, 0.8377147174881623, 35, 0.17073170731707318, 0.9219512195121952, 1.0, 3.897560975609756, 0.15590243902439024, 0.07804878048780488
autos, 205, 25, ODRI_T, 4, 0.01951219512195122, true, 0.24390243902439024, 0.7607439218889795, 0.7560975609756098, 0.7574447883818872, 0.842081790959063, 35, 0.17073170731707318, 0.9219512195121952, 1.0, 3.897560975609756, 0.15590243902439024, 0.07804878048780488
autos, 205, 25, ODRI_T, 5, 0.024390243902439025, false, 0.23902439024390243, 0.7631856030599585, 0.7562189054726368, 0.7592678258954465, 0.8369102317251119, 32, 0.15609756097560976, 0.8829268292682927, 0.9902439024390244, 4.331707317073171, 0.17326829268292684, 0.1073170731707317
autos, 205, 25, ODRI_T, 5, 0.024390243902439025, true, 0.24878048780487805, 0.7589466779083268, 0.751219512195122, 0.7548432055749128, 0.8412886597420266, 33, 0.16097560975609757, 0.8926829268292683, 1.0, 4.087804878048781, 0.16351219512195123, 0.1073170731707317
autos, 205, 25, ODRI_T, 6, 0.02926829268292683, false, 0.3024390243902439, 0.6954124667769921, 0.696078431372549, 0.6941786836360936, 0.7980386418455023, 27, 0.13170731707317074, 0.848780487804878, 0.9853658536585366, 5.058536585365854, 0.20234146341463416, 0.13658536585365855
autos, 205, 25, ODRI_T, 6, 0.02926829268292683, true, 0.3024390243902439, 0.6968158137271009, 0.697560975609756, 0.6956309881465, 0.8004364274231794, 28, 0.13658536585365855, 0.8585365853658536, 1.0, 4.814634146341463, 0.19258536585365854, 0.14146341463414633
autos, 205, 25, ODRI_T, 7, 0.03414634146341464, false, 0.2926829268292683, 0.6959206937799043, 0.7, 0.6958148693411852, 0.794585991936934, 25, 0.12195121951219512, 0.8292682926829268, 0.9951219512195122, 5.487804878048781, 0.21951219512195125, 0.16585365853658537
autos, 205, 25, ODRI_T, 7, 0.03414634146341464, true, 0.3024390243902439, 0.6948432600884027, 0.697560975609756, 0.6938537797115281, 0.8006701057510975, 26, 0.12682926829268293, 0.8341463414634146, 1.0, 5.365853658536586, 0.21463414634146344, 0.16585365853658537
autos, 205, 25, ODRI_T, 8, 0.03902439024390244, false, 0.3073170731707317, 0.6794517749366781, 0.6752577319587629, 0.6702991945321382, 0.7723767963250563, 22, 0.1073170731707317, 0.824390243902439, 0.9951219512195122, 6.980487804878049, 0.279219512195122, 0.17073170731707318
autos, 205, 25, ODRI_T, 8, 0.03902439024390244, true, 0.35121951219512193, 0.6549345458580854, 0.6487804878048781, 0.6443574825694466, 0.769932967868308, 23, 0.11219512195121951, 0.8292682926829268, 1.0, 6.8585365853658535, 0.27434146341463417, 0.17073170731707318
autos, 205, 25, ODRI_T, 9, 0.04390243902439024, false, 0.2926829268292683, 0.6994606066519042, 0.6984924623115578, 0.69602753376389, 0.8002756943379773, 20, 0.0975609756097561, 0.7951219512195122, 0.9707317073170731, 8.760975609756098, 0.35043902439024394, 0.17560975609756097
autos, 205, 25, ODRI_T, 9, 0.04390243902439024, true, 0.3073170731707317, 0.6922816679779702, 0.6926829268292682, 0.6900419026021619, 0.8052136696990622, 21, 0.1024390243902439, 0.8146341463414634, 1.0, 8.273170731707317, 0.3309268292682927, 0.18536585365853658
autos, 205, 25, ODRI_T, 10, 0.04878048780487805, false, 0.33658536585365856, 0.6599695391658839, 0.6532663316582915, 0.6529167171665377, 0.771786857388629, 18, 0.08780487804878048, 0.7707317073170732, 1.0, 8.21951219512195, 0.328780487804878, 0.22926829268292684
autos, 205, 25, ODRI_T, 10, 0.04878048780487805, true, 0.35121951219512193, 0.6565110148348658, 0.6487804878048781, 0.6498880483457242, 0.776755073760691, 18, 0.08780487804878048, 0.7707317073170732, 1.0, 8.21951219512195, 0.328780487804878, 0.22926829268292684
autos, 205, 25, ODRI_T, 11, 0.05365853658536585, false, 0.32195121951219513, 0.6581417788268048, 0.6649746192893401, 0.6598236708522576, 0.7743757438655651, 16, 0.07804878048780488, 0.7560975609756098, 0.9853658536585366, 7.619512195121951, 0.30478048780487804, 0.22926829268292684
autos, 205, 25, ODRI_T, 11, 0.05365853658536585, true, 0.3463414634146341, 0.6430089591928907, 0.6536585365853659, 0.6473237602104955, 0.7765281570798568, 17, 0.08292682926829269, 0.7609756097560976, 1.0, 7.4975609756097565, 0.2999024390243903, 0.23902439024390243
autos, 205, 25, ODRI_T, 12, 0.05853658536585366, false, 0.34146341463414637, 0.6422224923902667, 0.6482412060301508, 0.6365455604661302, 0.7586839423562246, 15, 0.07317073170731707, 0.7365853658536585, 0.9463414634146341, 9.609756097560975, 0.38439024390243903, 0.2097560975609756
