dataset, numInstances, numAttributes, classifier, minOcc, minOccPC, addDefaultRule, errorRate, precision, recall, fMeasure, weightedAreaUnderROC, numGeneratedRules, numGeneratedRulesPC, correctPC, coverPC, expectedDimensionality, expectedDimensionalityPC, expectedErrorsPC
balance-scale, 625, 4, ODRI_T, 1, 0.0016, false, 0.2496, 0.7271407349497493, 0.7495987158908507, 0.7378167162481996, 0.7852878551953127, 60, 0.096, 0.8272, 1.0, 3.4768, 0.8692, 0.1728
balance-scale, 625, 4, ODRI_T, 1, 0.0016, true, 0.2496, 0.7271407349497493, 0.7495987158908507, 0.7378167162481996, 0.7852878551953127, 60, 0.096, 0.8272, 1.0, 3.4768, 0.8692, 0.1728
balance-scale, 625, 4, ODRI_T, 2, 0.0032, false, 0.2464, 0.7351753327316556, 0.7536, 0.7428433448787729, 0.7905976961754039, 51, 0.0816, 0.8208, 0.9984, 3.4336, 0.8584, 0.1776
balance-scale, 625, 4, ODRI_T, 2, 0.0032, true, 0.2464, 0.7351753327316556, 0.7536, 0.7428433448787729, 0.7905976961754039, 52, 0.0832, 0.8224, 1.0, 3.4272, 0.8568, 0.1776
balance-scale, 625, 4, ODRI_T, 3, 0.0048, false, 0.248, 0.7292585777907876, 0.7516025641025641, 0.7398221743230499, 0.7875831795759466, 50, 0.08, 0.8208, 1.0, 3.448, 0.862, 0.1792
balance-scale, 625, 4, ODRI_T, 3, 0.0048, true, 0.248, 0.7292585777907876, 0.7516025641025641, 0.7398221743230499, 0.7875831795759466, 50, 0.08, 0.8208, 1.0, 3.448, 0.862, 0.1792
balance-scale, 625, 4, ODRI_T, 4, 0.0064, false, 0.2416, 0.7326295499372423, 0.7580128205128205, 0.7435158126926763, 0.7898030457808171, 46, 0.0736, 0.816, 1.0, 3.3872, 0.8468, 0.184
balance-scale, 625, 4, ODRI_T, 4, 0.0064, true, 0.2416, 0.7326295499372423, 0.7580128205128205, 0.7435158126926763, 0.7898030457808171, 46, 0.0736, 0.816, 1.0, 3.3872, 0.8468, 0.184
balance-scale, 625, 4, ODRI_T, 5, 0.008, false, 0.2464, 0.7133914209751322, 0.752411575562701, 0.7316166794538413, 0.7789098685891421, 43, 0.0688, 0.8144, 1.0, 3.3712, 0.8428, 0.1856
balance-scale, 625, 4, ODRI_T, 5, 0.008, true, 0.2464, 0.7146292397660818, 0.7536, 0.7328443486295042, 0.7813633366303989, 43, 0.0688, 0.8144, 1.0, 3.3712, 0.8428, 0.1856
balance-scale, 625, 4, ODRI_T, 6, 0.0096, false, 0.2368, 0.7294032591993018, 0.7632, 0.7447823834631767, 0.7914966617210683, 40, 0.064, 0.8112, 1.0, 3.3616, 0.8404, 0.1888
balance-scale, 625, 4, ODRI_T, 6, 0.0096, true, 0.2368, 0.7294032591993018, 0.7632, 0.7447823834631767, 0.7914966617210683, 40, 0.064, 0.8112, 1.0, 3.3616, 0.8404, 0.1888
balance-scale, 625, 4, ODRI_T, 7, 0.0112, false, 0.2384, 0.7248068734087705, 0.7612179487179487, 0.742541056159029, 0.7904171402235664, 38, 0.0608, 0.8176, 1.0, 3.288, 0.822, 0.1824
balance-scale, 625, 4, ODRI_T, 7, 0.0112, true, 0.2384, 0.7252258902223097, 0.7616, 0.7429431624593464, 0.7912442301351796, 38, 0.0608, 0.8176, 1.0, 3.288, 0.822, 0.1824
balance-scale, 625, 4, ODRI_T, 8, 0.0128, false, 0.2304, 0.7243515561742042, 0.7681159420289855, 0.7454459720840936, 0.7916023496636302, 37, 0.0592, 0.816, 1.0, 3.2864, 0.8216, 0.184
balance-scale, 625, 4, ODRI_T, 8, 0.0128, true, 0.2368, 0.7247486831812257, 0.7632, 0.7433317873070325, 0.7914966617210683, 37, 0.0592, 0.816, 1.0, 3.2864, 0.8216, 0.184
balance-scale, 625, 4, ODRI_T, 9, 0.0144, false, 0.2304, 0.7193803932288043, 0.7688603531300161, 0.7426911892284478, 0.789646883214549, 36, 0.0576, 0.8144, 1.0, 3.28, 0.82, 0.1856
balance-scale, 625, 4, ODRI_T, 9, 0.0144, true, 0.2336, 0.7194684994272623, 0.7664, 0.7416587625723863, 0.7895390290141773, 36, 0.0576, 0.8144, 1.0, 3.28, 0.82, 0.1856
balance-scale, 625, 4, ODRI_T, 10, 0.016, false, 0.2352, 0.7158954502301578, 0.7644230769230769, 0.739323576092289, 0.7872116157365137, 32, 0.0512, 0.8048, 1.0, 3.2768, 0.8192, 0.1952
balance-scale, 625, 4, ODRI_T, 10, 0.016, true, 0.2368, 0.7148092739888305, 0.7632, 0.7381885845779002, 0.7865716699637323, 32, 0.0512, 0.8048, 1.0, 3.2768, 0.8192, 0.1952
balance-scale, 625, 4, ODRI_T, 11, 0.0176, false, 0.2448, 0.6947227486637848, 0.7540192926045016, 0.7230240056844236, 0.7704930087101901, 29, 0.0464, 0.8064, 0.9856, 3.256, 0.814, 0.1792
balance-scale, 625, 4, ODRI_T, 11, 0.0176, true, 0.248, 0.6931549434333497, 0.752, 0.721246172280655, 0.7700296735905044, 30, 0.048, 0.8112, 1.0, 3.2368, 0.8092, 0.1888
balance-scale, 625, 4, ODRI_T, 12, 0.0192, false, 0.2416, 0.703830425660427, 0.7572347266881029, 0.7292850853382473, 0.776394713086382, 29, 0.0464, 0.7904, 0.9712, 3.2512, 0.8128, 0.1808
balance-scale, 625, 4, ODRI_T, 12, 0.0192, true, 0.2432, 0.7025603424273277, 0.7568, 0.728377149304838, 0.7769432080448402, 30, 0.048, 0.8, 1.0, 3.2128, 0.8032, 0.2
balance-scale, 625, 4, ODRI_T, 13, 0.0208, false, 0.2288, 0.7134879136795464, 0.7689822294022617, 0.7397979477716569, 0.7852560479049251, 26, 0.0416, 0.7952, 0.9856, 3.1808, 0.7952, 0.1904
balance-scale, 625, 4, ODRI_T, 13, 0.0208, true, 0.2288, 0.7161847484407484, 0.7712, 0.7422701378801762, 0.790296323771843, 27, 0.0432, 0.8, 1.0, 3.1616, 0.7904, 0.2
balance-scale, 625, 4, ODRI_T, 14, 0.0224, false, 0.2128, 0.7296046671868877, 0.7830342577487766, 0.7551335776100088, 0.7965230353885939, 26, 0.0416, 0.7936, 0.9776, 3.1792, 0.7948, 0.184
balance-scale, 625, 4, ODRI_T, 14, 0.0224, true, 0.224, 0.7199282749460402, 0.776, 0.7468315389769936, 0.7947473623475108, 27, 0.0432, 0.8048, 1.0, 3.1344, 0.7836, 0.1952
balance-scale, 625, 4, ODRI_T, 15, 0.024, false, 0.208, 0.7276107592664202, 0.7893030794165316, 0.7566047967363081, 0.8004007010138611, 26, 0.0416, 0.7936, 0.9776, 3.1792, 0.7948, 0.184
balance-scale, 625, 4, ODRI_T, 15, 0.024, true, 0.2112, 0.7280024653312789, 0.7888, 0.7565891588536029, 0.8041543026706232, 27, 0.0432, 0.8048, 1.0, 3.1344, 0.7836, 0.1952
balance-scale, 625, 4, ODRI_T, 16, 0.0256, false, 0.1968, 0.7365562215428019, 0.7986906710310966, 0.7660518768783889, 0.8063708086525577, 24, 0.0384, 0.8016, 0.9808, 3.0224, 0.7556, 0.1792
balance-scale, 625, 4, ODRI_T, 16, 0.0256, true, 0.2048, 0.7355960132890366, 0.7952, 0.7640207386790615, 0.8113202687108473, 25, 0.04, 0.8176, 1.0, 2.9584, 0.7396, 0.1824
balance-scale, 625, 4, ODRI_T, 17, 0.0272, false, 0.1968, 0.7391211251551973, 0.8009708737864077, 0.7685996257766093, 0.8121612571849889, 24, 0.0384, 0.7984, 1.0, 3.0048, 0.7512, 0.2016
