dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
ecoli, 336, 7, CHI, , , 1, 1.0, NB, , , 0.3333333333333333, 0.53769570299668, 0.6666666666666666, 0.5930999948710736
ecoli, 336, 7, CHI, , , 2, 1.9499669311880359, NB, , , 0.21726190476190477, 0.7538735060080285, 0.7827380952380952, 0.7632205828534725
ecoli, 336, 7, CHI, , , 3, 2.9188904130171625, NB, , , 0.20833333333333334, 0.7930509388886394, 0.7916666666666666, 0.7882208279089566
ecoli, 336, 7, CHI, , , 4, 3.8878608649453974, NB, , , 0.16071428571428573, 0.8427003971932365, 0.8392857142857143, 0.8357873548141475
ecoli, 336, 7, CHI, , , 5, 4.8457499811131095, NB, , , 0.14583333333333334, 0.8616752314188032, 0.8541666666666666, 0.8522127167303476
ecoli, 336, 7, CHI, , , 6, 5.766206273524683, NB, , , 0.14583333333333334, 0.8612909463453844, 0.8541666666666666, 0.8537492774707474
ecoli, 336, 7, CHI, , , 7, 5.766206273524683, NB, , , 0.14583333333333334, 0.8612909463453844, 0.8541666666666666, 0.8537492774707474
ecoli, 336, 7, IG, , , 1, 1.0, NB, , , 0.3333333333333333, 0.53769570299668, 0.6666666666666666, 0.5930999948710736
ecoli, 336, 7, IG, , , 2, 1.9674991335532976, NB, , , 0.3541666666666667, 0.5848771262726479, 0.6458333333333334, 0.6091629308580991
ecoli, 336, 7, IG, , , 3, 2.926016012727504, NB, , , 0.20833333333333334, 0.7930509388886394, 0.7916666666666666, 0.7882208279089566
ecoli, 336, 7, IG, , , 4, 3.798636234102817, NB, , , 0.21428571428571427, 0.775609352395586, 0.7857142857142857, 0.7773883666120769
ecoli, 336, 7, IG, , , 5, 4.637528238572742, NB, , , 0.15476190476190477, 0.8514318140132062, 0.8452380952380952, 0.845142348926972
ecoli, 336, 7, IG, , , 6, 5.170613189620475, NB, , , 0.14583333333333334, 0.8612909463453844, 0.8541666666666666, 0.8537492774707474
ecoli, 336, 7, IG, , , 7, 5.170613189620475, NB, , , 0.14583333333333334, 0.8612909463453844, 0.8541666666666666, 0.8537492774707474
ecoli, 336, 7, L2, , , 1, 1.0, NB, , , 0.3333333333333333, 0.53769570299668, 0.6666666666666666, 0.5930999948710736
ecoli, 336, 7, L2, , , 2, 1.9926127618946325, NB, , , 0.3541666666666667, 0.5848771262726479, 0.6458333333333334, 0.6091629308580991
ecoli, 336, 7, L2, , , 3, 2.953459096370982, NB, , , 0.20833333333333334, 0.7930509388886394, 0.7916666666666666, 0.7882208279089566
ecoli, 336, 7, L2, , , 4, 3.8202072519099617, NB, , , 0.21428571428571427, 0.775609352395586, 0.7857142857142857, 0.7773883666120769
ecoli, 336, 7, L2, , , 5, 4.478126531965495, NB, , , 0.15476190476190477, 0.8514318140132062, 0.8452380952380952, 0.845142348926972
ecoli, 336, 7, L2, , , 6, 4.54764004696874, NB, , , 0.14583333333333334, 0.8612909463453844, 0.8541666666666666, 0.8537492774707474
ecoli, 336, 7, L2, , , 7, 4.54764004696874, NB, , , 0.14583333333333334, 0.8612909463453844, 0.8541666666666666, 0.8537492774707474
