dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
labor, 57, 16, CHI, , , 1, 1.0, NB, , , 0.22807017543859648, 0.7824965226365146, 0.7719298245614035, 0.7750673769257732
labor, 57, 16, CHI, , , 2, 1.9571782744308688, NB, , , 0.17543859649122806, 0.8245614035087719, 0.8245614035087719, 0.8245614035087719
labor, 57, 16, CHI, , , 3, 2.909363027624962, NB, , , 0.15789473684210525, 0.8407202216066483, 0.8421052631578947, 0.8411336032388664
labor, 57, 16, CHI, , , 4, 3.80706036471884, NB, , , 0.17543859649122806, 0.8245614035087719, 0.8245614035087719, 0.8245614035087719
labor, 57, 16, CHI, , , 5, 4.721667492174987, NB, , , 0.10526315789473684, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632
labor, 57, 16, CHI, , , 6, 5.600025352012646, NB, , , 0.10526315789473684, 0.8944369470685261, 0.8947368421052632, 0.8933518005540168
labor, 57, 16, CHI, , , 7, 6.454617650664227, NB, , , 0.07017543859649122, 0.9298245614035088, 0.9298245614035088, 0.9298245614035088
labor, 57, 16, CHI, , , 8, 7.256220350839533, NB, , , 0.08771929824561403, 0.9138123085491505, 0.9122807017543859, 0.9127496321826953
labor, 57, 16, CHI, , , 9, 7.979159855808696, NB, , , 0.10526315789473684, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632
labor, 57, 16, CHI, , , 10, 8.660805017855585, NB, , , 0.08771929824561403, 0.9138123085491505, 0.9122807017543859, 0.9127496321826953
labor, 57, 16, CHI, , , 11, 9.254692201014162, NB, , , 0.10526315789473684, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632
labor, 57, 16, CHI, , , 12, 9.820964169803371, NB, , , 0.12280701754385964, 0.8790726817042606, 0.8771929824561403, 0.8778494850557734
labor, 57, 16, CHI, , , 13, 10.308899287694556, NB, , , 0.12280701754385964, 0.8790726817042606, 0.8771929824561403, 0.8778494850557734
labor, 57, 16, CHI, , , 14, 10.747497898389845, NB, , , 0.12280701754385964, 0.8790726817042606, 0.8771929824561403, 0.8778494850557734
labor, 57, 16, CHI, , , 15, 10.747497898389845, NB, , , 0.08771929824561403, 0.9138123085491505, 0.9122807017543859, 0.9127496321826953
labor, 57, 16, CHI, , , 16, 10.747497898389845, NB, , , 0.10526315789473684, 0.8991114149008885, 0.8947368421052632, 0.8957811194653301
labor, 57, 16, IG, , , 1, 1.0, NB, , , 0.22807017543859648, 0.7824965226365146, 0.7719298245614035, 0.7750673769257732
labor, 57, 16, IG, , , 2, 1.9527368930461786, NB, , , 0.17543859649122806, 0.8245614035087719, 0.8245614035087719, 0.8245614035087719
labor, 57, 16, IG, , , 3, 2.9001763877325177, NB, , , 0.15789473684210525, 0.8407202216066483, 0.8421052631578947, 0.8411336032388664
labor, 57, 16, IG, , , 4, 3.821296312741427, NB, , , 0.17543859649122806, 0.8245614035087719, 0.8245614035087719, 0.8245614035087719
labor, 57, 16, IG, , , 5, 4.723675318651102, NB, , , 0.10526315789473684, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632
labor, 57, 16, IG, , , 6, 5.626317823393614, NB, , , 0.10526315789473684, 0.8944369470685261, 0.8947368421052632, 0.8933518005540168
labor, 57, 16, IG, , , 7, 6.467572895941576, NB, , , 0.07017543859649122, 0.9298245614035088, 0.9298245614035088, 0.9298245614035088
labor, 57, 16, IG, , , 8, 7.265677018504038, NB, , , 0.08771929824561403, 0.9138123085491505, 0.9122807017543859, 0.9127496321826953
labor, 57, 16, IG, , , 9, 7.983829547027068, NB, , , 0.10526315789473684, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632
