dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
audiology, 226, 69, CHI, , , 1, 1.0, NB, , , 0.6946902654867256, 0.10356089338390223, 0.3053097345132743, 0.15308164746973293
audiology, 226, 69, CHI, , , 2, 1.7406922676604275, NB, , , 0.6814159292035398, 0.19412671791525632, 0.3185840707964602, 0.23873734284410927
audiology, 226, 69, CHI, , , 3, 2.5184268289318847, NB, , , 0.6814159292035398, 0.19246532156368223, 0.3185840707964602, 0.23730072862987428
audiology, 226, 69, CHI, , , 4, 3.348427960157609, NB, , , 0.672566371681416, 0.17942477876106197, 0.3274336283185841, 0.23114201432785506
audiology, 226, 69, CHI, , , 5, 4.21444734946251, NB, , , 0.672566371681416, 0.1802666614456888, 0.3274336283185841, 0.23188815349148512
audiology, 226, 69, CHI, , , 6, 5.106247131370681, NB, , , 0.6769911504424779, 0.1816250813989416, 0.3230088495575221, 0.23168341764740835
audiology, 226, 69, CHI, , , 7, 6.017095578461067, NB, , , 0.6769911504424779, 0.18759853272637525, 0.3230088495575221, 0.23478650924607514
audiology, 226, 69, CHI, , , 8, 6.924276948021215, NB, , , 0.4778761061946903, 0.30540269683367816, 0.5221238938053098, 0.37864026930246025
audiology, 226, 69, CHI, , , 9, 7.822009384866265, NB, , , 0.4557522123893805, 0.3367125735217978, 0.5442477876106194, 0.4075248095607607
audiology, 226, 69, CHI, , , 10, 8.718996825071924, NB, , , 0.46017699115044247, 0.34964190162584896, 0.5398230088495575, 0.41010105058777624
audiology, 226, 69, CHI, , , 11, 9.61279024362715, NB, , , 0.4690265486725664, 0.4246055157559582, 0.5309734513274337, 0.45398719835180973
audiology, 226, 69, CHI, , , 12, 10.506254607277302, NB, , , 0.415929203539823, 0.4911313829830541, 0.584070796460177, 0.5125097225497813
audiology, 226, 69, CHI, , , 13, 11.394269345138213, NB, , , 0.3008849557522124, 0.6234021305847149, 0.6991150442477876, 0.6497997451865436
audiology, 226, 69, CHI, , , 14, 12.290906460151547, NB, , , 0.3141592920353982, 0.6200570506665283, 0.6858407079646017, 0.6391494442749511
audiology, 226, 69, CHI, , , 15, 13.154424938049344, NB, , , 0.3274336283185841, 0.6013489131268285, 0.672566371681416, 0.6214767298382385
audiology, 226, 69, CHI, , , 16, 14.016398072356962, NB, , , 0.3407079646017699, 0.5944340514321883, 0.6592920353982301, 0.6165215350669058
audiology, 226, 69, CHI, , , 17, 14.80608678171818, NB, , , 0.34513274336283184, 0.5900864731436554, 0.6548672566371682, 0.6118900454555954
audiology, 226, 69, CHI, , , 18, 15.604662245150804, NB, , , 0.34513274336283184, 0.6015992578283079, 0.6548672566371682, 0.6130983280028545
audiology, 226, 69, CHI, , , 19, 16.411586820969273, NB, , , 0.3407079646017699, 0.6030126172873765, 0.6592920353982301, 0.6157698925378353
audiology, 226, 69, CHI, , , 20, 17.22636400216093, NB, , , 0.3407079646017699, 0.6010657146325094, 0.6592920353982301, 0.6146892805184826
audiology, 226, 69, CHI, , , 21, 18.04693287142434, NB, , , 0.34513274336283184, 0.5973564173387536, 0.6548672566371682, 0.6106593302069537
audiology, 226, 69, CHI, , , 22, 18.871759772033062, NB, , , 0.33185840707964603, 0.5982698149318725, 0.668141592920354, 0.6206044484878519
audiology, 226, 69, CHI, , , 23, 19.7003253047851, NB, , , 0.30973451327433627, 0.6371366194636033, 0.6902654867256637, 0.6527337433831286
audiology, 226, 69, CHI, , , 24, 20.52243699024309, NB, , , 0.3008849557522124, 0.64207485698467, 0.6991150442477876, 0.658919941659564
audiology, 226, 69, CHI, , , 25, 21.270850451126645, NB, , , 0.29646017699115046, 0.650924414506794, 0.7035398230088495, 0.6648196466743133
audiology, 226, 69, CHI, , , 26, 22.015045679959776, NB, , , 0.3008849557522124, 0.6449807293861498, 0.6991150442477876, 0.6573380509356693
audiology, 226, 69, CHI, , , 27, 22.762340926262, NB, , , 0.3008849557522124, 0.6431789749762626, 0.6991150442477876, 0.6581131218890279
audiology, 226, 69, CHI, , , 28, 23.511801356503003, NB, , , 0.3008849557522124, 0.6437633527549813, 0.6991150442477876, 0.6592369668737158
audiology, 226, 69, CHI, , , 29, 24.211504986373182, NB, , , 0.29646017699115046, 0.6477518104654036, 0.7035398230088495, 0.6630834062446588
audiology, 226, 69, CHI, , , 30, 24.834814521205296, NB, , , 0.29646017699115046, 0.6455325715821466, 0.7035398230088495, 0.661114136576274
audiology, 226, 69, CHI, , , 31, 25.458303410622044, NB, , , 0.28761061946902655, 0.6525656409813082, 0.7123893805309734, 0.6703796989391815
audiology, 226, 69, CHI, , , 32, 26.043900862080708, NB, , , 0.28761061946902655, 0.6526079833617968, 0.7123893805309734, 0.6704602621379124
audiology, 226, 69, CHI, , , 33, 26.626353071730033, NB, , , 0.2743362831858407, 0.6651095659502738, 0.7256637168141593, 0.6847470181204905
audiology, 226, 69, CHI, , , 34, 27.20933894473533, NB, , , 0.25663716814159293, 0.6794851638087511, 0.7433628318584071, 0.7000374167620963
audiology, 226, 69, CHI, , , 35, 27.78316954748289, NB, , , 0.25663716814159293, 0.6794851638087511, 0.7433628318584071, 0.7000374167620963
audiology, 226, 69, CHI, , , 36, 28.308502477694745, NB, , , 0.25663716814159293, 0.6794851638087511, 0.7433628318584071, 0.7000374167620963
audiology, 226, 69, CHI, , , 37, 28.829967017015512, NB, , , 0.252212389380531, 0.685147176497758, 0.7477876106194691, 0.7047195106813178
