dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
balance-scale, 625, 4, CHI, , , 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, CHI, , , 2, 2.0, NB, , , 0.296, 0.6490386885245902, 0.704, 0.6753059376941511
balance-scale, 625, 4, CHI, , , 3, 3.0, NB, , , 0.224, 0.7155090584834881, 0.776, 0.7443560555879171
balance-scale, 625, 4, CHI, , , 4, 4.0, NB, , , 0.096, 0.8331308921110838, 0.904, 0.8671192811980034
balance-scale, 625, 4, IG, , , 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, IG, , , 2, 2.0, NB, , , 0.2944, 0.6504564931473172, 0.7056, 0.6768547133704966
balance-scale, 625, 4, IG, , , 3, 3.0000000000000004, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, IG, , , 4, 4.0, NB, , , 0.096, 0.8331308921110838, 0.904, 0.8671192811980034
balance-scale, 625, 4, L2, , , 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, L2, , , 2, 2.0, NB, , , 0.296, 0.6490386885245902, 0.704, 0.6753059376941511
balance-scale, 625, 4, L2, , , 3, 3.0, NB, , , 0.224, 0.7155090584834881, 0.776, 0.7443560555879171
balance-scale, 625, 4, L2, , , 4, 4.0, NB, , , 0.096, 0.8331308921110838, 0.904, 0.8671192811980034
balance-scale, 625, 4, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.03, 0.8, 1, NaN, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.05, 0.8, 1, NaN, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.08, 0.8, 1, NaN, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.1, 0.8, 1, NaN, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.15, 0.8, 1, NaN, NB, , , 0.3648, 0.5916672000000001, 0.6352, 0.6064292015004458
balance-scale, 625, 4, PAS, 0.03, 0.2, 2, 2.0, NB, , , 0.2944, 0.6504564931473172, 0.7056, 0.6768547133704966
balance-scale, 625, 4, PAS, 0.03, 0.3, 2, 2.0, NB, , , 0.2944, 0.6504564931473172, 0.7056, 0.6768547133704966
balance-scale, 625, 4, PAS, 0.03, 0.6, 2, 2.0, NB, , , 0.2944, 0.6504564931473172, 0.7056, 0.6768547133704966
balance-scale, 625, 4, PAS, 0.03, 0.8, 2, NaN, NB, , , 0.296, 0.6490386885245902, 0.704, 0.6753059376941511
balance-scale, 625, 4, PAS, 0.05, 0.2, 2, 2.0, NB, , , 0.32, 0.6267117866360767, 0.68, 0.652235576016418
balance-scale, 625, 4, PAS, 0.05, 0.3, 2, 2.0, NB, , , 0.32, 0.6267117866360767, 0.68, 0.652235576016418
balance-scale, 625, 4, PAS, 0.05, 0.6, 2, 2.0, NB, , , 0.32, 0.6267117866360767, 0.68, 0.652235576016418
balance-scale, 625, 4, PAS, 0.05, 0.8, 2, NaN, NB, , , 0.296, 0.6490386885245902, 0.704, 0.6753059376941511
balance-scale, 625, 4, PAS, 0.08, 0.2, 2, 2.0, NB, , , 0.32, 0.6267117866360767, 0.68, 0.652235576016418
balance-scale, 625, 4, PAS, 0.08, 0.3, 2, 2.0, NB, , , 0.32, 0.6267117866360767, 0.68, 0.652235576016418
balance-scale, 625, 4, PAS, 0.08, 0.6, 2, 2.0, NB, , , 0.32, 0.6267117866360767, 0.68, 0.652235576016418
balance-scale, 625, 4, PAS, 0.08, 0.8, 2, NaN, NB, , , 0.296, 0.6490386885245902, 0.704, 0.6753059376941511
balance-scale, 625, 4, PAS, 0.1, 0.2, 2, 1.9843323448732597, NB, , , 0.3088, 0.6370270967741936, 0.6912, 0.6629982129486348
balance-scale, 625, 4, PAS, 0.1, 0.3, 2, 1.9843323448732597, NB, , , 0.3088, 0.6370270967741936, 0.6912, 0.6629982129486348
balance-scale, 625, 4, PAS, 0.1, 0.6, 2, 2.0, NB, , , 0.3088, 0.6370270967741936, 0.6912, 0.6629982129486348
balance-scale, 625, 4, PAS, 0.1, 0.8, 2, NaN, NB, , , 0.296, 0.6490386885245902, 0.704, 0.6753059376941511
balance-scale, 625, 4, PAS, 0.15, 0.2, 2, 1.9086308837396757, NB, , , 0.2944, 0.6504564931473172, 0.7056, 0.6768547133704966
balance-scale, 625, 4, PAS, 0.15, 0.3, 2, 1.9086308837396757, NB, , , 0.2944, 0.6504564931473172, 0.7056, 0.6768547133704966
balance-scale, 625, 4, PAS, 0.15, 0.6, 2, 1.9086308837396757, NB, , , 0.2944, 0.6504564931473172, 0.7056, 0.6768547133704966
balance-scale, 625, 4, PAS, 0.15, 0.8, 2, NaN, NB, , , 0.296, 0.6490386885245902, 0.704, 0.6753059376941511
balance-scale, 625, 4, PAS, 0.03, 0.2, 3, 2.993076417467481, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.03, 0.3, 3, 2.993076417467481, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.03, 0.6, 3, 2.9864194874046954, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.03, 0.8, 3, NaN, NB, , , 0.224, 0.7155090584834881, 0.776, 0.7443560555879171
balance-scale, 625, 4, PAS, 0.05, 0.2, 3, 2.9632433694710647, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.05, 0.3, 3, 2.9632433694710647, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.05, 0.6, 3, 2.961248382552377, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.05, 0.8, 3, NaN, NB, , , 0.224, 0.7155090584834881, 0.776, 0.7443560555879171
balance-scale, 625, 4, PAS, 0.08, 0.2, 3, 2.900581675505175, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.08, 0.3, 3, 2.900581675505175, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
balance-scale, 625, 4, PAS, 0.08, 0.6, 3, 2.8057056375266067, NB, , , 0.2288, 0.7108428530460076, 0.7712, 0.7397540939597317
balance-scale, 625, 4, PAS, 0.08, 0.8, 3, NaN, NB, , , 0.224, 0.7155090584834881, 0.776, 0.7443560555879171
balance-scale, 625, 4, PAS, 0.1, 0.2, 3, 2.8493224181083274, NB, , , 0.2176, 0.7211881519111802, 0.7824, 0.7505092462144324
