dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
breast-cancer, 286, 9, CHI, , , 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, CHI, , , 2, 1.9977099683504724, NB, , , 0.24825174825174826, 0.7377089374040594, 0.7517482517482518, 0.7195588304313136
breast-cancer, 286, 9, CHI, , , 3, 2.965022399395742, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, CHI, , , 4, 3.9043476944000144, NB, , , 0.2727272727272727, 0.7103320197490601, 0.7272727272727273, 0.7140779287005703
breast-cancer, 286, 9, CHI, , , 5, 4.703543317534302, NB, , , 0.2762237762237762, 0.7127134936714375, 0.7237762237762237, 0.7166666040582086
breast-cancer, 286, 9, CHI, , , 6, 5.18321840983154, NB, , , 0.2762237762237762, 0.7142687119102215, 0.7237762237762237, 0.7178998381428826
breast-cancer, 286, 9, CHI, , , 7, 5.639208861019298, NB, , , 0.2762237762237762, 0.7112123987123987, 0.7237762237762237, 0.7153786107139554
breast-cancer, 286, 9, CHI, , , 8, 5.831188723527659, NB, , , 0.2727272727272727, 0.7142553566115979, 0.7272727272727273, 0.7183247374634936
breast-cancer, 286, 9, CHI, , , 9, 5.996880098555256, NB, , , 0.28321678321678323, 0.7037129537129537, 0.7167832167832168, 0.7081730059219036
breast-cancer, 286, 9, IG, , , 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, IG, , , 2, 1.9969874279049866, NB, , , 0.24825174825174826, 0.7377089374040594, 0.7517482517482518, 0.7195588304313136
breast-cancer, 286, 9, IG, , , 3, 2.978083186480983, NB, , , 0.2867132867132867, 0.6917693670474975, 0.7132867132867133, 0.6961114560413625
breast-cancer, 286, 9, IG, , , 4, 3.9505244894845966, NB, , , 0.2727272727272727, 0.7103320197490601, 0.7272727272727273, 0.7140779287005703
breast-cancer, 286, 9, IG, , , 5, 4.733724810273312, NB, , , 0.2762237762237762, 0.7127134936714375, 0.7237762237762237, 0.7166666040582086
breast-cancer, 286, 9, IG, , , 6, 5.230783729683164, NB, , , 0.2762237762237762, 0.7142687119102215, 0.7237762237762237, 0.7178998381428826
breast-cancer, 286, 9, IG, , , 7, 5.690512362263406, NB, , , 0.2762237762237762, 0.7112123987123987, 0.7237762237762237, 0.7153786107139554
breast-cancer, 286, 9, IG, , , 8, 5.883837263394819, NB, , , 0.2727272727272727, 0.7142553566115979, 0.7272727272727273, 0.7183247374634936
breast-cancer, 286, 9, IG, , , 9, 6.050629864117444, NB, , , 0.28321678321678323, 0.7037129537129537, 0.7167832167832168, 0.7081730059219036
breast-cancer, 286, 9, L2, , , 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, L2, , , 2, 1.9727499773004131, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, L2, , , 3, 2.9445033854949343, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, L2, , , 4, 3.806799977875012, NB, , , 0.2692307692307692, 0.7173606210303457, 0.7307692307692307, 0.7212736878608
breast-cancer, 286, 9, L2, , , 5, 4.461945005315375, NB, , , 0.2762237762237762, 0.7127134936714375, 0.7237762237762237, 0.7166666040582086
breast-cancer, 286, 9, L2, , , 6, 4.752930630565538, NB, , , 0.2762237762237762, 0.7142687119102215, 0.7237762237762237, 0.7178998381428826
breast-cancer, 286, 9, L2, , , 7, 5.0414229815406495, NB, , , 0.2762237762237762, 0.7112123987123987, 0.7237762237762237, 0.7153786107139554
breast-cancer, 286, 9, L2, , , 8, 5.333132675709398, NB, , , 0.2727272727272727, 0.7142553566115979, 0.7272727272727273, 0.7183247374634936
breast-cancer, 286, 9, L2, , , 9, 5.583738711363624, NB, , , 0.28321678321678323, 0.7037129537129537, 0.7167832167832168, 0.7081730059219036
breast-cancer, 286, 9, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.03, 0.8, 1, NaN, NB, , , 0.2762237762237762, 0.7023156191634453, 0.7237762237762237, 0.7046631438693441
breast-cancer, 286, 9, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.05, 0.8, 1, NaN, NB, , , 0.2762237762237762, 0.7023156191634453, 0.7237762237762237, 0.7046631438693441
breast-cancer, 286, 9, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.08, 0.8, 1, NaN, NB, , , 0.2762237762237762, 0.7023156191634453, 0.7237762237762237, 0.7046631438693441
breast-cancer, 286, 9, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.1, 0.8, 1, NaN, NB, , , 0.2972027972027972, 0.4939239082595726, 0.7027972027972028, 0.5801323932740771
breast-cancer, 286, 9, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.3006993006993007, 0.6914234091267585, 0.6993006993006993, 0.694809676923498
breast-cancer, 286, 9, PAS, 0.15, 0.8, 1, NaN, NB, , , 0.2972027972027972, 0.4939239082595726, 0.7027972027972028, 0.5801323932740771
breast-cancer, 286, 9, PAS, 0.03, 0.2, 2, 2.0, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.03, 0.3, 2, 2.0, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.03, 0.6, 2, 2.0, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.03, 0.8, 2, 2.0, NB, , , 0.2972027972027972, 0.67272134645016, 0.7027972027972028, 0.6761726281177083
breast-cancer, 286, 9, PAS, 0.05, 0.2, 2, 2.0, NB, , , 0.3006993006993007, 0.6738595044731565, 0.6993006993006993, 0.6794444991628089
breast-cancer, 286, 9, PAS, 0.05, 0.3, 2, 2.0, NB, , , 0.3006993006993007, 0.6738595044731565, 0.6993006993006993, 0.6794444991628089
breast-cancer, 286, 9, PAS, 0.05, 0.6, 2, 2.0, NB, , , 0.3006993006993007, 0.6738595044731565, 0.6993006993006993, 0.6794444991628089
breast-cancer, 286, 9, PAS, 0.05, 0.8, 2, 2.0, NB, , , 0.2972027972027972, 0.67272134645016, 0.7027972027972028, 0.6761726281177083
breast-cancer, 286, 9, PAS, 0.08, 0.2, 2, 2.0, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.08, 0.3, 2, 2.0, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.08, 0.6, 2, 2.0, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.08, 0.8, 2, 2.0, NB, , , 0.2972027972027972, 0.67272134645016, 0.7027972027972028, 0.6761726281177083
breast-cancer, 286, 9, PAS, 0.1, 0.2, 2, 1.9992327208298695, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.1, 0.3, 2, 1.9992327208298695, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.1, 0.6, 2, 2.0, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.1, 0.8, 2, NaN, NB, , , 0.2902097902097902, 0.6770149249657447, 0.7097902097902098, 0.674681577822337
breast-cancer, 286, 9, PAS, 0.15, 0.2, 2, 1.996129363970416, NB, , , 0.24825174825174826, 0.7377089374040594, 0.7517482517482518, 0.7195588304313136
breast-cancer, 286, 9, PAS, 0.15, 0.3, 2, 1.996129363970416, NB, , , 0.24825174825174826, 0.7377089374040594, 0.7517482517482518, 0.7195588304313136
breast-cancer, 286, 9, PAS, 0.15, 0.6, 2, 2.0, NB, , , 0.24825174825174826, 0.7377089374040594, 0.7517482517482518, 0.7195588304313136
breast-cancer, 286, 9, PAS, 0.15, 0.8, 2, 2.0, NB, , , 0.26573426573426573, 0.7170313920615812, 0.7342657342657343, 0.6852434319683229
breast-cancer, 286, 9, PAS, 0.03, 0.2, 3, 2.976033037736604, NB, , , 0.26573426573426573, 0.7205313598689187, 0.7342657342657343, 0.7242257742257743
breast-cancer, 286, 9, PAS, 0.03, 0.3, 3, 2.976033037736604, NB, , , 0.26573426573426573, 0.7205313598689187, 0.7342657342657343, 0.7242257742257743
breast-cancer, 286, 9, PAS, 0.03, 0.6, 3, 2.98578612368392, NB, , , 0.26573426573426573, 0.7205313598689187, 0.7342657342657343, 0.7242257742257743
breast-cancer, 286, 9, PAS, 0.03, 0.8, 3, 2.0, NB, , , 0.3006993006993007, 0.6674771882728483, 0.6993006993006993, 0.6712657614313717
breast-cancer, 286, 9, PAS, 0.05, 0.2, 3, 2.9944234854233036, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.05, 0.3, 3, 2.9944234854233036, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.05, 0.6, 3, 2.9944234854233036, NB, , , 0.24825174825174826, 0.7448627897692858, 0.7517482517482518, 0.70997890997891
breast-cancer, 286, 9, PAS, 0.05, 0.8, 3, 2.6277945599208685, NB, , , 0.2972027972027972, 0.6712699065640242, 0.7027972027972028, 0.6739814555424194
breast-cancer, 286, 9, PAS, 0.08, 0.2, 3, 2.9951817757813277, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, PAS, 0.08, 0.3, 3, 2.9951817757813277, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, PAS, 0.08, 0.6, 3, 2.9951817757813277, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, PAS, 0.08, 0.8, 3, 2.0, NB, , , 0.2902097902097902, 0.6899053567400342, 0.7097902097902098, 0.6949394583008028
breast-cancer, 286, 9, PAS, 0.1, 0.2, 3, 2.9994590516848545, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, PAS, 0.1, 0.3, 3, 2.9994590516848545, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, PAS, 0.1, 0.6, 3, 2.998693428697827, NB, , , 0.26223776223776224, 0.721629680803068, 0.7377622377622378, 0.7243428840067495
breast-cancer, 286, 9, PAS, 0.1, 0.8, 3, NaN, NB, , , 0.2902097902097902, 0.6770149249657447, 0.7097902097902098, 0.674681577822337
breast-cancer, 286, 9, PAS, 0.15, 0.2, 3, 2.863368783650997, NB, , , 0.24825174825174826, 0.7377089374040594, 0.7517482517482518, 0.7195588304313136
breast-cancer, 286, 9, PAS, 0.15, 0.3, 3, 2.863368783650997, NB, , , 0.24825174825174826, 0.7377089374040594, 0.7517482517482518, 0.7195588304313136
breast-cancer, 286, 9, PAS, 0.15, 0.6, 3, 2.994045096131386, NB, , , 0.25524475524475526, 0.7287424964416115, 0.7447552447552448, 0.7302234227050506
breast-cancer, 286, 9, PAS, 0.15, 0.8, 3, 3.0, NB, , , 0.25524475524475526, 0.7287424964416115, 0.7447552447552448, 0.7302234227050506
breast-cancer, 286, 9, PAS, 0.03, 0.2, 4, 3.9512250062965104, NB, , , 0.2762237762237762, 0.7142687119102215, 0.7237762237762237, 0.7178998381428826
breast-cancer, 286, 9, PAS, 0.03, 0.3, 4, 3.9512250062965104, NB, , , 0.2762237762237762, 0.7142687119102215, 0.7237762237762237, 0.7178998381428826
breast-cancer, 286, 9, PAS, 0.03, 0.6, 4, 3.9512250062965104, NB, , , 0.2762237762237762, 0.7142687119102215, 0.7237762237762237, 0.7178998381428826
breast-cancer, 286, 9, PAS, 0.03, 0.8, 4, 2.6600066111265557, NB, , , 0.2972027972027972, 0.6698426573426574, 0.7027972027972028, 0.6716987120476762
