dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
bridges-version1, 107, 12, CHI, , , 1, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 2, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 3, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 4, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 5, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 6, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 7, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 8, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 9, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 10, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 11, , NB, , , , , , 
bridges-version1, 107, 12, CHI, , , 12, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 1, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 2, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 3, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 4, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 5, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 6, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 7, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 8, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 9, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 10, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 11, , NB, , , , , , 
bridges-version1, 107, 12, IG, , , 12, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 1, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 2, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 3, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 4, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 5, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 6, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 7, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 8, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 9, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 10, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 11, , NB, , , , , , 
bridges-version1, 107, 12, L2, , , 12, , NB, , , , , , 
bridges-version1, 107, 12, PAS, 0.03, 0.2, 1, , NB, , , , , , 
bridges-version1, 107, 12, PAS, 0.03, 0.3, 1, , NB, , , , , , 
