dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
car, 1728, 6, CHI, , , 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, CHI, , , 2, 1.9839068648687361, NB, , , 0.23148148148148148, 0.7212806198831189, 0.7685185185185185, 0.7431161550812911
car, 1728, 6, CHI, , , 3, 2.8144961493409673, NB, , , 0.20891203703703703, 0.7439753156749634, 0.7910879629629629, 0.7654267421721448
car, 1728, 6, CHI, , , 4, 3.5906743213669583, NB, , , 0.16898148148148148, 0.8182955703994723, 0.8310185185185185, 0.8191781845863202
car, 1728, 6, CHI, , , 5, 4.058952650058605, NB, , , 0.14641203703703703, 0.8491126554155628, 0.8535879629629629, 0.8459725463385409
car, 1728, 6, CHI, , , 6, 4.209893246252361, NB, , , 0.14467592592592593, 0.8519011089145707, 0.8553240740740741, 0.8466575381285267
car, 1728, 6, IG, , , 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, IG, , , 2, 1.9922175774377953, NB, , , 0.23148148148148148, 0.7212806198831189, 0.7685185185185185, 0.7431161550812911
car, 1728, 6, IG, , , 3, 2.7872076017020624, NB, , , 0.20891203703703703, 0.7439753156749634, 0.7910879629629629, 0.7654267421721448
car, 1728, 6, IG, , , 4, 3.5324686987008556, NB, , , 0.16898148148148148, 0.8182955703994723, 0.8310185185185185, 0.8191781845863202
car, 1728, 6, IG, , , 5, 4.0025148351631605, NB, , , 0.14641203703703703, 0.8491126554155628, 0.8535879629629629, 0.8459725463385409
car, 1728, 6, IG, , , 6, 4.12573845828679, NB, , , 0.14467592592592593, 0.8519011089145707, 0.8553240740740741, 0.8466575381285267
car, 1728, 6, L2, , , 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, L2, , , 2, 1.998606264266119, NB, , , 0.23148148148148148, 0.7212806198831189, 0.7685185185185185, 0.7431161550812911
car, 1728, 6, L2, , , 3, 2.4419572408236725, NB, , , 0.20891203703703703, 0.7439753156749634, 0.7910879629629629, 0.7654267421721448
car, 1728, 6, L2, , , 4, 2.863147807377236, NB, , , 0.16898148148148148, 0.8182955703994723, 0.8310185185185185, 0.8191781845863202
car, 1728, 6, L2, , , 5, 3.1766300779054557, NB, , , 0.14641203703703703, 0.8491126554155628, 0.8535879629629629, 0.8459725463385409
car, 1728, 6, L2, , , 6, 3.2814878498125974, NB, , , 0.14467592592592593, 0.8519011089145707, 0.8553240740740741, 0.8466575381285267
car, 1728, 6, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.1, 0.8, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.15, 0.8, 1, 1.0, NB, , , 0.29976851851851855, 0.49032412765775035, 0.7002314814814815, 0.5767733782114314
car, 1728, 6, PAS, 0.03, 0.2, 2, 1.9081657679304405, NB, , , 0.23148148148148148, 0.7212806198831189, 0.7685185185185185, 0.7431161550812911
car, 1728, 6, PAS, 0.03, 0.3, 2, 1.9081657679304405, NB, , , 0.23148148148148148, 0.7212806198831189, 0.7685185185185185, 0.7431161550812911
