dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
cleve, 303, 11, CHI, , , 1, 1.0, NB, , , 0.23432343234323433, 0.7653635601655403, 0.7656765676567657, 0.7654445872267657
cleve, 303, 11, CHI, , , 2, 1.999666674609754, NB, , , 0.25742574257425743, 0.7428683906340096, 0.7425742574257426, 0.7406055056372689
cleve, 303, 11, CHI, , , 3, 2.9885106725282857, NB, , , 0.14521452145214522, 0.8554941654879774, 0.8547854785478548, 0.8541913899483713
cleve, 303, 11, CHI, , , 4, 3.9564922869263515, NB, , , 0.15841584158415842, 0.8426816738277602, 0.8415841584158416, 0.8418026199783099
cleve, 303, 11, CHI, , , 5, 4.917923864912703, NB, , , 0.1716171617161716, 0.8305111192216947, 0.8283828382838284, 0.8270703370915127
cleve, 303, 11, CHI, , , 6, 5.875811561495811, NB, , , 0.15181518151815182, 0.8499667231095067, 0.8481848184818482, 0.8472179500925416
cleve, 303, 11, CHI, , , 7, 6.831813387138304, NB, , , 0.1716171617161716, 0.8283828382838284, 0.8283828382838284, 0.8283828382838284
cleve, 303, 11, CHI, , , 8, 7.591726294513575, NB, , , 0.18151815181518152, 0.8182920901554993, 0.8184818481848185, 0.8181619395623541
cleve, 303, 11, CHI, , , 9, 8.355195830995036, NB, , , 0.15841584158415842, 0.8415604718366573, 0.8415841584158416, 0.8412384095552412
cleve, 303, 11, CHI, , , 10, 8.831940030285612, NB, , , 0.1617161716171617, 0.8383412458057451, 0.8382838283828383, 0.8378592594348181
cleve, 303, 11, CHI, , , 11, 8.859097023341597, NB, , , 0.1617161716171617, 0.8383412458057451, 0.8382838283828383, 0.8378592594348181
cleve, 303, 11, IG, , , 1, 1.0, NB, , , 0.23432343234323433, 0.7653635601655403, 0.7656765676567657, 0.7654445872267657
cleve, 303, 11, IG, , , 2, 1.9997148261970044, NB, , , 0.25742574257425743, 0.7428683906340096, 0.7425742574257426, 0.7406055056372689
cleve, 303, 11, IG, , , 3, 2.986923680368036, NB, , , 0.14521452145214522, 0.8554941654879774, 0.8547854785478548, 0.8541913899483713
cleve, 303, 11, IG, , , 4, 3.952350250899965, NB, , , 0.15841584158415842, 0.8426816738277602, 0.8415841584158416, 0.8418026199783099
cleve, 303, 11, IG, , , 5, 4.909866851637075, NB, , , 0.1716171617161716, 0.8305111192216947, 0.8283828382838284, 0.8270703370915127
cleve, 303, 11, IG, , , 6, 5.86809476903344, NB, , , 0.15181518151815182, 0.8499667231095067, 0.8481848184818482, 0.8472179500925416
cleve, 303, 11, IG, , , 7, 6.821888963751175, NB, , , 0.1716171617161716, 0.8283828382838284, 0.8283828382838284, 0.8283828382838284
cleve, 303, 11, IG, , , 8, 7.572719302148642, NB, , , 0.18151815181518152, 0.8182920901554993, 0.8184818481848185, 0.8181619395623541
cleve, 303, 11, IG, , , 9, 8.335056508111823, NB, , , 0.15841584158415842, 0.8415604718366573, 0.8415841584158416, 0.8412384095552412
cleve, 303, 11, IG, , , 10, 8.802047275399907, NB, , , 0.1617161716171617, 0.8383412458057451, 0.8382838283828383, 0.8378592594348181
