dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
cmc, 1473, 9, CHI, , , 1, 1.0, NB, , , 0.5213849287169042, 0.36836696181042833, 0.4786150712830957, 0.4160735762183958
cmc, 1473, 9, CHI, , , 2, 1.9839047533840948, NB, , , 0.49287169042769857, 0.49247650032451973, 0.5071283095723014, 0.48900184469790925
cmc, 1473, 9, CHI, , , 3, 2.952962257775576, NB, , , 0.4460285132382892, 0.5628937485696385, 0.5539714867617108, 0.553956919733633
cmc, 1473, 9, CHI, , , 4, 3.815304610799213, NB, , , 0.4725050916496945, 0.537102456328117, 0.5274949083503055, 0.5302676771456166
cmc, 1473, 9, CHI, , , 5, 4.666502371493377, NB, , , 0.4792939579090292, 0.5358113829781793, 0.5207060420909708, 0.5252155078649672
cmc, 1473, 9, CHI, , , 6, 5.52578850384864, NB, , , 0.4881194840461643, 0.5285131741194709, 0.5118805159538357, 0.5164060311809157
cmc, 1473, 9, CHI, , , 7, 6.163029831878437, NB, , , 0.4921928038017651, 0.5260019509372089, 0.5078071961982349, 0.512264966557707
cmc, 1473, 9, CHI, , , 8, 6.68998799753391, NB, , , 0.4989816700610998, 0.521430015615204, 0.5010183299389002, 0.5058200004593896
cmc, 1473, 9, CHI, , , 9, 6.891357311430773, NB, , , 0.4921928038017651, 0.5276036412240926, 0.5078071961982349, 0.5128148296090014
cmc, 1473, 9, IG, , , 1, 1.0, NB, , , 0.5213849287169042, 0.36836696181042833, 0.4786150712830957, 0.4160735762183958
cmc, 1473, 9, IG, , , 2, 1.967854094496825, NB, , , 0.49287169042769857, 0.49247650032451973, 0.5071283095723014, 0.48900184469790925
cmc, 1473, 9, IG, , , 3, 2.9296495804803917, NB, , , 0.4460285132382892, 0.5628937485696385, 0.5539714867617108, 0.553956919733633
cmc, 1473, 9, IG, , , 4, 3.79550506799624, NB, , , 0.4725050916496945, 0.537102456328117, 0.5274949083503055, 0.5302676771456166
cmc, 1473, 9, IG, , , 5, 4.6201344962841775, NB, , , 0.5010183299389002, 0.5107306580460605, 0.4989816700610998, 0.5029135308578253
cmc, 1473, 9, IG, , , 6, 5.449147141999189, NB, , , 0.4881194840461643, 0.5285131741194709, 0.5118805159538357, 0.5164060311809157
