dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
horse-colic, 368, 22, CHI, , , 1, 1.0, NB, , , 0.18478260869565216, 0.8219976269175354, 0.8152173913043478, 0.8170505521049
horse-colic, 368, 22, CHI, , , 2, 1.8046233000531129, NB, , , 0.1956521739130435, 0.805677236569685, 0.8043478260869565, 0.8049149338374291
horse-colic, 368, 22, CHI, , , 3, 2.6626429962284837, NB, , , 0.18206521739130435, 0.8171875108678265, 0.8179347826086957, 0.8175043409732848
horse-colic, 368, 22, CHI, , , 4, 3.511008006668101, NB, , , 0.17119565217391305, 0.8281102849631015, 0.8288043478260869, 0.8283996041987602
horse-colic, 368, 22, CHI, , , 5, 4.37531811397508, NB, , , 0.14402173913043478, 0.8549744540009843, 0.8559782608695652, 0.8551463121942213
horse-colic, 368, 22, CHI, , , 6, 5.2449272824026485, NB, , , 0.14673913043478262, 0.852306006014446, 0.8532608695652174, 0.852542549713785
horse-colic, 368, 22, CHI, , , 7, 6.076746912874565, NB, , , 0.16576086956521738, 0.8335716720107392, 0.8342391304347826, 0.8338472358114982
horse-colic, 368, 22, CHI, , , 8, 6.857740104449516, NB, , , 0.17119565217391305, 0.8290743954025451, 0.8288043478260869, 0.8289330164623621
horse-colic, 368, 22, CHI, , , 9, 7.582401187749702, NB, , , 0.1793478260869565, 0.8218916857360794, 0.8206521739130435, 0.8211720226843101
horse-colic, 368, 22, CHI, , , 10, 8.211718616764879, NB, , , 0.1875, 0.8157878459873202, 0.8125, 0.8136482734347502
horse-colic, 368, 22, CHI, , , 11, 8.822341808465463, NB, , , 0.1875, 0.8141500296810072, 0.8125, 0.8131709964370827
horse-colic, 368, 22, CHI, , , 12, 9.374563598383881, NB, , , 0.19293478260869565, 0.8123450226711596, 0.8070652173913043, 0.8086848278509828
horse-colic, 368, 22, CHI, , , 13, 9.93268324403538, NB, , , 0.1983695652173913, 0.806986021561252, 0.8016304347826086, 0.8032956680721375
horse-colic, 368, 22, CHI, , , 14, 10.436523380489028, NB, , , 0.20380434782608695, 0.8027077879255508, 0.7961956521739131, 0.7981172455141947
horse-colic, 368, 22, CHI, , , 15, 10.865947664875966, NB, , , 0.20380434782608695, 0.8016270204513446, 0.7961956521739131, 0.7979065082932919
horse-colic, 368, 22, CHI, , , 16, 11.301272906397633, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, CHI, , , 17, 11.399646832344578, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, CHI, , , 18, 11.46173457830951, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, CHI, , , 19, 11.46173457830951, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, CHI, , , 20, 11.46173457830951, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, CHI, , , 21, 11.46173457830951, NB, , , 0.21739130434782608, 0.7898974489363504, 0.782608695652174, 0.7847653554175293
horse-colic, 368, 22, CHI, , , 22, 11.46173457830951, NB, , , 0.22010869565217392, 0.7878103583866981, 0.779891304347826, 0.7821795774043495
horse-colic, 368, 22, IG, , , 1, 1.0, NB, , , 0.18478260869565216, 0.8219976269175354, 0.8152173913043478, 0.8170505521049
horse-colic, 368, 22, IG, , , 2, 1.7906942266181949, NB, , , 0.1956521739130435, 0.805677236569685, 0.8043478260869565, 0.8049149338374291
horse-colic, 368, 22, IG, , , 3, 2.6316865655583466, NB, , , 0.18206521739130435, 0.8171875108678265, 0.8179347826086957, 0.8175043409732848
horse-colic, 368, 22, IG, , , 4, 3.46685577478179, NB, , , 0.17119565217391305, 0.8281102849631015, 0.8288043478260869, 0.8283996041987602
horse-colic, 368, 22, IG, , , 5, 4.335763653587999, NB, , , 0.17391304347826086, 0.8248475309856385, 0.8260869565217391, 0.825235614475597
horse-colic, 368, 22, IG, , , 6, 5.2285607666928176, NB, , , 0.14673913043478262, 0.852306006014446, 0.8532608695652174, 0.852542549713785
horse-colic, 368, 22, IG, , , 7, 6.046000196492282, NB, , , 0.16576086956521738, 0.8335716720107392, 0.8342391304347826, 0.8338472358114982
horse-colic, 368, 22, IG, , , 8, 6.823504069446929, NB, , , 0.17119565217391305, 0.8290743954025451, 0.8288043478260869, 0.8289330164623621
horse-colic, 368, 22, IG, , , 9, 7.542674441855292, NB, , , 0.1793478260869565, 0.8218916857360794, 0.8206521739130435, 0.8211720226843101
horse-colic, 368, 22, IG, , , 10, 8.174644574163763, NB, , , 0.1875, 0.8157878459873202, 0.8125, 0.8136482734347502
horse-colic, 368, 22, IG, , , 11, 8.771290039493206, NB, , , 0.1875, 0.8141500296810072, 0.8125, 0.8131709964370827
horse-colic, 368, 22, IG, , , 12, 9.365961758330004, NB, , , 0.19293478260869565, 0.8123450226711596, 0.8070652173913043, 0.8086848278509828
horse-colic, 368, 22, IG, , , 13, 9.915103697904197, NB, , , 0.1983695652173913, 0.806986021561252, 0.8016304347826086, 0.8032956680721375
horse-colic, 368, 22, IG, , , 14, 10.40951059238579, NB, , , 0.20380434782608695, 0.8027077879255508, 0.7961956521739131, 0.7981172455141947
horse-colic, 368, 22, IG, , , 15, 10.834633258006527, NB, , , 0.20652173913043478, 0.7994814519345831, 0.7934782608695652, 0.7953204283639066
horse-colic, 368, 22, IG, , , 16, 11.26435707725945, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, IG, , , 17, 11.362282219745877, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, IG, , , 18, 11.422070420199002, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
horse-colic, 368, 22, IG, , , 19, 11.422070420199002, NB, , , 0.21467391304347827, 0.7920024255580576, 0.7853260869565217, 0.7873501652749517
