dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
contact-lenses, 24, 4, CHI, , , 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, CHI, , , 2, 1.948565915605249, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, CHI, , , 3, 2.3114160632398795, NB, , , 0.25, 0.75, 0.75, 0.7500000000000001
contact-lenses, 24, 4, CHI, , , 4, 2.695628101337923, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, IG, , , 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, IG, , , 2, 1.9656659548426192, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, IG, , , 3, 2.2683656001291665, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, IG, , , 4, 2.5918557019470736, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, L2, , , 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, L2, , , 2, 1.7663855252008556, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, L2, , , 3, 2.0373797289233346, NB, , , 0.25, 0.75, 0.75, 0.7500000000000001
contact-lenses, 24, 4, L2, , , 4, 2.3065461623487837, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.1, 0.8, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.15, 0.8, 1, 1.0, NB, , , 0.2916666666666667, 0.7118055555555555, 0.7083333333333334, 0.6781045751633986
contact-lenses, 24, 4, PAS, 0.03, 0.2, 2, 1.489301344683023, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.03, 0.3, 2, 1.489301344683023, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.03, 0.6, 2, 1.0, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.03, 0.8, 2, 1.4102677273863637, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.05, 0.2, 2, 1.489301344683023, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.05, 0.3, 2, 1.489301344683023, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.05, 0.6, 2, 1.0, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.05, 0.8, 2, 1.4102677273863637, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.08, 0.2, 2, 1.489301344683023, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.08, 0.3, 2, 1.489301344683023, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.08, 0.6, 2, 1.0, NB, , , 0.375, 0.678113553113553, 0.625, 0.6468253968253967
contact-lenses, 24, 4, PAS, 0.08, 0.8, 2, 1.4102677273863637, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.1, 0.2, 2, 1.6123913907091958, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.1, 0.3, 2, 1.6123913907091958, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.1, 0.6, 2, 1.6123913907091958, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.1, 0.8, 2, 1.4102677273863637, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.15, 0.2, 2, 1.6123913907091958, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.15, 0.3, 2, 1.6123913907091958, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.15, 0.6, 2, 1.6123913907091958, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.15, 0.8, 2, 1.4102677273863637, NB, , , 0.125, 0.9097222222222223, 0.875, 0.8782828282828282
contact-lenses, 24, 4, PAS, 0.03, 0.2, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.03, 0.3, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.03, 0.6, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.03, 0.8, 3, 1.4443356779366723, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.05, 0.2, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.05, 0.3, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.05, 0.6, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.05, 0.8, 3, 1.4443356779366723, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.08, 0.2, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.08, 0.3, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.08, 0.6, 3, 2.422908587611887, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.08, 0.8, 3, 1.4443356779366723, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.1, 0.2, 3, 2.238498165471118, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.1, 0.3, 3, 2.238498165471118, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.1, 0.6, 3, 1.8946457081379975, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.1, 0.8, 3, 1.4443356779366723, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.15, 0.2, 3, 1.6123913907091958, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.15, 0.3, 3, 1.6123913907091958, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.15, 0.6, 3, 1.6123913907091958, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.15, 0.8, 3, 1.4102677273863637, NB, , , 0.16666666666666666, 0.850534188034188, 0.8333333333333334, 0.8362193362193361
contact-lenses, 24, 4, PAS, 0.03, 0.2, 4, 2.6248157420238636, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.03, 0.3, 4, 2.6248157420238636, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.03, 0.6, 4, 2.6248157420238636, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.03, 0.8, 4, 1.4443356779366723, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.05, 0.2, 4, 2.4181655145316574, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.05, 0.3, 4, 2.4181655145316574, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.05, 0.6, 4, 2.4181655145316574, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.05, 0.8, 4, 1.4443356779366723, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.08, 0.2, 4, 2.4181655145316574, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.08, 0.3, 4, 2.4181655145316574, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.08, 0.6, 4, 2.4181655145316574, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.08, 0.8, 4, 1.4443356779366723, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.1, 0.2, 4, 2.238498165471118, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.1, 0.3, 4, 2.238498165471118, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.1, 0.6, 4, 1.8946457081379975, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.1, 0.8, 4, 1.4443356779366723, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.15, 0.2, 4, 1.6123913907091958, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.15, 0.3, 4, 1.6123913907091958, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.15, 0.6, 4, 1.6123913907091958, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
contact-lenses, 24, 4, PAS, 0.15, 0.8, 4, 1.4102677273863637, NB, , , 0.2916666666666667, 0.6909722222222222, 0.7083333333333334, 0.6981566820276499
