dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
credit-rating, 690, 15, CHI, , , 1, 1.0, NB, , , 0.14492753623188406, 0.86629410080047, 0.855072463768116, 0.8554344657046433
credit-rating, 690, 15, CHI, , , 2, 1.9075436903127185, NB, , , 0.2028985507246377, 0.7980479856681932, 0.7971014492753623, 0.795336642096679
credit-rating, 690, 15, CHI, , , 3, 2.7827097037526625, NB, , , 0.1855072463768116, 0.8249934093042326, 0.8144927536231884, 0.8101405241509093
credit-rating, 690, 15, CHI, , , 4, 3.581740005138088, NB, , , 0.17391304347826086, 0.8291191800917023, 0.8260869565217391, 0.8240980874085374
credit-rating, 690, 15, CHI, , , 5, 4.414771316708709, NB, , , 0.25217391304347825, 0.771151955629903, 0.7478260869565218, 0.7350392994634557
credit-rating, 690, 15, CHI, , , 6, 5.257794788870046, NB, , , 0.23623188405797102, 0.7858933984596763, 0.763768115942029, 0.75298765553574
credit-rating, 690, 15, CHI, , , 7, 5.888220667361887, NB, , , 0.23043478260869565, 0.7893132167878782, 0.7695652173913043, 0.7599977362976738
credit-rating, 690, 15, CHI, , , 8, 6.495052595314469, NB, , , 0.23333333333333334, 0.7849681724571398, 0.7666666666666667, 0.7572881325446129
credit-rating, 690, 15, CHI, , , 9, 7.076573999994663, NB, , , 0.23043478260869565, 0.7863008971704624, 0.7695652173913043, 0.7608983024933023
credit-rating, 690, 15, CHI, , , 10, 7.540960009804531, NB, , , 0.2289855072463768, 0.7894179894179895, 0.7710144927536232, 0.7619605102059821
credit-rating, 690, 15, CHI, , , 11, 8.017352146582928, NB, , , 0.21884057971014492, 0.8004337302303206, 0.7811594202898551, 0.7726484756948088
credit-rating, 690, 15, CHI, , , 12, 8.433876349856403, NB, , , 0.2217391304347826, 0.7941943904745971, 0.7782608695652173, 0.770473673559856
credit-rating, 690, 15, CHI, , , 13, 8.677015747840564, NB, , , 0.2217391304347826, 0.7941943904745971, 0.7782608695652173, 0.770473673559856
credit-rating, 690, 15, CHI, , , 14, 8.70825005195347, NB, , , 0.2217391304347826, 0.7941943904745971, 0.7782608695652173, 0.770473673559856
