dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
cylinder-bands, 540, 39, CHI, , , 1, 1.0, NB, , , 0.3907407407407407, 0.6166405757984705, 0.6092592592592593, 0.5410362455121357
cylinder-bands, 540, 39, CHI, , , 2, 1.9983744101259548, NB, , , 0.34629629629629627, 0.683301550476157, 0.6537037037037037, 0.6056236878208873
cylinder-bands, 540, 39, CHI, , , 3, 2.6799900406773283, NB, , , 0.2537037037037037, 0.7482861491628615, 0.7462962962962963, 0.7395443414502832
cylinder-bands, 540, 39, CHI, , , 4, 3.1622832175122735, NB, , , 0.25925925925925924, 0.7405417141616458, 0.7407407407407407, 0.7354352783106926
cylinder-bands, 540, 39, CHI, , , 5, 3.6043105153205754, NB, , , 0.25925925925925924, 0.7416316620798588, 0.7407407407407407, 0.7343929420057528
cylinder-bands, 540, 39, CHI, , , 6, 4.046066134694037, NB, , , 0.2351851851851852, 0.765079365079365, 0.7648148148148148, 0.7607341577718219
cylinder-bands, 540, 39, CHI, , , 7, 4.463471085872356, NB, , , 0.2462962962962963, 0.7537393599383269, 0.7537037037037037, 0.7491298527443105
cylinder-bands, 540, 39, CHI, , , 8, 4.853991216471359, NB, , , 0.24444444444444444, 0.7541761868494541, 0.7555555555555555, 0.7530542635658916
cylinder-bands, 540, 39, CHI, , , 9, 5.249559250702381, NB, , , 0.2611111111111111, 0.7370991649422504, 0.7388888888888889, 0.7360868522158844
cylinder-bands, 540, 39, CHI, , , 10, 5.631732778330463, NB, , , 0.2388888888888889, 0.7597180261832829, 0.7611111111111111, 0.7594473369846957
cylinder-bands, 540, 39, CHI, , , 11, 6.015439576987449, NB, , , 0.27037037037037037, 0.7287887423329533, 0.7296296296296296, 0.7240967902382937
cylinder-bands, 540, 39, CHI, , , 12, 6.3829003107452085, NB, , , 0.26296296296296295, 0.7352944651190265, 0.737037037037037, 0.7338090383961944
cylinder-bands, 540, 39, CHI, , , 13, 6.643464180033271, NB, , , 0.26296296296296295, 0.735684067688378, 0.737037037037037, 0.7329389129389129
cylinder-bands, 540, 39, CHI, , , 14, 6.9078444305514495, NB, , , 0.2574074074074074, 0.7413799339349204, 0.7425925925925926, 0.7387283130505965
cylinder-bands, 540, 39, CHI, , , 15, 7.17746106898047, NB, , , 0.2740740740740741, 0.7237908496732026, 0.725925925925926, 0.7228459122501896
cylinder-bands, 540, 39, CHI, , , 16, 7.4430808150572565, NB, , , 0.26666666666666666, 0.7315614617940199, 0.7333333333333333, 0.7297745052922229
cylinder-bands, 540, 39, CHI, , , 17, 7.700947997477503, NB, , , 0.2814814814814815, 0.7161800795464162, 0.7185185185185186, 0.7156382428940569
cylinder-bands, 540, 39, CHI, , , 18, 7.960392384718315, NB, , , 0.2722222222222222, 0.7259261393374532, 0.7277777777777777, 0.7261167713223335
cylinder-bands, 540, 39, CHI, , , 19, 8.215301592383755, NB, , , 0.2722222222222222, 0.7257031913602718, 0.7277777777777777, 0.7253864285093872
cylinder-bands, 540, 39, CHI, , , 20, 8.47152838045257, NB, , , 0.26851851851851855, 0.7294749544826287, 0.7314814814814815, 0.7288655956712112
cylinder-bands, 540, 39, CHI, , , 21, 8.660499308210694, NB, , , 0.2777777777777778, 0.7201305220883534, 0.7222222222222222, 0.7201644918039015
cylinder-bands, 540, 39, CHI, , , 22, 8.821349094864482, NB, , , 0.26296296296296295, 0.7354866247475617, 0.737037037037037, 0.7357576388002353
cylinder-bands, 540, 39, CHI, , , 23, 8.87089160943351, NB, , , 0.26296296296296295, 0.7354866247475617, 0.737037037037037, 0.7357576388002353
cylinder-bands, 540, 39, CHI, , , 24, 8.91401292571696, NB, , , 0.26296296296296295, 0.7354866247475617, 0.737037037037037, 0.7357576388002353
cylinder-bands, 540, 39, CHI, , , 25, 8.951907179019283, NB, , , 0.26296296296296295, 0.7354866247475617, 0.737037037037037, 0.7357576388002353
cylinder-bands, 540, 39, CHI, , , 26, 8.978529432633374, NB, , , 0.26296296296296295, 0.7356310013717422, 0.737037037037037, 0.7359642661529453
cylinder-bands, 540, 39, CHI, , , 27, 9.003665824295497, NB, , , 0.26481481481481484, 0.7335496499212741, 0.7351851851851852, 0.7337896869754683
cylinder-bands, 540, 39, CHI, , , 28, 9.023106601689165, NB, , , 0.26666666666666666, 0.7316152784169352, 0.7333333333333333, 0.7318181818181818
cylinder-bands, 540, 39, CHI, , , 29, 9.023106601689165, NB, , , 0.26481481481481484, 0.7336847545219638, 0.7351851851851852, 0.7340018324861923
cylinder-bands, 540, 39, CHI, , , 30, 9.023106601689165, NB, , , 0.26481481481481484, 0.7336847545219638, 0.7351851851851852, 0.7340018324861923
cylinder-bands, 540, 39, CHI, , , 31, 9.023106601689165, NB, , , 0.26481481481481484, 0.7338456831515855, 0.7351851851851852, 0.7342058647163486
cylinder-bands, 540, 39, CHI, , , 32, 9.023106601689165, NB, , , 0.26481481481481484, 0.7334405726258101, 0.7351851851851852, 0.733569376184311
cylinder-bands, 540, 39, CHI, , , 33, 9.023106601689165, NB, , , 0.26296296296296295, 0.7354866247475617, 0.737037037037037, 0.7357576388002353
cylinder-bands, 540, 39, CHI, , , 34, 9.023106601689165, NB, , , 0.27037037037037037, 0.7276709401709401, 0.7296296296296296, 0.7276267720224641
cylinder-bands, 540, 39, CHI, , , 35, 9.023106601689165, NB, , , 0.27037037037037037, 0.7276709401709401, 0.7296296296296296, 0.7276267720224641
