dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
dermatology, 366, 34, CHI, , , 1, 1.0, NB, , , 0.5027322404371585, 0.30707875358880937, 0.4972677595628415, 0.3610796115740227
dermatology, 366, 34, CHI, , , 2, 1.9999626490644176, NB, , , 0.505464480874317, 0.3116059605736773, 0.49453551912568305, 0.36157379691077324
dermatology, 366, 34, CHI, , , 3, 2.9999469128314575, NB, , , 0.5027322404371585, 0.3119994011527809, 0.4972677595628415, 0.36336092625656
dermatology, 366, 34, CHI, , , 4, 3.999897058336204, NB, , , 0.505464480874317, 0.3119994011527809, 0.49453551912568305, 0.361985252749739
dermatology, 366, 34, CHI, , , 5, 4.999851756907559, NB, , , 0.453551912568306, 0.3728449579577763, 0.546448087431694, 0.423034718994142
dermatology, 366, 34, CHI, , , 6, 5.999798484553907, NB, , , 0.3087431693989071, 0.5424261170317465, 0.6912568306010929, 0.59260336520854
dermatology, 366, 34, CHI, , , 7, 6.99966928730465, NB, , , 0.3087431693989071, 0.5424261170317465, 0.6912568306010929, 0.59260336520854
dermatology, 366, 34, CHI, , , 8, 7.9994958534273115, NB, , , 0.3087431693989071, 0.5424261170317465, 0.6912568306010929, 0.59260336520854
dermatology, 366, 34, CHI, , , 9, 8.998793724265736, NB, , , 0.15846994535519127, 0.7754458849337712, 0.8415300546448088, 0.7973696518071872
dermatology, 366, 34, CHI, , , 10, 9.997994240677896, NB, , , 0.13934426229508196, 0.7859138486981516, 0.860655737704918, 0.8130390274661978
dermatology, 366, 34, CHI, , , 11, 10.997085575926343, NB, , , 0.13934426229508196, 0.7883644547733629, 0.860655737704918, 0.8135406741773498
dermatology, 366, 34, CHI, , , 12, 11.995813600782217, NB, , , 0.13934426229508196, 0.8554285005707604, 0.860655737704918, 0.8182102172058262
dermatology, 366, 34, CHI, , , 13, 12.989174514143258, NB, , , 0.14207650273224043, 0.8520025235835962, 0.8579234972677595, 0.8156028755657719
dermatology, 366, 34, CHI, , , 14, 13.980010360876921, NB, , , 0.13934426229508196, 0.8325670529547037, 0.860655737704918, 0.8190111887755943
dermatology, 366, 34, CHI, , , 15, 14.963322171607782, NB, , , 0.15027322404371585, 0.830024566670748, 0.8497267759562842, 0.8265391009068296
dermatology, 366, 34, CHI, , , 16, 15.936674907026546, NB, , , 0.14207650273224043, 0.849616175518798, 0.8579234972677595, 0.8447504881931112
dermatology, 366, 34, CHI, , , 17, 16.907586028205483, NB, , , 0.12021857923497267, 0.8803008097746833, 0.8797814207650273, 0.8799817850637522
dermatology, 366, 34, CHI, , , 18, 17.85426014809338, NB, , , 0.11475409836065574, 0.8852459016393442, 0.8852459016393442, 0.8852459016393442
dermatology, 366, 34, CHI, , , 19, 18.793566489774076, NB, , , 0.11475409836065574, 0.8852459016393442, 0.8852459016393442, 0.8852459016393442
dermatology, 366, 34, CHI, , , 20, 19.735710574654465, NB, , , 0.1284153005464481, 0.8704462659380693, 0.8715846994535519, 0.8706605354922915
dermatology, 366, 34, CHI, , , 21, 20.637282542749517, NB, , , 0.08196721311475409, 0.9279571229666694, 0.9180327868852459, 0.912430495638002
dermatology, 366, 34, CHI, , , 22, 21.540426908397464, NB, , , 0.060109289617486336, 0.9408457735740526, 0.9398907103825137, 0.9400505223854848
dermatology, 366, 34, CHI, , , 23, 22.428980300936907, NB, , , 0.01639344262295082, 0.9837209774426378, 0.9836065573770492, 0.98356799753217
dermatology, 366, 34, CHI, , , 24, 23.286804420081616, NB, , , 0.01639344262295082, 0.9837209774426378, 0.9836065573770492, 0.98356799753217
dermatology, 366, 34, CHI, , , 25, 24.112445479131267, NB, , , 0.01639344262295082, 0.9837209774426378, 0.9836065573770492, 0.98356799753217
dermatology, 366, 34, CHI, , , 26, 24.929520341568526, NB, , , 0.01912568306010929, 0.9808798254891592, 0.9808743169398907, 0.9808534776238417
dermatology, 366, 34, CHI, , , 27, 25.747446702245632, NB, , , 0.02185792349726776, 0.978399954962072, 0.9781420765027322, 0.9781785063752276
dermatology, 366, 34, CHI, , , 28, 26.56801579648387, NB, , , 0.02185792349726776, 0.978399954962072, 0.9781420765027322, 0.9781785063752276
dermatology, 366, 34, CHI, , , 29, 27.20730841854719, NB, , , 0.01912568306010929, 0.9813798176573756, 0.9808743169398907, 0.9809172816992402
dermatology, 366, 34, CHI, , , 30, 27.846025259658596, NB, , , 0.02185792349726776, 0.9789958451133504, 0.9781420765027322, 0.9782001899583581
dermatology, 366, 34, CHI, , , 31, 28.408047374430218, NB, , , 0.02459016393442623, 0.9767972603031562, 0.9754098360655737, 0.9756011827015909
dermatology, 366, 34, CHI, , , 32, 28.95363355275336, NB, , , 0.0273224043715847, 0.9746786240315144, 0.9726775956284153, 0.973050686616955
dermatology, 366, 34, CHI, , , 33, 29.472334768025465, NB, , , 0.030054644808743168, 0.9715452686528624, 0.9699453551912568, 0.9703202947999833
dermatology, 366, 34, CHI, , , 34, 29.933107717652003, NB, , , 0.0273224043715847, 0.9736970750628396, 0.9726775956284153, 0.9728683402743191
dermatology, 366, 34, IG, , , 1, 1.0, NB, , , 0.4972677595628415, 0.2755423083291936, 0.5027322404371585, 0.34972677595628415
dermatology, 366, 34, IG, , , 2, 1.9982669774784143, NB, , , 0.3879781420765027, 0.5364757350881727, 0.6120218579234973, 0.5217570174581571
dermatology, 366, 34, IG, , , 3, 2.997428668707527, NB, , , 0.3743169398907104, 0.5500643999172264, 0.6256830601092896, 0.5353817897714539
dermatology, 366, 34, IG, , , 4, 3.989344768014691, NB, , , 0.22950819672131148, 0.712915037190099, 0.7704918032786885, 0.7188457473517925
dermatology, 366, 34, IG, , , 5, 4.981995412100206, NB, , , 0.23224043715846995, 0.749182529014649, 0.76775956284153, 0.7227907610805675
dermatology, 366, 34, IG, , , 6, 5.9766832075293586, NB, , , 0.22950819672131148, 0.7603391774663794, 0.7704918032786885, 0.7242635897263007
dermatology, 366, 34, IG, , , 7, 6.970500886888933, NB, , , 0.23497267759562843, 0.7145962430989077, 0.7650273224043715, 0.7172160777519422
dermatology, 366, 34, IG, , , 8, 7.9652617250151, NB, , , 0.23224043715846995, 0.7220521369318507, 0.76775956284153, 0.718584240191308
dermatology, 366, 34, IG, , , 9, 8.958893240474785, NB, , , 0.23224043715846995, 0.7226235655032792, 0.76775956284153, 0.7191017492477164
dermatology, 366, 34, IG, , , 10, 9.948713093156757, NB, , , 0.226775956284153, 0.7336317873576688, 0.773224043715847, 0.7436474718441932
dermatology, 366, 34, IG, , , 11, 10.93911255154385, NB, , , 0.226775956284153, 0.7298570768776838, 0.773224043715847, 0.7413109999195323
dermatology, 366, 34, IG, , , 12, 11.928795345884607, NB, , , 0.19398907103825136, 0.7877092056104378, 0.8060109289617486, 0.7874710154857991
dermatology, 366, 34, IG, , , 13, 12.916762374342632, NB, , , 0.1557377049180328, 0.8450609731044926, 0.8442622950819673, 0.8425073102852898
dermatology, 366, 34, IG, , , 14, 13.902454292868006, NB, , , 0.1366120218579235, 0.8674274492792156, 0.8633879781420765, 0.8636844382481612
