dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
flags, 194, 29, CHI, , , 1, 1.0, NB, , , 0.6443298969072165, 0.12650122223403124, 0.3556701030927835, 0.18662537728822862
flags, 194, 29, CHI, , , 2, 1.605007458130836, NB, , , 0.4484536082474227, 0.5074613722026046, 0.5515463917525774, 0.5187157104862691
flags, 194, 29, CHI, , , 3, 2.0107791437184637, NB, , , 0.4329896907216495, 0.5774052128643353, 0.5670103092783505, 0.5575694989203819
flags, 194, 29, CHI, , , 4, 2.443661730659852, NB, , , 0.4381443298969072, 0.5566596904632716, 0.5618556701030928, 0.5576643913809939
flags, 194, 29, CHI, , , 5, 2.853831551181483, NB, , , 0.39690721649484534, 0.5998556776418027, 0.6030927835051546, 0.5972976605514749
flags, 194, 29, CHI, , , 6, 3.2064025272721564, NB, , , 0.38144329896907214, 0.6086104303176321, 0.6185567010309279, 0.6090724006780759
flags, 194, 29, CHI, , , 7, 3.5749080919703267, NB, , , 0.3917525773195876, 0.5953585718405305, 0.6082474226804123, 0.5942411088640063
flags, 194, 29, CHI, , , 8, 3.95900498314879, NB, , , 0.38144329896907214, 0.6069311979712223, 0.6185567010309279, 0.6008688040894846
flags, 194, 29, CHI, , , 9, 4.333971949483543, NB, , , 0.3917525773195876, 0.5909727729315357, 0.6082474226804123, 0.5929971015352091
flags, 194, 29, CHI, , , 10, 4.7159789837592605, NB, , , 0.3556701030927835, 0.6222723367697593, 0.6443298969072165, 0.6255401170548346
flags, 194, 29, CHI, , , 11, 5.087394458329048, NB, , , 0.38144329896907214, 0.591402798232695, 0.6185567010309279, 0.598033407356146
flags, 194, 29, CHI, , , 12, 5.427402915521069, NB, , , 0.37628865979381443, 0.5964623340745232, 0.6237113402061856, 0.6041793302297475
flags, 194, 29, CHI, , , 13, 5.759144773909624, NB, , , 0.3711340206185567, 0.6012202377768799, 0.6288659793814433, 0.6078049275555625
