dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
Glass, 214, 9, CHI, , , 1, 1.0, NB, , , 0.5934579439252337, 0.3702254987326097, 0.40654205607476634, 0.3421113206246816
Glass, 214, 9, CHI, , , 2, 1.9981172985669728, NB, , , 0.514018691588785, 0.49064945706489266, 0.48598130841121495, 0.4605395612622302
Glass, 214, 9, CHI, , , 3, 2.9960606332612336, NB, , , 0.4719626168224299, 0.5405558421329449, 0.5280373831775701, 0.4736447783569748
Glass, 214, 9, CHI, , , 4, 3.9856900840148612, NB, , , 0.5046728971962616, 0.480309672638993, 0.4953271028037383, 0.4467186534690625
Glass, 214, 9, CHI, , , 5, 4.978264983404187, NB, , , 0.5046728971962616, 0.5044871794871795, 0.4953271028037383, 0.45409550683877237
Glass, 214, 9, CHI, , , 6, 5.93704045852923, NB, , , 0.5, 0.5018842787534376, 0.5, 0.4519729493200218
Glass, 214, 9, CHI, , , 7, 6.837534412332297, NB, , , 0.5093457943925234, 0.5088175189759911, 0.49065420560747663, 0.459180348556726
Glass, 214, 9, CHI, , , 8, 7.2491820790412955, NB, , , 0.5233644859813084, 0.4952807807338485, 0.4766355140186916, 0.44639512173481416
Glass, 214, 9, CHI, , , 9, 7.2491820790412955, NB, , , 0.514018691588785, 0.49550944469168756, 0.48598130841121495, 0.4525051626888042
Glass, 214, 9, IG, , , 1, 1.0, NB, , , 0.4672897196261682, 0.44765214449793883, 0.5327102803738317, 0.48479019027627057
Glass, 214, 9, IG, , , 2, 1.9999908973952176, NB, , , 0.5233644859813084, 0.3991928451959129, 0.4766355140186916, 0.4005905565118844
Glass, 214, 9, IG, , , 3, 2.9994941419845498, NB, , , 0.5093457943925234, 0.4700598458763731, 0.49065420560747663, 0.43329837894520634
Glass, 214, 9, IG, , , 4, 3.9897229520344335, NB, , , 0.48598130841121495, 0.5058933848102157, 0.514018691588785, 0.45976696133273715
Glass, 214, 9, IG, , , 5, 4.964672507424762, NB, , , 0.5046728971962616, 0.5044871794871795, 0.4953271028037383, 0.45409550683877237
Glass, 214, 9, IG, , , 6, 5.901738372008145, NB, , , 0.5, 0.5018842787534376, 0.5, 0.4519729493200218
Glass, 214, 9, IG, , , 7, 6.848724694074525, NB, , , 0.5093457943925234, 0.5088175189759911, 0.49065420560747663, 0.459180348556726
Glass, 214, 9, IG, , , 8, 7.3950177464347355, NB, , , 0.5233644859813084, 0.4952807807338485, 0.4766355140186916, 0.44639512173481416
Glass, 214, 9, IG, , , 9, 7.3950177464347355, NB, , , 0.514018691588785, 0.49550944469168756, 0.48598130841121495, 0.4525051626888042
Glass, 214, 9, L2, , , 1, 1.0, NB, , , 0.4672897196261682, 0.44765214449793883, 0.5327102803738317, 0.48479019027627057
Glass, 214, 9, L2, , , 2, 1.9963986878164244, NB, , , 0.5233644859813084, 0.3991928451959129, 0.4766355140186916, 0.4005905565118844
Glass, 214, 9, L2, , , 3, 2.979316673417927, NB, , , 0.5, 0.4504730154766717, 0.5, 0.43841471551086125
Glass, 214, 9, L2, , , 4, 3.9367852408936463, NB, , , 0.5514018691588785, 0.4624155241252548, 0.4485981308411215, 0.4088025406537809
Glass, 214, 9, L2, , , 5, 4.9032528146027365, NB, , , 0.5700934579439252, 0.4433844452536041, 0.42990654205607476, 0.4028825703407458
Glass, 214, 9, L2, , , 6, 5.862742190784278, NB, , , 0.5280373831775701, 0.5071661728378473, 0.4719626168224299, 0.45076955096821925
Glass, 214, 9, L2, , , 7, 6.8256571875799885, NB, , , 0.5093457943925234, 0.5088175189759911, 0.49065420560747663, 0.459180348556726
Glass, 214, 9, L2, , , 8, 7.360123437985566, NB, , , 0.5233644859813084, 0.4952807807338485, 0.4766355140186916, 0.44639512173481416
Glass, 214, 9, L2, , , 9, 7.360123437985566, NB, , , 0.514018691588785, 0.49550944469168756, 0.48598130841121495, 0.4525051626888042
Glass, 214, 9, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.6121495327102804, 0.32040735468657516, 0.3878504672897196, 0.3416469889004199
Glass, 214, 9, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.6121495327102804, 0.32040735468657516, 0.3878504672897196, 0.3416469889004199
Glass, 214, 9, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.5981308411214953, 0.2877408319166274, 0.40186915887850466, 0.28336167272757357
Glass, 214, 9, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.6121495327102804, 0.32040735468657516, 0.3878504672897196, 0.3416469889004199
Glass, 214, 9, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.6121495327102804, 0.32040735468657516, 0.3878504672897196, 0.3416469889004199
