dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
haberman, 306, 3, CHI, , , 1, 1.0, NB, , , 0.25163398692810457, 0.7147911338448423, 0.7483660130718954, 0.7033659231616258
haberman, 306, 3, CHI, , , 2, 1.8691907028069907, NB, , , 0.24836601307189543, 0.7205790818754988, 0.7516339869281046, 0.7057928712955666
haberman, 306, 3, CHI, , , 3, 1.8691907028069907, NB, , , 0.238562091503268, 0.737766410912191, 0.761437908496732, 0.7187754855947882
haberman, 306, 3, IG, , , 1, 1.0, NB, , , 0.25163398692810457, 0.7147911338448423, 0.7483660130718954, 0.7033659231616258
haberman, 306, 3, IG, , , 2, 1.897017011656807, NB, , , 0.24836601307189543, 0.7205790818754988, 0.7516339869281046, 0.7057928712955666
haberman, 306, 3, IG, , , 3, 1.897017011656807, NB, , , 0.238562091503268, 0.737766410912191, 0.761437908496732, 0.7187754855947882
haberman, 306, 3, L2, , , 1, 1.0, NB, , , 0.25163398692810457, 0.7147911338448423, 0.7483660130718954, 0.7033659231616258
haberman, 306, 3, L2, , , 2, 1.3818879714494992, NB, , , 0.24836601307189543, 0.7205790818754988, 0.7516339869281046, 0.7057928712955666
haberman, 306, 3, L2, , , 3, 1.3818879714494992, NB, , , 0.238562091503268, 0.737766410912191, 0.761437908496732, 0.7187754855947882
haberman, 306, 3, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.25163398692810457, 0.7147911338448423, 0.7483660130718954, 0.7033659231616258
haberman, 306, 3, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.25163398692810457, 0.7147911338448423, 0.7483660130718954, 0.7033659231616258
haberman, 306, 3, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.25163398692810457, 0.7147911338448423, 0.7483660130718954, 0.7033659231616258
haberman, 306, 3, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.25163398692810457, 0.7147911338448423, 0.7483660130718954, 0.7033659231616258
