dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
hayes-roth, 132, 4, CHI, , , 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, CHI, , , 2, 2.0, NB, , , 0.3939393939393939, 0.6260708589655959, 0.6060606060606061, 0.6038025971167396
hayes-roth, 132, 4, CHI, , , 3, 3.0, NB, , , 0.25, 0.7491091225847324, 0.75, 0.744592211932724
hayes-roth, 132, 4, CHI, , , 4, 3.0, NB, , , 0.25757575757575757, 0.7404287704895527, 0.7424242424242424, 0.7384905642511529
hayes-roth, 132, 4, IG, , , 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, IG, , , 2, 2.0, NB, , , 0.3939393939393939, 0.6260708589655959, 0.6060606060606061, 0.6038025971167396
hayes-roth, 132, 4, IG, , , 3, 3.0, NB, , , 0.25, 0.7491091225847324, 0.75, 0.744592211932724
hayes-roth, 132, 4, IG, , , 4, 3.0, NB, , , 0.25757575757575757, 0.7404287704895527, 0.7424242424242424, 0.7384905642511529
hayes-roth, 132, 4, L2, , , 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, L2, , , 2, 2.0, NB, , , 0.3939393939393939, 0.6260708589655959, 0.6060606060606061, 0.6038025971167396
hayes-roth, 132, 4, L2, , , 3, 3.0, NB, , , 0.25, 0.7491091225847324, 0.75, 0.744592211932724
hayes-roth, 132, 4, L2, , , 4, 3.0, NB, , , 0.25757575757575757, 0.7404287704895527, 0.7424242424242424, 0.7384905642511529
hayes-roth, 132, 4, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.7272727272727273, 0.20310928314370655, 0.2727272727272727, 0.22916553595658073
hayes-roth, 132, 4, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.7272727272727273, 0.20310928314370655, 0.2727272727272727, 0.22916553595658073
hayes-roth, 132, 4, PAS, 0.1, 0.6, 1, NaN, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
hayes-roth, 132, 4, PAS, 0.1, 0.8, 1, NaN, NB, , , 0.45454545454545453, 0.5463636363636364, 0.5454545454545454, 0.5457448970703522
