dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
cleveland-14-heart-disease, 303, 13, CHI, , , 1, 1.0, NB, , , 0.23432343234323433, 0.7653635601655403, 0.7656765676567657, 0.7654445872267657
cleveland-14-heart-disease, 303, 13, CHI, , , 2, 1.999666674609754, NB, , , 0.2739273927392739, 0.7258646596366953, 0.7260726072607261, 0.7241560737782924
cleveland-14-heart-disease, 303, 13, CHI, , , 3, 2.9885106725282857, NB, , , 0.19471947194719472, 0.8066020016635809, 0.8052805280528053, 0.803918172926738
cleveland-14-heart-disease, 303, 13, CHI, , , 4, 3.971742579634088, NB, , , 0.19141914191419143, 0.8146786107182147, 0.8085808580858086, 0.8104957554578989
cleveland-14-heart-disease, 303, 13, CHI, , , 5, 4.947035606912662, NB, , , 0.16501650165016502, 0.8415841584158416, 0.834983498349835, 0.837110181606396
cleveland-14-heart-disease, 303, 13, CHI, , , 6, 5.913316423996551, NB, , , 0.15841584158415842, 0.8417954734557493, 0.8415841584158416, 0.8410944865571959
cleveland-14-heart-disease, 303, 13, CHI, , , 7, 6.8629978394518405, NB, , , 0.15841584158415842, 0.8415604718366573, 0.8415841584158416, 0.8412384095552412
cleveland-14-heart-disease, 303, 13, CHI, , , 8, 7.61366371052245, NB, , , 0.1716171617161716, 0.8282907238092231, 0.8283828382838284, 0.828008277018178
cleveland-14-heart-disease, 303, 13, CHI, , , 9, 8.36786715735921, NB, , , 0.16501650165016502, 0.8348266867665306, 0.834983498349835, 0.8347582644844265
cleveland-14-heart-disease, 303, 13, CHI, , , 10, 8.836923385118174, NB, , , 0.1551155115511551, 0.8452894206822444, 0.8448844884488449, 0.8443292375374556
cleveland-14-heart-disease, 303, 13, CHI, , , 11, 8.863496492886489, NB, , , 0.1617161716171617, 0.8390406954081235, 0.8382838283828383, 0.8375357803583158
