dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
hungarian-14-heart-disease, 294, 13, CHI, , , 1, 1.0, NB, , , 0.1870748299319728, 0.8107352121446002, 0.8129251700680272, 0.8088167739203724
hungarian-14-heart-disease, 294, 13, CHI, , , 2, 1.9996074193977769, NB, , , 0.19047619047619047, 0.8098854027592346, 0.8095238095238095, 0.802370635302749
hungarian-14-heart-disease, 294, 13, CHI, , , 3, 2.9975001413189495, NB, , , 0.18027210884353742, 0.8182420970234912, 0.8197278911564626, 0.8187335796275983
hungarian-14-heart-disease, 294, 13, CHI, , , 4, 3.69572792541559, NB, , , 0.18027210884353742, 0.8187470586262259, 0.8197278911564626, 0.8191475501968092
hungarian-14-heart-disease, 294, 13, CHI, , , 5, 4.316612543404399, NB, , , 0.1836734693877551, 0.815046852074163, 0.8163265306122449, 0.8155271420309015
hungarian-14-heart-disease, 294, 13, CHI, , , 6, 4.724097439395397, NB, , , 0.17006802721088435, 0.8281271692350409, 0.8299319727891157, 0.8283688475390155
hungarian-14-heart-disease, 294, 13, CHI, , , 7, 5.062424195050103, NB, , , 0.16326530612244897, 0.8350687213660974, 0.8367346938775511, 0.835234093637455
hungarian-14-heart-disease, 294, 13, CHI, , , 8, 5.136108678769751, NB, , , 0.16326530612244897, 0.8350687213660974, 0.8367346938775511, 0.835234093637455
hungarian-14-heart-disease, 294, 13, CHI, , , 9, 5.201561167747332, NB, , , 0.1598639455782313, 0.8386227529084672, 0.8401360544217688, 0.8388675676600641
hungarian-14-heart-disease, 294, 13, CHI, , , 10, 5.201561167747332, NB, , , 0.16326530612244897, 0.8352892909741216, 0.8367346938775511, 0.8356392320563666
hungarian-14-heart-disease, 294, 13, CHI, , , 11, 5.201561167747332, NB, , , 0.1564625850340136, 0.8425078364679205, 0.8435374149659864, 0.8428564543226196
hungarian-14-heart-disease, 294, 13, CHI, , , 12, 5.201561167747332, NB, , , 0.1564625850340136, 0.8425078364679205, 0.8435374149659864, 0.8428564543226196
hungarian-14-heart-disease, 294, 13, CHI, , , 13, 5.201561167747332, NB, , , 0.16326530612244897, 0.8361253408245889, 0.8367346938775511, 0.8363891588381385
hungarian-14-heart-disease, 294, 13, IG, , , 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, IG, , , 2, 1.9998209352706526, NB, , , 0.19047619047619047, 0.8098854027592346, 0.8095238095238095, 0.802370635302749
hungarian-14-heart-disease, 294, 13, IG, , , 3, 2.9958848742945685, NB, , , 0.18027210884353742, 0.8182420970234912, 0.8197278911564626, 0.8187335796275983
hungarian-14-heart-disease, 294, 13, IG, , , 4, 3.6793004706509302, NB, , , 0.18027210884353742, 0.8187470586262259, 0.8197278911564626, 0.8191475501968092
hungarian-14-heart-disease, 294, 13, IG, , , 5, 4.322302224389921, NB, , , 0.1836734693877551, 0.815046852074163, 0.8163265306122449, 0.8155271420309015
hungarian-14-heart-disease, 294, 13, IG, , , 6, 4.765471602403801, NB, , , 0.17006802721088435, 0.8281271692350409, 0.8299319727891157, 0.8283688475390155
hungarian-14-heart-disease, 294, 13, IG, , , 7, 5.085154547266607, NB, , , 0.16326530612244897, 0.8350687213660974, 0.8367346938775511, 0.835234093637455
hungarian-14-heart-disease, 294, 13, IG, , , 8, 5.164021002161527, NB, , , 0.16326530612244897, 0.8350687213660974, 0.8367346938775511, 0.835234093637455
hungarian-14-heart-disease, 294, 13, IG, , , 9, 5.228468135793177, NB, , , 0.1598639455782313, 0.8386227529084672, 0.8401360544217688, 0.8388675676600641
hungarian-14-heart-disease, 294, 13, IG, , , 10, 5.228468135793177, NB, , , 0.16326530612244897, 0.8352892909741216, 0.8367346938775511, 0.8356392320563666
hungarian-14-heart-disease, 294, 13, IG, , , 11, 5.228468135793177, NB, , , 0.1564625850340136, 0.8425078364679205, 0.8435374149659864, 0.8428564543226196
hungarian-14-heart-disease, 294, 13, IG, , , 12, 5.228468135793177, NB, , , 0.1564625850340136, 0.8425078364679205, 0.8435374149659864, 0.8428564543226196
hungarian-14-heart-disease, 294, 13, IG, , , 13, 5.228468135793177, NB, , , 0.16326530612244897, 0.8361253408245889, 0.8367346938775511, 0.8363891588381385
hungarian-14-heart-disease, 294, 13, L2, , , 1, 1.0, NB, , , 0.1870748299319728, 0.8107352121446002, 0.8129251700680272, 0.8088167739203724
hungarian-14-heart-disease, 294, 13, L2, , , 2, 1.9997629929197602, NB, , , 0.19387755102040816, 0.8036762247941722, 0.8061224489795918, 0.8040907720006946
hungarian-14-heart-disease, 294, 13, L2, , , 3, 2.9945382612628233, NB, , , 0.18027210884353742, 0.8182420970234912, 0.8197278911564626, 0.8187335796275983
hungarian-14-heart-disease, 294, 13, L2, , , 4, 3.735448154536545, NB, , , 0.18027210884353742, 0.8187470586262259, 0.8197278911564626, 0.8191475501968092
hungarian-14-heart-disease, 294, 13, L2, , , 5, 4.338954469042791, NB, , , 0.1836734693877551, 0.815046852074163, 0.8163265306122449, 0.8155271420309015
hungarian-14-heart-disease, 294, 13, L2, , , 6, 4.5756188357834695, NB, , , 0.17006802721088435, 0.8281271692350409, 0.8299319727891157, 0.8283688475390155
hungarian-14-heart-disease, 294, 13, L2, , , 7, 4.7143604343103025, NB, , , 0.16326530612244897, 0.8350687213660974, 0.8367346938775511, 0.835234093637455
hungarian-14-heart-disease, 294, 13, L2, , , 8, 4.759418441026988, NB, , , 0.1598639455782313, 0.8386227529084672, 0.8401360544217688, 0.8388675676600641
hungarian-14-heart-disease, 294, 13, L2, , , 9, 4.767324637802235, NB, , , 0.1598639455782313, 0.8386227529084672, 0.8401360544217688, 0.8388675676600641
hungarian-14-heart-disease, 294, 13, L2, , , 10, 4.767324637802235, NB, , , 0.16326530612244897, 0.8352892909741216, 0.8367346938775511, 0.8356392320563666
hungarian-14-heart-disease, 294, 13, L2, , , 11, 4.767324637802235, NB, , , 0.1564625850340136, 0.8425078364679205, 0.8435374149659864, 0.8428564543226196
hungarian-14-heart-disease, 294, 13, L2, , , 12, 4.767324637802235, NB, , , 0.1564625850340136, 0.8425078364679205, 0.8435374149659864, 0.8428564543226196
hungarian-14-heart-disease, 294, 13, L2, , , 13, 4.767324637802235, NB, , , 0.16326530612244897, 0.8361253408245889, 0.8367346938775511, 0.8363891588381385
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.22789115646258504, 0.7713643940189353, 0.7721088435374149, 0.7602957698357101
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.22789115646258504, 0.7713643940189353, 0.7721088435374149, 0.7602957698357101
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.22789115646258504, 0.7713643940189353, 0.7721088435374149, 0.7602957698357101
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.22789115646258504, 0.7713643940189353, 0.7721088435374149, 0.7602957698357101
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.22789115646258504, 0.7713643940189353, 0.7721088435374149, 0.7602957698357101
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.8, 1, 1.0, NB, , , 0.21428571428571427, 0.7967411754318044, 0.7857142857142857, 0.7885945050801335
hungarian-14-heart-disease, 294, 13, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.35714285714285715, 0.7708434909800098, 0.6428571428571429, 0.5066047869786188
hungarian-14-heart-disease, 294, 13, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.35714285714285715, 0.7708434909800098, 0.6428571428571429, 0.5066047869786188
hungarian-14-heart-disease, 294, 13, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.35714285714285715, 0.7708434909800098, 0.6428571428571429, 0.5066047869786188
hungarian-14-heart-disease, 294, 13, PAS, 0.15, 0.8, 1, NaN, NB, , , 0.35714285714285715, 0.7708434909800098, 0.6428571428571429, 0.5066047869786188
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.2, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.3, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.6, 2, 1.9993622245616252, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.03, 0.8, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.2, 2, 1.99968113814285, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.3, 2, 1.99968113814285, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.6, 2, 1.9981486306802168, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.05, 0.8, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.2, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.3, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.6, 2, 1.9992155050991414, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.08, 0.8, 2, 2.0, NB, , , 0.19387755102040816, 0.8057373213835799, 0.8061224489795918, 0.8059201555337713
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.2, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.3, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.6, 2, 1.9992155050991414, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.1, 0.8, 2, 2.0, NB, , , 0.19387755102040816, 0.8035648570198153, 0.8061224489795918, 0.8018646566083861
hungarian-14-heart-disease, 294, 13, PAS, 0.15, 0.2, 2, 2.0, NB, , , 0.35714285714285715, 0.7708434909800098, 0.6428571428571429, 0.5066047869786188
hungarian-14-heart-disease, 294, 13, PAS, 0.15, 0.3, 2, 2.0, NB, , , 0.35714285714285715, 0.7708434909800098, 0.6428571428571429, 0.5066047869786188
hungarian-14-heart-disease, 294, 13, PAS, 0.15, 0.6, 2, 2.0, NB, , , 0.35714285714285715, 0.7708434909800098, 0.6428571428571429, 0.5066047869786188
