dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
heart-statlog, 270, 13, CHI, , , 1, 1.0, NB, , , 0.24444444444444444, 0.7559468643805993, 0.7555555555555555, 0.7530138637733574
heart-statlog, 270, 13, CHI, , , 2, 1.9989076886286388, NB, , , 0.22592592592592592, 0.7753295997002759, 0.774074074074074, 0.771520498444718
heart-statlog, 270, 13, CHI, , , 3, 2.990794715968099, NB, , , 0.1962962962962963, 0.8035960488790678, 0.8037037037037037, 0.802738433806395
heart-statlog, 270, 13, CHI, , , 4, 3.950955123445376, NB, , , 0.15925925925925927, 0.8407392793842262, 0.8407407407407408, 0.8401640935786969
heart-statlog, 270, 13, CHI, , , 5, 4.9075697133840075, NB, , , 0.15555555555555556, 0.8443544759334234, 0.8444444444444444, 0.8439751969163733
heart-statlog, 270, 13, CHI, , , 6, 5.871242094978977, NB, , , 0.14814814814814814, 0.8518143649722597, 0.8518518518518519, 0.851404949444165
heart-statlog, 270, 13, CHI, , , 7, 6.824957624641085, NB, , , 0.14814814814814814, 0.8525883838383838, 0.8518518518518519, 0.8510207261960419
heart-statlog, 270, 13, CHI, , , 8, 7.630854460933206, NB, , , 0.14444444444444443, 0.8553712083123847, 0.8555555555555555, 0.8553564217181212
heart-statlog, 270, 13, CHI, , , 9, 8.405148249092806, NB, , , 0.15185185185185185, 0.8479975066230325, 0.8481481481481481, 0.8477773902259428
heart-statlog, 270, 13, CHI, , , 10, 8.898055449994235, NB, , , 0.15925925925925927, 0.8407392793842262, 0.8407407407407408, 0.8401640935786969
heart-statlog, 270, 13, CHI, , , 11, 8.898055449994235, NB, , , 0.15185185185185185, 0.8479975066230325, 0.8481481481481481, 0.8477773902259428
heart-statlog, 270, 13, CHI, , , 12, 8.898055449994235, NB, , , 0.16296296296296298, 0.8368945868945868, 0.837037037037037, 0.8365454443885817
heart-statlog, 270, 13, CHI, , , 13, 8.898055449994239, NB, , , 0.16296296296296298, 0.8368945868945868, 0.837037037037037, 0.8365454443885817
heart-statlog, 270, 13, IG, , , 1, 1.0, NB, , , 0.24444444444444444, 0.7559468643805993, 0.7555555555555555, 0.7530138637733574
heart-statlog, 270, 13, IG, , , 2, 1.9989652722162023, NB, , , 0.22592592592592592, 0.7753295997002759, 0.774074074074074, 0.771520498444718
heart-statlog, 270, 13, IG, , , 3, 2.9896557004802977, NB, , , 0.1962962962962963, 0.8035960488790678, 0.8037037037037037, 0.802738433806395
heart-statlog, 270, 13, IG, , , 4, 3.946220074332413, NB, , , 0.15925925925925927, 0.8407392793842262, 0.8407407407407408, 0.8401640935786969
heart-statlog, 270, 13, IG, , , 5, 4.899008963656157, NB, , , 0.15555555555555556, 0.8443544759334234, 0.8444444444444444, 0.8439751969163733
heart-statlog, 270, 13, IG, , , 6, 5.861789224525731, NB, , , 0.14814814814814814, 0.8518143649722597, 0.8518518518518519, 0.851404949444165
heart-statlog, 270, 13, IG, , , 7, 6.814066459496406, NB, , , 0.14814814814814814, 0.8525883838383838, 0.8518518518518519, 0.8510207261960419
heart-statlog, 270, 13, IG, , , 8, 7.623376389180951, NB, , , 0.14444444444444443, 0.8553712083123847, 0.8555555555555555, 0.8553564217181212
heart-statlog, 270, 13, IG, , , 9, 8.390092156118778, NB, , , 0.15185185185185185, 0.8479975066230325, 0.8481481481481481, 0.8477773902259428
heart-statlog, 270, 13, IG, , , 10, 8.874041448026784, NB, , , 0.15925925925925927, 0.8407392793842262, 0.8407407407407408, 0.8401640935786969
heart-statlog, 270, 13, IG, , , 11, 8.874041448026784, NB, , , 0.15185185185185185, 0.8479975066230325, 0.8481481481481481, 0.8477773902259428
heart-statlog, 270, 13, IG, , , 12, 8.874041448026784, NB, , , 0.16296296296296298, 0.8368945868945868, 0.837037037037037, 0.8365454443885817
heart-statlog, 270, 13, IG, , , 13, 8.874041448026784, NB, , , 0.16296296296296298, 0.8368945868945868, 0.837037037037037, 0.8365454443885817
heart-statlog, 270, 13, L2, , , 1, 1.0, NB, , , 0.24444444444444444, 0.7559468643805993, 0.7555555555555555, 0.7530138637733574
