dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
hepatitis, 155, 19, CHI, , , 1, 1.0, NB, , , 0.2129032258064516, 0.770560794044665, 0.7870967741935484, 0.7769690706429467
hepatitis, 155, 19, CHI, , , 2, 1.9848770837831369, NB, , , 0.14838709677419354, 0.8409792171363, 0.8516129032258064, 0.8420907365878904
hepatitis, 155, 19, CHI, , , 3, 2.972149936291587, NB, , , 0.16129032258064516, 0.8305424880525687, 0.8387096774193549, 0.8334818190333254
hepatitis, 155, 19, CHI, , , 4, 3.909796718690783, NB, , , 0.16129032258064516, 0.8335187245087134, 0.8387096774193549, 0.8357151503953412
hepatitis, 155, 19, CHI, , , 5, 4.824492318425887, NB, , , 0.16774193548387098, 0.8251678217642149, 0.832258064516129, 0.8280086021505376
hepatitis, 155, 19, CHI, , , 6, 5.72478527109767, NB, , , 0.16774193548387098, 0.832258064516129, 0.832258064516129, 0.832258064516129
hepatitis, 155, 19, CHI, , , 7, 6.638978043353333, NB, , , 0.14838709677419354, 0.8499479708636837, 0.8516129032258064, 0.8507356065929921
hepatitis, 155, 19, CHI, , , 8, 7.546901901196712, NB, , , 0.14193548387096774, 0.8580645161290322, 0.8580645161290322, 0.8580645161290322
hepatitis, 155, 19, CHI, , , 9, 8.4331853911248, NB, , , 0.14193548387096774, 0.8696791606808585, 0.8580645161290322, 0.8623732718894009
hepatitis, 155, 19, CHI, , , 10, 9.129161412535328, NB, , , 0.16129032258064516, 0.8537334930549614, 0.8387096774193549, 0.8442986166424923
hepatitis, 155, 19, CHI, , , 11, 9.815851754795357, NB, , , 0.15483870967741936, 0.8574637586522138, 0.8451612903225807, 0.8498617511520737
hepatitis, 155, 19, CHI, , , 12, 10.336961405804411, NB, , , 0.13548387096774195, 0.8697004608294931, 0.864516129032258, 0.8667130298329143
hepatitis, 155, 19, CHI, , , 13, 10.718394676320626, NB, , , 0.12903225806451613, 0.8778350049697299, 0.8709677419354839, 0.8736964260510923
hepatitis, 155, 19, CHI, , , 14, 11.09625827178879, NB, , , 0.14838709677419354, 0.8613582965141193, 0.8516129032258064, 0.8554499620755812
hepatitis, 155, 19, CHI, , , 15, 11.474412827522682, NB, , , 0.14838709677419354, 0.8613582965141193, 0.8516129032258064, 0.8554499620755812
