dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
ionosphere, 351, 34, CHI, , , 1, 1.0, NB, , , 0.23646723646723647, 0.7805377492877493, 0.7635327635327636, 0.7386414754835807
ionosphere, 351, 34, CHI, , , 2, 1.9995365448629725, NB, , , 0.1452991452991453, 0.8539517196731542, 0.8547008547008547, 0.8520899848249612
ionosphere, 351, 34, CHI, , , 3, 2.995359545907588, NB, , , 0.1225071225071225, 0.8766253185624383, 0.8774928774928775, 0.8766810140989573
ionosphere, 351, 34, CHI, , , 4, 3.9929224161247756, NB, , , 0.1282051282051282, 0.8708456857544079, 0.8717948717948718, 0.8709452473128623
ionosphere, 351, 34, CHI, , , 5, 4.9912762407464255, NB, , , 0.15384615384615385, 0.8467359434287686, 0.8461538461538461, 0.8464161330795189
ionosphere, 351, 34, CHI, , , 6, 5.989056698007842, NB, , , 0.17663817663817663, 0.8255792913327159, 0.8233618233618234, 0.8242222544548125
ionosphere, 351, 34, CHI, , , 7, 6.987008472650943, NB, , , 0.15384615384615385, 0.8499421235399348, 0.8461538461538461, 0.8473415897080019
ionosphere, 351, 34, CHI, , , 8, 7.98315217073905, NB, , , 0.15954415954415954, 0.8502831392908238, 0.8404558404558404, 0.8426111052650039
ionosphere, 351, 34, CHI, , , 9, 8.980050335212567, NB, , , 0.1452991452991453, 0.8588632869279571, 0.8547008547008547, 0.8559190534471375
ionosphere, 351, 34, CHI, , , 10, 9.977425426624064, NB, , , 0.16809116809116809, 0.8398892773892774, 0.8319088319088319, 0.8339205517189153
ionosphere, 351, 34, CHI, , , 11, 10.974351697896138, NB, , , 0.1111111111111111, 0.889587261680285, 0.8888888888888888, 0.8891696275825767
ionosphere, 351, 34, CHI, , , 12, 11.970967664093275, NB, , , 0.1339031339031339, 0.8711205201296147, 0.8660968660968661, 0.867389588377456
ionosphere, 351, 34, CHI, , , 13, 12.963967385745324, NB, , , 0.11965811965811966, 0.8868159268455785, 0.8803418803418803, 0.8817080848857451
ionosphere, 351, 34, CHI, , , 14, 13.95644671624656, NB, , , 0.1282051282051282, 0.8790344271113503, 0.8717948717948718, 0.8733292343618845
ionosphere, 351, 34, CHI, , , 15, 14.949491950615293, NB, , , 0.1282051282051282, 0.8790344271113503, 0.8717948717948718, 0.8733292343618845
ionosphere, 351, 34, CHI, , , 16, 15.942585745524648, NB, , , 0.1396011396011396, 0.8691500776870713, 0.8603988603988604, 0.8622155720040154
ionosphere, 351, 34, CHI, , , 17, 16.933907286372754, NB, , , 0.14245014245014245, 0.8670401877886007, 0.8575498575498576, 0.8594742011294679
ionosphere, 351, 34, CHI, , , 18, 17.92200880325602, NB, , , 0.1452991452991453, 0.8649536737772032, 0.8547008547008547, 0.8567330105791644
ionosphere, 351, 34, CHI, , , 19, 18.909294561213308, NB, , , 0.1452991452991453, 0.8649536737772032, 0.8547008547008547, 0.8567330105791644
ionosphere, 351, 34, CHI, , , 20, 19.89538075223018, NB, , , 0.14814814814814814, 0.8628899835796389, 0.8518518518518519, 0.8539918593810402
ionosphere, 351, 34, CHI, , , 21, 20.87480878016203, NB, , , 0.150997150997151, 0.8608485784045622, 0.8490028490028491, 0.8512506073161811
ionosphere, 351, 34, CHI, , , 22, 21.85074346397728, NB, , , 0.15669515669515668, 0.8568305314994056, 0.8433048433048433, 0.8457672433038753
ionosphere, 351, 34, CHI, , , 23, 22.82706531176781, NB, , , 0.1623931623931624, 0.8528954705425293, 0.8376068376068376, 0.8402818107691133
ionosphere, 351, 34, CHI, , , 24, 23.799457770104954, NB, , , 0.16809116809116809, 0.8490395165510373, 0.8319088319088319, 0.8347932121864718
ionosphere, 351, 34, CHI, , , 25, 24.729502122596504, NB, , , 0.16524216524216523, 0.8509578408055565, 0.8347578347578347, 0.8375379754526674
ionosphere, 351, 34, CHI, , , 26, 25.631125065880134, NB, , , 0.16524216524216523, 0.8509578408055565, 0.8347578347578347, 0.8375379754526674
ionosphere, 351, 34, CHI, , , 27, 26.53102811645593, NB, , , 0.1737891737891738, 0.8434530139599263, 0.8262108262108262, 0.8291929820910978
ionosphere, 351, 34, CHI, , , 28, 27.428355745240083, NB, , , 0.1737891737891738, 0.8434530139599263, 0.8262108262108262, 0.8291929820910978
ionosphere, 351, 34, CHI, , , 29, 28.32534112644731, NB, , , 0.1737891737891738, 0.8434530139599263, 0.8262108262108262, 0.8291929820910978
ionosphere, 351, 34, CHI, , , 30, 29.209416010833362, NB, , , 0.1737891737891738, 0.8434530139599263, 0.8262108262108262, 0.8291929820910978
ionosphere, 351, 34, CHI, , , 31, 30.08956489845776, NB, , , 0.18518518518518517, 0.834077527524241, 0.8148148148148148, 0.8181069403566176
ionosphere, 351, 34, CHI, , , 32, 30.96541596029332, NB, , , 0.17094017094017094, 0.8436870587756596, 0.8290598290598291, 0.8318123440289857
ionosphere, 351, 34, CHI, , , 33, 31.731429539041116, NB, , , 0.1737891737891738, 0.8417279887868123, 0.8262108262108262, 0.8290735167879987
ionosphere, 351, 34, CHI, , , 34, 31.731429539041116, NB, , , 0.1737891737891738, 0.8417279887868123, 0.8262108262108262, 0.8290735167879987
ionosphere, 351, 34, IG, , , 1, 1.0, NB, , , 0.18233618233618235, 0.8226643445274624, 0.8176638176638177, 0.8085742458348555
ionosphere, 351, 34, IG, , , 2, 1.9994245361245475, NB, , , 0.1452991452991453, 0.8539517196731542, 0.8547008547008547, 0.8520899848249612
ionosphere, 351, 34, IG, , , 3, 2.9949017632781643, NB, , , 0.13675213675213677, 0.8620971838139851, 0.8632478632478633, 0.8619088421459964
ionosphere, 351, 34, IG, , , 4, 3.9909255881010517, NB, , , 0.15384615384615385, 0.8456619407308622, 0.8461538461538461, 0.8458788291354663
ionosphere, 351, 34, IG, , , 5, 4.987109602186726, NB, , , 0.1168091168091168, 0.8824049513704686, 0.8831908831908832, 0.8824167808850523
ionosphere, 351, 34, IG, , , 6, 5.983439579424065, NB, , , 0.1282051282051282, 0.870988695099367, 0.8717948717948718, 0.871201672821106
