dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
iris, 150, 4, CHI, , , 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, CHI, , , 2, 1.99999203482905, NB, , , 0.04, 0.96, 0.96, 0.96
iris, 150, 4, CHI, , , 3, 2.853213675286428, NB, , , 0.04, 0.9604700854700855, 0.96, 0.9599839935974391
iris, 150, 4, CHI, , , 4, 3.541459915988458, NB, , , 0.04, 0.9604700854700855, 0.96, 0.9599839935974391
iris, 150, 4, IG, , , 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, IG, , , 2, 1.9997994662113348, NB, , , 0.04, 0.96, 0.96, 0.96
iris, 150, 4, IG, , , 3, 2.8711324833220453, NB, , , 0.04, 0.9604700854700855, 0.96, 0.9599839935974391
iris, 150, 4, IG, , , 4, 3.564486931316088, NB, , , 0.04, 0.9604700854700855, 0.96, 0.9599839935974391
iris, 150, 4, L2, , , 1, 1.0, NB, , , 0.04666666666666667, 0.954664570230608, 0.9533333333333334, 0.9535711116848427
iris, 150, 4, L2, , , 2, 1.994214897610798, NB, , , 0.04, 0.96, 0.96, 0.96
iris, 150, 4, L2, , , 3, 2.8273724801305096, NB, , , 0.04, 0.9604700854700855, 0.96, 0.9599839935974391
iris, 150, 4, L2, , , 4, 3.5043056378224313, NB, , , 0.04, 0.9604700854700855, 0.96, 0.9599839935974391
iris, 150, 4, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.1, 0.8, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.15, 0.8, 1, 1.0, NB, , , 0.03333333333333333, 0.9667867146858744, 0.9666666666666667, 0.9666633329999667
iris, 150, 4, PAS, 0.03, 0.2, 2, 1.5492642595745796, NB, , , 0.08666666666666667, 0.9142245416833936, 0.9133333333333333, 0.9132552630700964
iris, 150, 4, PAS, 0.03, 0.3, 2, 1.5492642595745796, NB, , , 0.08666666666666667, 0.9142245416833936, 0.9133333333333333, 0.9132552630700964
