dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
liver-disorders, 345, 6, CHI, , , 1, 1.0, NB, , , 0.43478260869565216, 0.5668907773205576, 0.5652173913043478, 0.5659792243643175
liver-disorders, 345, 6, CHI, , , 2, 1.0, NB, , , 0.40869565217391307, 0.5739868866433078, 0.591304347826087, 0.5444834518558527
liver-disorders, 345, 6, CHI, , , 3, 1.0, NB, , , 0.4057971014492754, 0.5794854510729132, 0.5942028985507246, 0.5691728371622049
liver-disorders, 345, 6, CHI, , , 4, 1.0, NB, , , 0.39710144927536234, 0.6048532144184317, 0.6028985507246377, 0.6037505169320511
liver-disorders, 345, 6, CHI, , , 5, 1.0, NB, , , 0.46956521739130436, 0.6003870554682498, 0.5304347826086957, 0.5099166701462001
liver-disorders, 345, 6, CHI, , , 6, 1.0, NB, , , 0.4463768115942029, 0.6087715996182815, 0.553623188405797, 0.5435435656612675
liver-disorders, 345, 6, IG, , , 1, 1.0, NB, , , 0.43478260869565216, 0.5668907773205576, 0.5652173913043478, 0.5659792243643175
liver-disorders, 345, 6, IG, , , 2, 1.0, NB, , , 0.40869565217391307, 0.5739868866433078, 0.591304347826087, 0.5444834518558527
liver-disorders, 345, 6, IG, , , 3, 1.0, NB, , , 0.4057971014492754, 0.5794854510729132, 0.5942028985507246, 0.5691728371622049
liver-disorders, 345, 6, IG, , , 4, 1.0, NB, , , 0.39710144927536234, 0.6048532144184317, 0.6028985507246377, 0.6037505169320511
liver-disorders, 345, 6, IG, , , 5, 1.0, NB, , , 0.46956521739130436, 0.6003870554682498, 0.5304347826086957, 0.5099166701462001
liver-disorders, 345, 6, IG, , , 6, 1.0, NB, , , 0.4463768115942029, 0.6087715996182815, 0.553623188405797, 0.5435435656612675
liver-disorders, 345, 6, L2, , , 1, 1.0, NB, , , 0.43478260869565216, 0.5668907773205576, 0.5652173913043478, 0.5659792243643175
liver-disorders, 345, 6, L2, , , 2, 1.0, NB, , , 0.40869565217391307, 0.5739868866433078, 0.591304347826087, 0.5444834518558527
liver-disorders, 345, 6, L2, , , 3, 1.0, NB, , , 0.4057971014492754, 0.5794854510729132, 0.5942028985507246, 0.5691728371622049
liver-disorders, 345, 6, L2, , , 4, 1.0, NB, , , 0.39710144927536234, 0.6048532144184317, 0.6028985507246377, 0.6037505169320511
liver-disorders, 345, 6, L2, , , 5, 1.0, NB, , , 0.46956521739130436, 0.6003870554682498, 0.5304347826086957, 0.5099166701462001
liver-disorders, 345, 6, L2, , , 6, 1.0, NB, , , 0.4463768115942029, 0.6087715996182815, 0.553623188405797, 0.5435435656612675
liver-disorders, 345, 6, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.42028985507246375, 0.5499750124937531, 0.5797101449275363, 0.48165245707606263
liver-disorders, 345, 6, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.42028985507246375, 0.5499750124937531, 0.5797101449275363, 0.48165245707606263
liver-disorders, 345, 6, PAS, 0.03, 0.6, 1, NaN, NB, , , 0.42028985507246375, 0.5499750124937531, 0.5797101449275363, 0.48165245707606263
liver-disorders, 345, 6, PAS, 0.03, 0.8, 1, NaN, NB, , , 0.42028985507246375, 0.5499750124937531, 0.5797101449275363, 0.48165245707606263
liver-disorders, 345, 6, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.42028985507246375, 0.5499750124937531, 0.5797101449275363, 0.48165245707606263
liver-disorders, 345, 6, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.42028985507246375, 0.5499750124937531, 0.5797101449275363, 0.48165245707606263
liver-disorders, 345, 6, PAS, 0.05, 0.6, 1, NaN, NB, , , 0.42028985507246375, 0.5499750124937531, 0.5797101449275363, 0.48165245707606263
