dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
lung-cancer, 32, 56, CHI, , , 1, 1.0, NB, , , 0.125, 0.8935185185185185, 0.875, 0.8621428571428571
lung-cancer, 32, 56, CHI, , , 2, 1.889700559300266, NB, , , 0.125, 0.875, 0.875, 0.875
lung-cancer, 32, 56, CHI, , , 3, 2.79308623914909, NB, , , 0.1875, 0.8292748917748918, 0.8125, 0.8176136363636364
lung-cancer, 32, 56, CHI, , , 4, 3.721681018776561, NB, , , 0.1875, 0.8292748917748918, 0.8125, 0.8176136363636364
lung-cancer, 32, 56, CHI, , , 5, 4.666709717324082, NB, , , 0.1875, 0.8292748917748918, 0.8125, 0.8176136363636364
lung-cancer, 32, 56, CHI, , , 6, 5.613520390580991, NB, , , 0.15625, 0.850284090909091, 0.84375, 0.8461257309941521
lung-cancer, 32, 56, CHI, , , 7, 6.549671728038694, NB, , , 0.15625, 0.850284090909091, 0.84375, 0.8461257309941521
lung-cancer, 32, 56, CHI, , , 8, 7.492869129759117, NB, , , 0.15625, 0.850284090909091, 0.84375, 0.8461257309941521
lung-cancer, 32, 56, CHI, , , 9, 8.431708909422026, NB, , , 0.15625, 0.850284090909091, 0.84375, 0.8461257309941521
lung-cancer, 32, 56, CHI, , , 10, 9.3629086948341, NB, , , 0.15625, 0.850284090909091, 0.84375, 0.8461257309941521
lung-cancer, 32, 56, CHI, , , 11, 10.291557148576347, NB, , , 0.15625, 0.850284090909091, 0.84375, 0.8461257309941521
lung-cancer, 32, 56, CHI, , , 12, 11.22734877291382, NB, , , 0.15625, 0.850284090909091, 0.84375, 0.8461257309941521
lung-cancer, 32, 56, CHI, , , 13, 12.169510914647567, NB, , , 0.1875, 0.8125, 0.8125, 0.8125
lung-cancer, 32, 56, CHI, , , 14, 13.115978562889754, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 15, 14.065206947601235, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 16, 15.01242574035558, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 17, 15.896292443231184, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 18, 16.761863436068577, NB, , , 0.1875, 0.8125, 0.8125, 0.8125
lung-cancer, 32, 56, CHI, , , 19, 17.625509299070252, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 20, 18.462465907963423, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 21, 19.27702071901021, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 22, 20.073292314749885, NB, , , 0.1875, 0.8046428571428572, 0.8125, 0.8046874999999999
lung-cancer, 32, 56, CHI, , , 23, 20.872499469486613, NB, , , 0.15625, 0.83984375, 0.84375, 0.840816645807259
lung-cancer, 32, 56, CHI, , , 24, 21.67253478496602, NB, , , 0.1875, 0.8046428571428572, 0.8125, 0.8046874999999999
lung-cancer, 32, 56, CHI, , , 25, 22.478578584119223, NB, , , 0.1875, 0.8046428571428572, 0.8125, 0.8046874999999999
lung-cancer, 32, 56, CHI, , , 26, 23.27191070668174, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 27, 24.061894182103376, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 28, 24.84144040573911, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 29, 25.626340452331952, NB, , , 0.25, 0.7357142857142858, 0.75, 0.7395833333333333
lung-cancer, 32, 56, CHI, , , 30, 26.40308963435171, NB, , , 0.25, 0.7357142857142858, 0.75, 0.7395833333333333
lung-cancer, 32, 56, CHI, , , 31, 27.173279050706345, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 32, 27.94225615440881, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 33, 28.6969253455209, NB, , , 0.25, 0.7357142857142858, 0.75, 0.7395833333333333
lung-cancer, 32, 56, CHI, , , 34, 29.425159906550057, NB, , , 0.25, 0.7357142857142858, 0.75, 0.7395833333333333
lung-cancer, 32, 56, CHI, , , 35, 30.157993146204756, NB, , , 0.25, 0.7357142857142858, 0.75, 0.7395833333333333
lung-cancer, 32, 56, CHI, , , 36, 30.879557992571367, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 37, 31.59874827769255, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 38, 32.305803053979595, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 39, 33.01547141613108, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 40, 33.659235957170274, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 41, 34.28277155961427, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 42, 34.89644047594966, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 43, 35.500598830996765, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 44, 36.09820965559032, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
lung-cancer, 32, 56, CHI, , , 45, 36.6476599317492, NB, , , 0.21875, 0.7747395833333334, 0.78125, 0.7771433041301626
