dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
mushroom, 8124, 22, CHI, , , 1, 1.0, NB, , , 0.014771048744460856, 0.9856384997419845, 0.9852289512555391, 0.9852178577612003
mushroom, 8124, 22, CHI, , , 2, 1.9381315360279667, NB, , , 0.011816838995568686, 0.9881831610044313, 0.9881831610044313, 0.9881831610044313
mushroom, 8124, 22, CHI, , , 3, 2.8617771140163404, NB, , , 0.011447562776957163, 0.9886244549507726, 0.9885524372230429, 0.988549397651605
mushroom, 8124, 22, CHI, , , 4, 3.7442830341210347, NB, , , 0.0206794682422452, 0.9801144418730878, 0.9793205317577548, 0.9792962398694599
mushroom, 8124, 22, CHI, , , 5, 4.638181674596936, NB, , , 0.04357459379615953, 0.9581846513148535, 0.9564254062038404, 0.9563312885648271
mushroom, 8124, 22, CHI, , , 6, 5.53936756720196, NB, , , 0.056129985228951254, 0.9463654751758304, 0.9438700147710487, 0.9437088560239432
mushroom, 8124, 22, CHI, , , 7, 6.4190959640519925, NB, , , 0.01637124569177745, 0.9836302131542293, 0.9836287543082225, 0.9836291107069524
mushroom, 8124, 22, CHI, , , 8, 7.296974573431706, NB, , , 0.019571639586410634, 0.98053329375811, 0.9804283604135894, 0.9804217155456313
mushroom, 8124, 22, CHI, , , 9, 8.176892652092848, NB, , , 0.032619399310684395, 0.9681454502524751, 0.9673806006893156, 0.9673419707110184
mushroom, 8124, 22, CHI, , , 10, 9.052993279356249, NB, , , 0.045667159034958146, 0.955091726408806, 0.9543328409650419, 0.9542769954399687
mushroom, 8124, 22, CHI, , , 11, 9.922288795621483, NB, , , 0.047636632200886264, 0.9538938762167823, 0.9523633677991138, 0.9522691248618169
mushroom, 8124, 22, CHI, , , 12, 10.732726300467512, NB, , , 0.04455933037912359, 0.9566297263745567, 0.9554406696208764, 0.9553672772052982
mushroom, 8124, 22, CHI, , , 13, 11.384756788793029, NB, , , 0.040743476120137866, 0.9618008130911575, 0.9592565238798622, 0.9591423804547907
mushroom, 8124, 22, CHI, , , 14, 11.818385271010493, NB, , , 0.04283604135893648, 0.9595729342322799, 0.9571639586410635, 0.957048074299441
mushroom, 8124, 22, CHI, , , 15, 12.215572850593846, NB, , , 0.04382077794190054, 0.9580225548335563, 0.9561792220580995, 0.9560813050909911
mushroom, 8124, 22, CHI, , , 16, 12.597792948282322, NB, , , 0.04788281634662728, 0.9549113125085978, 0.9521171836533727, 0.9519708579314345
mushroom, 8124, 22, CHI, , , 17, 12.976589556509328, NB, , , 0.04677498769079271, 0.9559410819062879, 0.9532250123092073, 0.953085424697168
