dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
nursery, 12960, 8, CHI, , , 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, CHI, , , 2, 1.6145334903069415, NB, , , 0.1683641975308642, 0.8124963563100138, 0.8316358024691358, 0.8217915360084254
nursery, 12960, 8, CHI, , , 3, 1.9925019372786241, NB, , , 0.12345679012345678, 0.8567118868488451, 0.8765432098765432, 0.8661369767778021
nursery, 12960, 8, CHI, , , 4, 2.152533110539217, NB, , , 0.12314814814814815, 0.8573119230127411, 0.8768518518518519, 0.8664588519035794
nursery, 12960, 8, CHI, , , 5, 2.30716251339291, NB, , , 0.10972222222222222, 0.8711558133563221, 0.8902777777777777, 0.8796822552714099
nursery, 12960, 8, CHI, , , 6, 2.4303293044661407, NB, , , 0.10632716049382716, 0.8737038227070358, 0.8936728395061728, 0.8829880750670299
nursery, 12960, 8, CHI, , , 7, 2.4980093751864474, NB, , , 0.10054012345679013, 0.9026227036147769, 0.8994598765432099, 0.8899589303400478
nursery, 12960, 8, CHI, , , 8, 2.554344186568881, NB, , , 0.09675925925925925, 0.9057235072198113, 0.9032407407407408, 0.8943700533007449
nursery, 12960, 8, IG, , , 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, IG, , , 2, 1.5777032478630422, NB, , , 0.1683641975308642, 0.8124963563100138, 0.8316358024691358, 0.8217915360084254
nursery, 12960, 8, IG, , , 3, 1.923535822272025, NB, , , 0.12345679012345678, 0.8567118868488451, 0.8765432098765432, 0.8661369767778021
nursery, 12960, 8, IG, , , 4, 2.0788284596707487, NB, , , 0.12407407407407407, 0.856574228183821, 0.8759259259259259, 0.8655563844579864
nursery, 12960, 8, IG, , , 5, 2.225996499992495, NB, , , 0.10972222222222222, 0.8711558133563221, 0.8902777777777777, 0.8796822552714099
nursery, 12960, 8, IG, , , 6, 2.3289477934441347, NB, , , 0.10632716049382716, 0.8737038227070358, 0.8936728395061728, 0.8829880750670299
nursery, 12960, 8, IG, , , 7, 2.386036913474017, NB, , , 0.10054012345679013, 0.9026227036147769, 0.8994598765432099, 0.8899589303400478
nursery, 12960, 8, IG, , , 8, 2.4331262489990135, NB, , , 0.09675925925925925, 0.9057235072198113, 0.9032407407407408, 0.8943700533007449
nursery, 12960, 8, L2, , , 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, L2, , , 2, 1.423166585367896, NB, , , 0.1683641975308642, 0.8124963563100138, 0.8316358024691358, 0.8217915360084254
nursery, 12960, 8, L2, , , 3, 1.7568193517565556, NB, , , 0.12345679012345678, 0.8567118868488451, 0.8765432098765432, 0.8661369767778021
nursery, 12960, 8, L2, , , 4, 1.8519851759388959, NB, , , 0.12314814814814815, 0.8573119230127411, 0.8768518518518519, 0.8664588519035794
nursery, 12960, 8, L2, , , 5, 1.936600482051036, NB, , , 0.10972222222222222, 0.8711558133563221, 0.8902777777777777, 0.8796822552714099
nursery, 12960, 8, L2, , , 6, 1.992713783115511, NB, , , 0.10632716049382716, 0.8737038227070358, 0.8936728395061728, 0.8829880750670299
nursery, 12960, 8, L2, , , 7, 2.0365312031546305, NB, , , 0.10084876543209877, 0.9024717173782507, 0.8991512345679012, 0.8897552433673122
nursery, 12960, 8, L2, , , 8, 2.06643132860938, NB, , , 0.09675925925925925, 0.9057235072198113, 0.9032407407407408, 0.8943700533007449
nursery, 12960, 8, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.1, 0.8, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.15, 0.8, 1, 1.0, NB, , , 0.2902777777777778, 0.6952391975308642, 0.7097222222222223, 0.7022728184181584
nursery, 12960, 8, PAS, 0.03, 0.2, 2, 1.7921893201155992, NB, , , 0.1683641975308642, 0.8124963563100138, 0.8316358024691358, 0.8217915360084254
