dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
optdigits, 5620, 64, CHI, , , 1, 1.0, NB, , , 0.7601423487544484, 0.12561958038367815, 0.2398576512455516, 0.1525391313751276
optdigits, 5620, 64, CHI, , , 2, 1.9999951497306694, NB, , , 0.606405693950178, 0.32964245605621856, 0.39359430604982204, 0.31375812157185123
optdigits, 5620, 64, CHI, , , 3, 2.9997163046398168, NB, , , 0.5364768683274022, 0.4534697759136884, 0.46352313167259784, 0.4194753032888954
optdigits, 5620, 64, CHI, , , 4, 3.9995313650845525, NB, , , 0.45427046263345194, 0.5553340822081482, 0.5457295373665481, 0.5261813332296957
optdigits, 5620, 64, CHI, , , 5, 4.9989269262413085, NB, , , 0.42419928825622777, 0.603725598696569, 0.5758007117437722, 0.5622864680611476
optdigits, 5620, 64, CHI, , , 6, 5.998180067273085, NB, , , 0.36619217081850536, 0.6485349312901746, 0.6338078291814947, 0.6188318725471916
optdigits, 5620, 64, CHI, , , 7, 6.996166573716227, NB, , , 0.35338078291814945, 0.6658970310206671, 0.6466192170818506, 0.6369505137464867
optdigits, 5620, 64, CHI, , , 8, 7.993943071545592, NB, , , 0.3145907473309609, 0.7032435433077447, 0.6854092526690392, 0.6826932179152619
optdigits, 5620, 64, CHI, , , 9, 8.986963358256137, NB, , , 0.2765124555160142, 0.7428841204577002, 0.7234875444839858, 0.7219611764708456
optdigits, 5620, 64, CHI, , , 10, 9.980727643870937, NB, , , 0.22953736654804271, 0.7872063777390247, 0.7704626334519573, 0.7685703325725068
optdigits, 5620, 64, CHI, , , 11, 10.973990571738044, NB, , , 0.19679715302491102, 0.8109410698028773, 0.8032028469750889, 0.8014579150088945
optdigits, 5620, 64, CHI, , , 12, 11.967572138179202, NB, , , 0.16903914590747332, 0.8368399639188173, 0.8309608540925267, 0.8306343950261921
optdigits, 5620, 64, CHI, , , 13, 12.960894989912491, NB, , , 0.14252669039145907, 0.8582354829273658, 0.857473309608541, 0.8564821734504401
optdigits, 5620, 64, CHI, , , 14, 13.954258838797386, NB, , , 0.12295373665480427, 0.8780371311798056, 0.8770462633451958, 0.8770313097424681
optdigits, 5620, 64, CHI, , , 15, 14.947926189751682, NB, , , 0.12170818505338078, 0.879085537532486, 0.8782918149466192, 0.8779564727988007
optdigits, 5620, 64, CHI, , , 16, 15.942219925472035, NB, , , 0.11334519572953737, 0.8873667109733122, 0.8866548042704626, 0.8865475530095692
optdigits, 5620, 64, CHI, , , 17, 16.936347011787714, NB, , , 0.11476868327402136, 0.8858793947854333, 0.8852313167259787, 0.8851336614186256
optdigits, 5620, 64, CHI, , , 18, 17.93021969331613, NB, , , 0.11352313167259787, 0.8879366594644876, 0.8864768683274021, 0.8866142433211486
optdigits, 5620, 64, CHI, , , 19, 18.924001957766247, NB, , , 0.11281138790035587, 0.8884106343956906, 0.8871886120996442, 0.8871255447775266
optdigits, 5620, 64, CHI, , , 20, 19.91694390915425, NB, , , 0.11672597864768683, 0.8849498454540591, 0.8832740213523131, 0.8833407380079635
optdigits, 5620, 64, CHI, , , 21, 20.909292437288222, NB, , , 0.11334519572953737, 0.8883649543407673, 0.8866548042704626, 0.8867357667497134
optdigits, 5620, 64, CHI, , , 22, 21.899691542351075, NB, , , 0.11156583629893238, 0.8901505739212351, 0.8884341637010676, 0.8884462270836722
optdigits, 5620, 64, CHI, , , 23, 22.887133761033883, NB, , , 0.10338078291814946, 0.8980837731242471, 0.8966192170818506, 0.8965993511745795
optdigits, 5620, 64, CHI, , , 24, 23.874459390513422, NB, , , 0.09750889679715302, 0.9041800940780674, 0.902491103202847, 0.9026359074934595
optdigits, 5620, 64, CHI, , , 25, 24.86034359215556, NB, , , 0.09697508896797152, 0.9044185040373919, 0.9030249110320284, 0.9031437829640108
optdigits, 5620, 64, CHI, , , 26, 25.84694988680397, NB, , , 0.09733096085409253, 0.904419307235934, 0.9026690391459075, 0.902921091918622
optdigits, 5620, 64, CHI, , , 27, 26.83083737364049, NB, , , 0.09644128113879004, 0.9056585747032231, 0.90355871886121, 0.9038088948874443
optdigits, 5620, 64, CHI, , , 28, 27.81389873329269, NB, , , 0.09234875444839857, 0.9097965273758207, 0.9076512455516014, 0.907919197449247
optdigits, 5620, 64, CHI, , , 29, 28.794252356019083, NB, , , 0.09288256227758007, 0.9094348275258998, 0.9071174377224199, 0.9074404802974539
optdigits, 5620, 64, CHI, , , 30, 29.771623999346005, NB, , , 0.09412811387900356, 0.9080928769997896, 0.9058718861209965, 0.9061958208532506
optdigits, 5620, 64, CHI, , , 31, 30.744413971801244, NB, , , 0.09519572953736655, 0.9071961261678627, 0.9048042704626335, 0.9051004514653647
optdigits, 5620, 64, CHI, , , 32, 31.690955823208053, NB, , , 0.0900355871886121, 0.9122260943978449, 0.9099644128113878, 0.9102730002048607
optdigits, 5620, 64, CHI, , , 33, 32.63281461984109, NB, , , 0.08807829181494661, 0.9139844678209618, 0.9119217081850534, 0.9122626726715436
optdigits, 5620, 64, CHI, , , 34, 33.57267175610891, NB, , , 0.08790035587188612, 0.9136740579896151, 0.9120996441281138, 0.9122646193411961
optdigits, 5620, 64, CHI, , , 35, 34.505904543454896, NB, , , 0.0895017793594306, 0.9122281521228603, 0.9104982206405694, 0.9107038145844252
optdigits, 5620, 64, CHI, , , 36, 35.43713737897064, NB, , , 0.09145907473309609, 0.9102515074877655, 0.9085409252669039, 0.9087006054251219
optdigits, 5620, 64, CHI, , , 37, 36.361513822615805, NB, , , 0.0902135231316726, 0.9113100842893632, 0.9097864768683274, 0.9099972824444694
optdigits, 5620, 64, CHI, , , 38, 37.27874407643038, NB, , , 0.08736654804270462, 0.9139581051656736, 0.9126334519572954, 0.912822332074138
optdigits, 5620, 64, CHI, , , 39, 38.19747769697843, NB, , , 0.08718861209964412, 0.9143704020706441, 0.9128113879003559, 0.912967508090863
optdigits, 5620, 64, CHI, , , 40, 39.11808595780532, NB, , , 0.08505338078291814, 0.916700113954957, 0.9149466192170819, 0.9151892622571581
optdigits, 5620, 64, CHI, , , 41, 40.03316333077265, NB, , , 0.08345195729537366, 0.9182627049174457, 0.9165480427046263, 0.9168117605003852
optdigits, 5620, 64, CHI, , , 42, 40.91090594628597, NB, , , 0.08469750889679716, 0.9170097042650698, 0.9153024911032028, 0.9155409432586161
optdigits, 5620, 64, CHI, , , 43, 41.75836099679786, NB, , , 0.08274021352313167, 0.9187871404801544, 0.9172597864768683, 0.917477969600545
optdigits, 5620, 64, CHI, , , 44, 42.60849675462613, NB, , , 0.08185053380782918, 0.9200601924877683, 0.9181494661921709, 0.9184669858312943
optdigits, 5620, 64, CHI, , , 45, 43.39063062894733, NB, , , 0.08256227758007118, 0.9191867606513844, 0.9174377224199288, 0.9177335778136803
optdigits, 5620, 64, CHI, , , 46, 44.13721477368989, NB, , , 0.08291814946619216, 0.9189825533157722, 0.9170818505338079, 0.917314244450624
optdigits, 5620, 64, CHI, , , 47, 44.81553268627344, NB, , , 0.08309608540925267, 0.9188267536401686, 0.9169039145907474, 0.9171689006106387
optdigits, 5620, 64, CHI, , , 48, 45.4169076534784, NB, , , 0.08505338078291814, 0.9171858248982979, 0.9149466192170819, 0.9153161589403619
optdigits, 5620, 64, CHI, , , 49, 45.957698456704826, NB, , , 0.08505338078291814, 0.9176538801507476, 0.9149466192170819, 0.9153374195581979
optdigits, 5620, 64, CHI, , , 50, 46.49357207356662, NB, , , 0.08665480427046264, 0.9161117446741569, 0.9133451957295373, 0.9138182548731807
optdigits, 5620, 64, CHI, , , 51, 46.993816682786026, NB, , , 0.08718861209964412, 0.9156885164345058, 0.9128113879003559, 0.9132604605140354
optdigits, 5620, 64, CHI, , , 52, 47.42783707232512, NB, , , 0.08718861209964412, 0.9156133874785558, 0.9128113879003559, 0.9132364546709806
optdigits, 5620, 64, CHI, , , 53, 47.828901674264536, NB, , , 0.08701067615658363, 0.9158426835240451, 0.9129893238434164, 0.9134311310339549
optdigits, 5620, 64, CHI, , , 54, 48.22742724797005, NB, , , 0.08718861209964412, 0.9156763296195704, 0.9128113879003559, 0.9132525543656844
optdigits, 5620, 64, CHI, , , 55, 48.560864198643166, NB, , , 0.08718861209964412, 0.9156076159835237, 0.9128113879003559, 0.9132562429523423
optdigits, 5620, 64, CHI, , , 56, 48.86565485151039, NB, , , 0.08701067615658363, 0.9158275705495766, 0.9129893238434164, 0.9134442356633936
optdigits, 5620, 64, CHI, , , 57, 48.995754017504304, NB, , , 0.08701067615658363, 0.9158275705495766, 0.9129893238434164, 0.9134442356633936
optdigits, 5620, 64, CHI, , , 58, 49.069586528532675, NB, , , 0.08701067615658363, 0.9158275705495766, 0.9129893238434164, 0.9134442356633936
optdigits, 5620, 64, CHI, , , 59, 49.069586528532675, NB, , , 0.08701067615658363, 0.9158275705495766, 0.9129893238434164, 0.9134442356633936
optdigits, 5620, 64, CHI, , , 60, 49.069586528532675, NB, , , 0.08701067615658363, 0.9158275705495766, 0.9129893238434164, 0.9134442356633936
optdigits, 5620, 64, CHI, , , 61, 49.069586528532675, NB, , , 0.08701067615658363, 0.9158275705495766, 0.9129893238434164, 0.9134442356633936
optdigits, 5620, 64, CHI, , , 62, 49.069586528532675, NB, , , 0.08665480427046264, 0.916173520121299, 0.9133451957295373, 0.913812412455586
optdigits, 5620, 64, CHI, , , 63, 49.069586528532675, NB, , , 0.08665480427046264, 0.916173520121299, 0.9133451957295373, 0.913812412455586
optdigits, 5620, 64, CHI, , , 64, 49.069586528532675, NB, , , 0.08665480427046264, 0.916173520121299, 0.9133451957295373, 0.913812412455586
optdigits, 5620, 64, IG, , , 1, 1.0, NB, , , 0.7549822064056939, 0.145063788736472, 0.24501779359430606, 0.15856055942705954
optdigits, 5620, 64, IG, , , 2, 1.9970090405093988, NB, , , 0.5587188612099644, 0.3527612166424397, 0.4412811387900356, 0.36475694324900265
optdigits, 5620, 64, IG, , , 3, 2.994991623448788, NB, , , 0.497864768683274, 0.47888186131450144, 0.502135231316726, 0.4572593273504123
optdigits, 5620, 64, IG, , , 4, 3.993611568303955, NB, , , 0.40498220640569393, 0.5812583028318926, 0.5950177935943061, 0.5675104757184697
optdigits, 5620, 64, IG, , , 5, 4.991742618237243, NB, , , 0.33434163701067615, 0.6604559500833356, 0.6656583629893238, 0.6496905669404159
optdigits, 5620, 64, IG, , , 6, 5.9902042302407015, NB, , , 0.31583629893238435, 0.684527424915178, 0.6841637010676157, 0.6731643990762456
optdigits, 5620, 64, IG, , , 7, 6.9846227416348725, NB, , , 0.2619217081850534, 0.7319886439917683, 0.7380782918149467, 0.7286022945342148
optdigits, 5620, 64, IG, , , 8, 7.97940229687299, NB, , , 0.25516014234875445, 0.7429513782428103, 0.7448398576512456, 0.7343987073410142
optdigits, 5620, 64, IG, , , 9, 8.974833133560436, NB, , , 0.22544483985765124, 0.7812646352268986, 0.7745551601423487, 0.7718520233379284
optdigits, 5620, 64, IG, , , 10, 9.970936205310425, NB, , , 0.20373665480427047, 0.8001575621990328, 0.7962633451957295, 0.7946542690283432
optdigits, 5620, 64, IG, , , 11, 10.966920462327435, NB, , , 0.1895017793594306, 0.8168293885159272, 0.8104982206405694, 0.8089498820203858
optdigits, 5620, 64, IG, , , 12, 11.963278038282594, NB, , , 0.16298932384341638, 0.8382424021754362, 0.8370106761565836, 0.8348552667644571
optdigits, 5620, 64, IG, , , 13, 12.953986249970402, NB, , , 0.15676156583629894, 0.8450971203314493, 0.843238434163701, 0.8408248051522272
optdigits, 5620, 64, IG, , , 14, 13.944462958309078, NB, , , 0.1386120996441281, 0.8625007224414641, 0.8613879003558719, 0.8600504076373447
optdigits, 5620, 64, IG, , , 15, 14.935850270318777, NB, , , 0.13647686832740213, 0.8650547482365686, 0.8635231316725979, 0.8620546267087157
optdigits, 5620, 64, IG, , , 16, 15.926522654885906, NB, , , 0.1206405693950178, 0.8804184785818701, 0.8793594306049822, 0.8786694790175544
optdigits, 5620, 64, IG, , , 17, 16.91725948094386, NB, , , 0.12686832740213524, 0.8743087025908587, 0.8731316725978647, 0.8725875087992553
optdigits, 5620, 64, IG, , , 18, 17.9080962493216, NB, , , 0.12740213523131672, 0.8736245514058428, 0.8725978647686833, 0.8721486504892894
optdigits, 5620, 64, IG, , , 19, 18.895041196707158, NB, , , 0.12580071174377225, 0.8755127058328432, 0.8741992882562277, 0.8738029447071293
optdigits, 5620, 64, IG, , , 20, 19.881231393891206, NB, , , 0.11565836298932385, 0.8855249360320598, 0.8843416370106761, 0.8840267500382349
optdigits, 5620, 64, IG, , , 21, 20.864205265198713, NB, , , 0.10871886120996441, 0.8928164070174441, 0.8912811387900356, 0.891314194939338
optdigits, 5620, 64, IG, , , 22, 21.8470520867791, NB, , , 0.10907473309608541, 0.8922627678670677, 0.8909252669039146, 0.890801276980749
optdigits, 5620, 64, IG, , , 23, 22.831026424373512, NB, , , 0.099644128113879, 0.9016721506209363, 0.900355871886121, 0.9005026095730969
optdigits, 5620, 64, IG, , , 24, 23.81375847051168, NB, , , 0.0902135231316726, 0.9108344421750809, 0.9097864768683274, 0.9099110286281727
optdigits, 5620, 64, IG, , , 25, 24.79658742431023, NB, , , 0.09341637010676157, 0.9080718641502642, 0.9065836298932385, 0.9067996638654637
optdigits, 5620, 64, IG, , , 26, 25.776837020901645, NB, , , 0.09199288256227758, 0.9096213799233198, 0.9080071174377224, 0.9082301508162953
optdigits, 5620, 64, IG, , , 27, 26.754906272314866, NB, , , 0.09270462633451958, 0.9087650867082945, 0.9072953736654804, 0.9074714673080855
optdigits, 5620, 64, IG, , , 28, 27.733887990779216, NB, , , 0.09626334519572954, 0.905474578329489, 0.9037366548042705, 0.9039692873395814
optdigits, 5620, 64, IG, , , 29, 28.709100122610316, NB, , , 0.09448398576512455, 0.9073936701831472, 0.9055160142348755, 0.9058329618962052
optdigits, 5620, 64, IG, , , 30, 29.68196532648439, NB, , , 0.09501779359430605, 0.9074635450433031, 0.9049822064056939, 0.9053833167884686
optdigits, 5620, 64, IG, , , 31, 30.65374169922487, NB, , , 0.09519572953736655, 0.9071961261678627, 0.9048042704626335, 0.9051004514653647
optdigits, 5620, 64, IG, , , 32, 31.61344526394594, NB, , , 0.0900355871886121, 0.9122260943978449, 0.9099644128113878, 0.9102730002048607
optdigits, 5620, 64, IG, , , 33, 32.56344304284591, NB, , , 0.08967971530249111, 0.9128121425894759, 0.9103202846975089, 0.9106462041080775
optdigits, 5620, 64, IG, , , 34, 33.50733883324273, NB, , , 0.0887900355871886, 0.9133666647704466, 0.9112099644128114, 0.9115094738155336
optdigits, 5620, 64, IG, , , 35, 34.43823741138578, NB, , , 0.08629893238434164, 0.915553809740956, 0.9137010676156584, 0.9139912857720894
optdigits, 5620, 64, IG, , , 36, 35.368725444212416, NB, , , 0.08736654804270462, 0.9143801849027489, 0.9126334519572954, 0.9129059351852101
optdigits, 5620, 64, IG, , , 37, 36.30049730006528, NB, , , 0.08629893238434164, 0.9153051005384418, 0.9137010676156584, 0.9139446268109445
optdigits, 5620, 64, IG, , , 38, 37.21145288729915, NB, , , 0.08416370106761566, 0.9175918318056907, 0.9158362989323844, 0.9161458899659228
optdigits, 5620, 64, IG, , , 39, 38.11808014775858, NB, , , 0.08380782918149467, 0.9178643162601251, 0.9161921708185053, 0.9164799353582112
optdigits, 5620, 64, IG, , , 40, 39.02129177718607, NB, , , 0.08505338078291814, 0.9164807871309699, 0.9149466192170819, 0.9152055534907012
optdigits, 5620, 64, IG, , , 41, 39.916181693164745, NB, , , 0.08345195729537366, 0.9182627049174457, 0.9165480427046263, 0.9168117605003852
optdigits, 5620, 64, IG, , , 42, 40.781714411922884, NB, , , 0.08469750889679716, 0.9170097042650698, 0.9153024911032028, 0.9155409432586161
optdigits, 5620, 64, IG, , , 43, 41.64900678981578, NB, , , 0.08274021352313167, 0.9187871404801544, 0.9172597864768683, 0.917477969600545
