dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
primary-tumor, 339, 17, CHI, , , 1, 1.0, NB, , , 0.7050147492625368, 0.10902360407826311, 0.2949852507374631, 0.15255156270526557
primary-tumor, 339, 17, CHI, , , 2, 1.999899161880584, NB, , , 0.6637168141592921, 0.1455121090689128, 0.336283185840708, 0.19697977564899635
primary-tumor, 339, 17, CHI, , , 3, 2.992058485083645, NB, , , 0.6519174041297935, 0.17993554877225088, 0.3480825958702065, 0.23223409560152747
primary-tumor, 339, 17, CHI, , , 4, 3.94518116851987, NB, , , 0.6371681415929203, 0.2354131931084605, 0.36283185840707965, 0.2565497640212821
primary-tumor, 339, 17, CHI, , , 5, 4.854613987387849, NB, , , 0.6135693215339233, 0.23902248412121085, 0.3864306784660767, 0.2857396667742645
primary-tumor, 339, 17, CHI, , , 6, 5.755378606585715, NB, , , 0.6106194690265486, 0.2717967823990034, 0.3893805309734513, 0.3121417369602326
primary-tumor, 339, 17, CHI, , , 7, 6.666360691262277, NB, , , 0.56047197640118, 0.37379436047972264, 0.43952802359882004, 0.39455481607691395
primary-tumor, 339, 17, CHI, , , 8, 7.581158156944497, NB, , , 0.5457227138643068, 0.3746183806339667, 0.45427728613569324, 0.40720799471003016
primary-tumor, 339, 17, CHI, , , 9, 8.469771273723074, NB, , , 0.5457227138643068, 0.3779291305107601, 0.45427728613569324, 0.40812041546257616
primary-tumor, 339, 17, CHI, , , 10, 9.363657271807844, NB, , , 0.5545722713864307, 0.37703006848503234, 0.44542772861356933, 0.4032689886896155
primary-tumor, 339, 17, CHI, , , 11, 10.257199618406375, NB, , , 0.5368731563421829, 0.39043561480063277, 0.4631268436578171, 0.4184186078551875
primary-tumor, 339, 17, CHI, , , 12, 11.072380887156605, NB, , , 0.528023598820059, 0.3963668460349877, 0.471976401179941, 0.42442376781919133
primary-tumor, 339, 17, CHI, , , 13, 11.863819378931684, NB, , , 0.49557522123893805, 0.44106948152937014, 0.504424778761062, 0.4590773107663275
primary-tumor, 339, 17, CHI, , , 14, 12.465692855869259, NB, , , 0.5014749262536873, 0.4384116437058241, 0.49852507374631266, 0.45485112215451795
primary-tumor, 339, 17, CHI, , , 15, 13.054965284638424, NB, , , 0.5014749262536873, 0.44441872273730687, 0.49852507374631266, 0.45852136239529423
primary-tumor, 339, 17, CHI, , , 16, 13.552487031542011, NB, , , 0.49557522123893805, 0.46929162381782247, 0.504424778761062, 0.46863197972242554
primary-tumor, 339, 17, CHI, , , 17, 13.810624700007738, NB, , , 0.49852507374631266, 0.4629102723630722, 0.5014749262536873, 0.4650113432965712
primary-tumor, 339, 17, IG, , , 1, 1.0, NB, , , 0.7669616519174042, 0.0745624725684131, 0.23303834808259588, 0.11165772861457038
primary-tumor, 339, 17, IG, , , 2, 1.9991687948075476, NB, , , 0.7138643067846607, 0.10643067846607669, 0.2861356932153392, 0.1520181833624262
primary-tumor, 339, 17, IG, , , 3, 2.9975826576951503, NB, , , 0.6843657817109144, 0.1787426804373037, 0.31563421828908556, 0.21018943104080468
primary-tumor, 339, 17, IG, , , 4, 3.9774120623153406, NB, , , 0.6371681415929203, 0.2354131931084605, 0.36283185840707965, 0.2565497640212821
primary-tumor, 339, 17, IG, , , 5, 4.95030600929731, NB, , , 0.6135693215339233, 0.23902248412121085, 0.3864306784660767, 0.2857396667742645
primary-tumor, 339, 17, IG, , , 6, 5.923697954303448, NB, , , 0.6106194690265486, 0.2717967823990034, 0.3893805309734513, 0.3121417369602326
primary-tumor, 339, 17, IG, , , 7, 6.891543931480919, NB, , , 0.56047197640118, 0.37379436047972264, 0.43952802359882004, 0.39455481607691395
primary-tumor, 339, 17, IG, , , 8, 7.848582241904344, NB, , , 0.5457227138643068, 0.3746183806339667, 0.45427728613569324, 0.40720799471003016
primary-tumor, 339, 17, IG, , , 9, 8.7937181611787, NB, , , 0.5457227138643068, 0.3779291305107601, 0.45427728613569324, 0.40812041546257616
primary-tumor, 339, 17, IG, , , 10, 9.721489578351333, NB, , , 0.5457227138643068, 0.3731371764916777, 0.45427728613569324, 0.4047224422060688
primary-tumor, 339, 17, IG, , , 11, 10.63357348699271, NB, , , 0.5368731563421829, 0.39043561480063277, 0.4631268436578171, 0.4184186078551875
primary-tumor, 339, 17, IG, , , 12, 11.519616984219354, NB, , , 0.528023598820059, 0.3963668460349877, 0.471976401179941, 0.42442376781919133
primary-tumor, 339, 17, IG, , , 13, 12.336453971576733, NB, , , 0.49557522123893805, 0.44106948152937014, 0.504424778761062, 0.4590773107663275
primary-tumor, 339, 17, IG, , , 14, 13.019204341170255, NB, , , 0.5014749262536873, 0.4384116437058241, 0.49852507374631266, 0.45485112215451795
primary-tumor, 339, 17, IG, , , 15, 13.708244283155633, NB, , , 0.5014749262536873, 0.44441872273730687, 0.49852507374631266, 0.45852136239529423
primary-tumor, 339, 17, IG, , , 16, 14.329720510600369, NB, , , 0.49557522123893805, 0.46929162381782247, 0.504424778761062, 0.46863197972242554
primary-tumor, 339, 17, IG, , , 17, 14.666750588277736, NB, , , 0.49852507374631266, 0.4629102723630722, 0.5014749262536873, 0.4650113432965712
primary-tumor, 339, 17, L2, , , 1, 1.0, NB, , , 0.7699115044247787, 0.09951320948852412, 0.23008849557522124, 0.13563884017780678
primary-tumor, 339, 17, L2, , , 2, 1.9772843730381864, NB, , , 0.7020648967551623, 0.10734961845894295, 0.29793510324483774, 0.15562280190434222
primary-tumor, 339, 17, L2, , , 3, 2.9162189563268965, NB, , , 0.6548672566371682, 0.20319224125825258, 0.34513274336283184, 0.2466016451023097
primary-tumor, 339, 17, L2, , , 4, 3.8511045439519727, NB, , , 0.6283185840707964, 0.25303502014579776, 0.37168141592920356, 0.29456039497149655
