dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
segment, 2310, 19, CHI, , , 1, 1.0, NB, , , 0.4316017316017316, 0.5199969294479805, 0.5683982683982683, 0.5226016160867163
segment, 2310, 19, CHI, , , 2, 1.99929893322358, NB, , , 0.4354978354978355, 0.5184802905780437, 0.5645021645021645, 0.5202907390624802
segment, 2310, 19, CHI, , , 3, 2.999001267658336, NB, , , 0.29393939393939394, 0.7174522155675986, 0.706060606060606, 0.6903085326226512
segment, 2310, 19, CHI, , , 4, 3.9982977929021972, NB, , , 0.29004329004329005, 0.7316346743488369, 0.70995670995671, 0.7045189599961976
segment, 2310, 19, CHI, , , 5, 4.9977763420981995, NB, , , 0.30952380952380953, 0.7092496995005984, 0.6904761904761905, 0.685578956272087
segment, 2310, 19, CHI, , , 6, 5.996258897504756, NB, , , 0.32857142857142857, 0.700494810106316, 0.6714285714285714, 0.6641013771783704
segment, 2310, 19, CHI, , , 7, 6.985628247868677, NB, , , 0.3229437229437229, 0.691329156319187, 0.677056277056277, 0.6731544227096422
segment, 2310, 19, CHI, , , 8, 7.970321385901832, NB, , , 0.2883116883116883, 0.7122524737057102, 0.7116883116883117, 0.707585915944963
segment, 2310, 19, CHI, , , 9, 8.957283529817964, NB, , , 0.2865800865800866, 0.7131454458964224, 0.7134199134199134, 0.7088224543658748
segment, 2310, 19, CHI, , , 10, 9.935143605790238, NB, , , 0.20562770562770563, 0.8005672897063191, 0.7943722943722944, 0.796018145740745
segment, 2310, 19, CHI, , , 11, 10.898698289201164, NB, , , 0.12943722943722943, 0.8792182761763347, 0.8705627705627705, 0.8728018083109751
segment, 2310, 19, CHI, , , 12, 11.577330741806628, NB, , , 0.16277056277056276, 0.869328539688129, 0.8372294372294372, 0.8341821999012815
segment, 2310, 19, CHI, , , 13, 12.221061949554093, NB, , , 0.18268398268398267, 0.8491806132717599, 0.8173160173160173, 0.8025066239867455
segment, 2310, 19, CHI, , , 14, 12.824478466423793, NB, , , 0.2, 0.8211789919572023, 0.8, 0.7798173469703407
segment, 2310, 19, CHI, , , 15, 13.39016430554063, NB, , , 0.20995670995670995, 0.8067042778310666, 0.79004329004329, 0.7658002616661844
segment, 2310, 19, CHI, , , 16, 13.61590755684023, NB, , , 0.2012987012987013, 0.8188046786655266, 0.7987012987012987, 0.7758324081927286
segment, 2310, 19, CHI, , , 17, 13.702656929503362, NB, , , 0.2012987012987013, 0.8162250477425173, 0.7987012987012987, 0.7769505120701684
segment, 2310, 19, CHI, , , 18, 13.772904931775177, NB, , , 0.19783549783549784, 0.8191909965156821, 0.8021645021645022, 0.7800514502664736
segment, 2310, 19, CHI, , , 19, 13.772904931775177, NB, , , 0.19783549783549784, 0.8191909965156821, 0.8021645021645022, 0.7800514502664736
segment, 2310, 19, IG, , , 1, 1.0, NB, , , 0.4316017316017316, 0.5199969294479805, 0.5683982683982683, 0.5226016160867163
segment, 2310, 19, IG, , , 2, 1.999578783434053, NB, , , 0.4354978354978355, 0.5184802905780437, 0.5645021645021645, 0.5202907390624802
segment, 2310, 19, IG, , , 3, 2.9990907000549347, NB, , , 0.4012987012987013, 0.5598851926558207, 0.5987012987012987, 0.5563496529190253
segment, 2310, 19, IG, , , 4, 3.9983674926995945, NB, , , 0.41904761904761906, 0.5409086518145779, 0.580952380952381, 0.5363496787805788
segment, 2310, 19, IG, , , 5, 4.997916786364546, NB, , , 0.30952380952380953, 0.7092496995005984, 0.6904761904761905, 0.685578956272087
segment, 2310, 19, IG, , , 6, 5.997119632776617, NB, , , 0.32857142857142857, 0.700494810106316, 0.6714285714285714, 0.6641013771783704
segment, 2310, 19, IG, , , 7, 6.987945265439802, NB, , , 0.3229437229437229, 0.691329156319187, 0.677056277056277, 0.6731544227096422
segment, 2310, 19, IG, , , 8, 7.9769579957027545, NB, , , 0.2883116883116883, 0.7122524737057102, 0.7116883116883117, 0.707585915944963
segment, 2310, 19, IG, , , 9, 8.966057593892923, NB, , , 0.2077922077922078, 0.7975990896388707, 0.7922077922077922, 0.7939931869289181
segment, 2310, 19, IG, , , 10, 9.955886953374286, NB, , , 0.20562770562770563, 0.8005672897063191, 0.7943722943722944, 0.796018145740745
segment, 2310, 19, IG, , , 11, 10.91561226892756, NB, , , 0.12943722943722943, 0.8792182761763347, 0.8705627705627705, 0.8728018083109751
segment, 2310, 19, IG, , , 12, 11.635861957286183, NB, , , 0.16277056277056276, 0.869328539688129, 0.8372294372294372, 0.8341821999012815
segment, 2310, 19, IG, , , 13, 12.337155466585354, NB, , , 0.18268398268398267, 0.8491806132717599, 0.8173160173160173, 0.8025066239867455
segment, 2310, 19, IG, , , 14, 13.015512731090162, NB, , , 0.2, 0.8211789919572023, 0.8, 0.7798173469703407
segment, 2310, 19, IG, , , 15, 13.636371132022358, NB, , , 0.20995670995670995, 0.8067042778310666, 0.79004329004329, 0.7658002616661844
segment, 2310, 19, IG, , , 16, 13.932821795146092, NB, , , 0.2012987012987013, 0.8188046786655266, 0.7987012987012987, 0.7758324081927286
segment, 2310, 19, IG, , , 17, 14.031968427648046, NB, , , 0.2012987012987013, 0.8162250477425173, 0.7987012987012987, 0.7769505120701684
segment, 2310, 19, IG, , , 18, 14.115878488077751, NB, , , 0.19783549783549784, 0.8191909965156821, 0.8021645021645022, 0.7800514502664736
segment, 2310, 19, IG, , , 19, 14.115878488077751, NB, , , 0.19783549783549784, 0.8191909965156821, 0.8021645021645022, 0.7800514502664736
segment, 2310, 19, L2, , , 1, 1.0, NB, , , 0.4666666666666667, 0.6068212350906027, 0.5333333333333333, 0.5088687706557498
segment, 2310, 19, L2, , , 2, 1.999718970494356, NB, , , 0.2670995670995671, 0.7472853531782341, 0.7329004329004329, 0.7074656135829069
segment, 2310, 19, L2, , , 3, 2.99540696727221, NB, , , 0.287012987012987, 0.7200236231079199, 0.712987012987013, 0.6953466981811823
segment, 2310, 19, L2, , , 4, 3.988193376204812, NB, , , 0.28874458874458875, 0.7312099501304944, 0.7112554112554113, 0.7047742918291751
segment, 2310, 19, L2, , , 5, 4.983091123096784, NB, , , 0.3103896103896104, 0.7100298865918713, 0.6896103896103896, 0.6855861671679466
