dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
sick, 3772, 29, CHI, , , 1, 1.0, NB, , , 0.0612407211028632, 0.8812689837154722, 0.9387592788971368, 0.9091061415492306
sick, 3772, 29, CHI, , , 2, 1.5916990455710147, NB, , , 0.03340402969247084, 0.964251570926405, 0.9665959703075292, 0.9648568980654081
sick, 3772, 29, CHI, , , 3, 2.142807709245512, NB, , , 0.03552492046659597, 0.9630399999398479, 0.9644750795334041, 0.9636419641407049
sick, 3772, 29, CHI, , , 4, 2.527464825777925, NB, , , 0.04984093319194061, 0.9522295109789775, 0.9501590668080594, 0.9511225348357683
sick, 3772, 29, CHI, , , 5, 2.840130644569755, NB, , , 0.05143160127253447, 0.95382132957201, 0.9485683987274656, 0.9508132248105378
sick, 3772, 29, CHI, , , 6, 3.0846394244646764, NB, , , 0.0535524920466596, 0.9547204038940107, 0.9464475079533404, 0.9497827683854119
sick, 3772, 29, CHI, , , 7, 3.2514215206817907, NB, , , 0.05328738069989396, 0.9545965970454136, 0.9467126193001061, 0.9499126499288675
sick, 3772, 29, CHI, , , 8, 3.3820642175195768, NB, , , 0.05646871686108165, 0.9534890956342366, 0.9435312831389183, 0.9474963679525521
sick, 3772, 29, CHI, , , 9, 3.4855971407365436, NB, , , 0.058589607635206785, 0.9528999461074674, 0.9414103923647932, 0.9459294364229357
sick, 3772, 29, CHI, , , 10, 3.5872992400018764, NB, , , 0.058589607635206785, 0.9528999461074674, 0.9414103923647932, 0.9459294364229357
sick, 3772, 29, CHI, , , 11, 3.688007045208718, NB, , , 0.05620360551431601, 0.9540971767894533, 0.943796394485684, 0.9478610832962143
sick, 3772, 29, CHI, , , 12, 3.7765378329849075, NB, , , 0.05832449628844114, 0.9527472913844867, 0.9416755037115588, 0.946054845895688
sick, 3772, 29, CHI, , , 13, 3.8656221594447167, NB, , , 0.06018027571580064, 0.9512569351591437, 0.9398197242841994, 0.9443795905822411
sick, 3772, 29, CHI, , , 14, 3.9518905494205634, NB, , , 0.059650053022269355, 0.951719227872808, 0.9403499469777307, 0.9448696382423092
sick, 3772, 29, CHI, , , 15, 4.009932776955037, NB, , , 0.0612407211028632, 0.9505935633917522, 0.9387592788971368, 0.9434828045868695
sick, 3772, 29, CHI, , , 16, 4.043018313813066, NB, , , 0.06177094379639449, 0.9503948052988717, 0.9382290562036055, 0.9430768359630957
sick, 3772, 29, CHI, , , 17, 4.076295839013762, NB, , , 0.061505832449628844, 0.9504938969191992, 0.9384941675503712, 0.9432797246958303
sick, 3772, 29, CHI, , , 18, 4.108282909163307, NB, , , 0.0612407211028632, 0.950332349731815, 0.9387592788971368, 0.9433994952621042
sick, 3772, 29, CHI, , , 19, 4.136429073111311, NB, , , 0.0612407211028632, 0.950332349731815, 0.9387592788971368, 0.9433994952621042
sick, 3772, 29, CHI, , , 20, 4.16437602932052, NB, , , 0.0612407211028632, 0.950332349731815, 0.9387592788971368, 0.9433994952621042
sick, 3772, 29, CHI, , , 21, 4.185892852413439, NB, , , 0.061505832449628844, 0.9502320272996653, 0.9384941675503712, 0.9431963906157372
sick, 3772, 29, CHI, , , 22, 4.205354089252604, NB, , , 0.06256627783669141, 0.949572349029113, 0.9374337221633086, 0.9423017889147239
sick, 3772, 29, CHI, , , 23, 4.209553708667246, NB, , , 0.061505832449628844, 0.9502320272996653, 0.9384941675503712, 0.9431963906157372
sick, 3772, 29, CHI, , , 24, 4.209746001968141, NB, , , 0.061505832449628844, 0.9502320272996653, 0.9384941675503712, 0.9431963906157372
sick, 3772, 29, CHI, , , 25, 4.209817804920719, NB, , , 0.0612407211028632, 0.950332349731815, 0.9387592788971368, 0.9433994952621042
sick, 3772, 29, CHI, , , 26, 4.209817804920719, NB, , , 0.0612407211028632, 0.950332349731815, 0.9387592788971368, 0.9433994952621042
sick, 3772, 29, CHI, , , 27, 4.209817804920719, NB, , , 0.07317073170731707, 0.9520452210264844, 0.926829268292683, 0.9359894018365571
sick, 3772, 29, CHI, , , 28, 4.209817804920719, NB, , , 0.073966065747614, 0.9512569782453671, 0.926033934252386, 0.9352570832523163
sick, 3772, 29, CHI, , , 29, 4.209817804920719, NB, , , 0.073966065747614, 0.9512569782453671, 0.926033934252386, 0.9352570832523163
sick, 3772, 29, IG, , , 1, 1.0, NB, , , 0.0612407211028632, 0.8812689837154722, 0.9387592788971368, 0.9091061415492306
sick, 3772, 29, IG, , , 2, 1.7691235423147755, NB, , , 0.03340402969247084, 0.964251570926405, 0.9665959703075292, 0.9648568980654081
sick, 3772, 29, IG, , , 3, 2.4783851944285176, NB, , , 0.03552492046659597, 0.9630399999398479, 0.9644750795334041, 0.9636419641407049
sick, 3772, 29, IG, , , 4, 3.0314438348443304, NB, , , 0.04984093319194061, 0.9522295109789775, 0.9501590668080594, 0.9511225348357683
sick, 3772, 29, IG, , , 5, 3.508778516591521, NB, , , 0.0535524920466596, 0.9518683086191996, 0.9464475079533404, 0.9487849041841682
sick, 3772, 29, IG, , , 6, 3.9660257248445334, NB, , , 0.0535524920466596, 0.9547204038940107, 0.9464475079533404, 0.9497827683854119
sick, 3772, 29, IG, , , 7, 4.254836829371384, NB, , , 0.05567338282078473, 0.9538166965620849, 0.9443266171792153, 0.948117311171994
sick, 3772, 29, IG, , , 8, 4.524425224371524, NB, , , 0.05699893955461294, 0.9532739746246928, 0.943001060445387, 0.9470834666961224
sick, 3772, 29, IG, , , 9, 4.7467210786557335, NB, , , 0.058589607635206785, 0.9528999461074674, 0.9414103923647932, 0.9459294364229357
sick, 3772, 29, IG, , , 10, 4.923821705149404, NB, , , 0.05885471898197243, 0.9520283987183582, 0.9411452810180275, 0.9454833972218575
sick, 3772, 29, IG, , , 11, 5.103023720228646, NB, , , 0.06018027571580064, 0.951775630181213, 0.9398197242841994, 0.9445426685134022
sick, 3772, 29, IG, , , 12, 5.271433467755186, NB, , , 0.06203605514316013, 0.9505597261831856, 0.9379639448568399, 0.9429568524450372
sick, 3772, 29, IG, , , 13, 5.422408754058409, NB, , , 0.059915164369035, 0.9516173756642046, 0.940084835630965, 0.9446654494791232
sick, 3772, 29, IG, , , 14, 5.520039348421347, NB, , , 0.059915164369035, 0.9518762187543285, 0.940084835630965, 0.9447466283674899
sick, 3772, 29, IG, , , 15, 5.618777716216882, NB, , , 0.060445387062566275, 0.9516756218981063, 0.9395546129374337, 0.9443389028449067
sick, 3772, 29, IG, , , 16, 5.7183024538626235, NB, , , 0.061505832449628844, 0.9504938969191992, 0.9384941675503712, 0.9432797246958303
sick, 3772, 29, IG, , , 17, 5.805103592519501, NB, , , 0.061505832449628844, 0.9504938969191992, 0.9384941675503712, 0.9432797246958303
sick, 3772, 29, IG, , , 18, 5.891192254223508, NB, , , 0.061505832449628844, 0.9504938969191992, 0.9384941675503712, 0.9432797246958303
