dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
soybean, 683, 35, CHI, , , 1, 1.0, NB, , , 0.726207906295754, 0.18307996201267498, 0.27379209370424595, 0.199390778845466
soybean, 683, 35, CHI, , , 2, 1.997327564846415, NB, , , 0.6325036603221084, 0.2834572439941625, 0.36749633967789164, 0.3005226238593073
soybean, 683, 35, CHI, , , 3, 2.9936906370687346, NB, , , 0.43191800878477304, 0.47949828142635254, 0.568081991215227, 0.4946738525063053
soybean, 683, 35, CHI, , , 4, 3.9916757824731373, NB, , , 0.3308931185944363, 0.6400283528141709, 0.6691068814055637, 0.626243464260896
soybean, 683, 35, CHI, , , 5, 4.986177369752267, NB, , , 0.27232796486090777, 0.7064663988395024, 0.7276720351390923, 0.6932283755997607
soybean, 683, 35, CHI, , , 6, 5.975785187090072, NB, , , 0.26061493411420206, 0.7366973240492131, 0.739385065885798, 0.712179690034128
soybean, 683, 35, CHI, , , 7, 6.9650819650612865, NB, , , 0.20644216691068815, 0.8121576192258536, 0.7935578330893118, 0.7699708452398404
soybean, 683, 35, CHI, , , 8, 7.945717093166811, NB, , , 0.191800878477306, 0.8283492993452467, 0.808199121522694, 0.7854022584517615
soybean, 683, 35, CHI, , , 9, 8.925456445212452, NB, , , 0.18594436310395315, 0.8327984714170227, 0.8140556368960469, 0.7910154462188458
soybean, 683, 35, CHI, , , 10, 9.890435894088712, NB, , , 0.18740849194729137, 0.8315308273968165, 0.8125915080527086, 0.7895448940366218
soybean, 683, 35, CHI, , , 11, 10.785160352816241, NB, , , 0.18740849194729137, 0.8315308273968165, 0.8125915080527086, 0.7895448940366218
soybean, 683, 35, CHI, , , 12, 11.682362501895948, NB, , , 0.17423133235724744, 0.8640209309703754, 0.8257686676427526, 0.8105964083080123
soybean, 683, 35, CHI, , , 13, 12.549293901648714, NB, , , 0.10834553440702782, 0.8790016535839126, 0.8916544655929722, 0.879370311828546
soybean, 683, 35, CHI, , , 14, 13.377091171308594, NB, , , 0.11273792093704246, 0.8737444706528757, 0.8872620790629575, 0.8747544545532457
soybean, 683, 35, CHI, , , 15, 14.212571727782732, NB, , , 0.11127379209370425, 0.8750739041230198, 0.8887262079062958, 0.8763438163750847
soybean, 683, 35, CHI, , , 16, 15.054844229505091, NB, , , 0.11273792093704246, 0.8775494684619997, 0.8872620790629575, 0.875607916497827
soybean, 683, 35, CHI, , , 17, 15.88073004511395, NB, , , 0.10834553440702782, 0.877755768367488, 0.8916544655929722, 0.8793635245793581
soybean, 683, 35, CHI, , , 18, 16.70564451358214, NB, , , 0.10980966325036604, 0.8767955546739594, 0.890190336749634, 0.8779246397796531
soybean, 683, 35, CHI, , , 19, 17.531663771924265, NB, , , 0.10834553440702782, 0.8779808018328523, 0.8916544655929722, 0.8793647923257962
