dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
vehicle, 846, 18, CHI, , , 1, 1.0, NB, , , 0.5933806146572104, 0.3413004794618622, 0.4066193853427896, 0.3256031318212746
vehicle, 846, 18, CHI, , , 2, 1.9995293500684435, NB, , , 0.5910165484633569, 0.365857226744434, 0.408983451536643, 0.3357923076944064
vehicle, 846, 18, CHI, , , 3, 2.9986663064729315, NB, , , 0.599290780141844, 0.3706416153991039, 0.40070921985815605, 0.3382985105147141
vehicle, 846, 18, CHI, , , 4, 3.990400809663529, NB, , , 0.599290780141844, 0.36912375926862834, 0.40070921985815605, 0.3381034357357252
vehicle, 846, 18, CHI, , , 5, 4.9833570081421685, NB, , , 0.5969267139479906, 0.3631328237112914, 0.4030732860520095, 0.3340934606892054
vehicle, 846, 18, CHI, , , 6, 5.891034027525455, NB, , , 0.5921985815602837, 0.3936775935231249, 0.4078014184397163, 0.3442933798014605
vehicle, 846, 18, CHI, , , 7, 6.749233534310019, NB, , , 0.5638297872340425, 0.47590655039731744, 0.43617021276595747, 0.3767359508997688
vehicle, 846, 18, CHI, , , 8, 7.607874198895902, NB, , , 0.566193853427896, 0.44433740057520055, 0.43380614657210403, 0.37595455001082106
vehicle, 846, 18, CHI, , , 9, 8.480585360990256, NB, , , 0.5638297872340425, 0.45094964029451523, 0.43617021276595747, 0.3813677990193136
vehicle, 846, 18, CHI, , , 10, 9.346731895688816, NB, , , 0.574468085106383, 0.44695181135234974, 0.425531914893617, 0.37610436911406186
vehicle, 846, 18, CHI, , , 11, 10.201005478759912, NB, , , 0.5685579196217494, 0.5005889973301233, 0.4314420803782506, 0.38120612511411883
vehicle, 846, 18, CHI, , , 12, 11.063789626503246, NB, , , 0.58274231678487, 0.45816875970768906, 0.41725768321513, 0.3687159434973657
vehicle, 846, 18, CHI, , , 13, 11.919476499137668, NB, , , 0.5898345153664303, 0.4219223207732198, 0.4101654846335697, 0.3534886280735711
vehicle, 846, 18, CHI, , , 14, 12.752261446271458, NB, , , 0.5815602836879432, 0.45056377678800164, 0.41843971631205673, 0.36683551408350384
vehicle, 846, 18, CHI, , , 15, 13.49868270020567, NB, , , 0.5874704491725768, 0.4234318925272384, 0.41252955082742315, 0.35598442110869855
vehicle, 846, 18, CHI, , , 16, 14.21516756283199, NB, , , 0.5638297872340425, 0.5049713924485961, 0.43617021276595747, 0.39408506131736937
vehicle, 846, 18, CHI, , , 17, 14.824631359836081, NB, , , 0.5555555555555556, 0.5064920982058123, 0.4444444444444444, 0.40477653765380733
vehicle, 846, 18, CHI, , , 18, 15.24973330955461, NB, , , 0.5520094562647754, 0.5095089351045429, 0.44799054373522457, 0.41336774379600766
vehicle, 846, 18, IG, , , 1, 1.0, NB, , , 0.5933806146572104, 0.3413004794618622, 0.4066193853427896, 0.3256031318212746
vehicle, 846, 18, IG, , , 2, 1.9995066272704238, NB, , , 0.5910165484633569, 0.365857226744434, 0.408983451536643, 0.3357923076944064
vehicle, 846, 18, IG, , , 3, 2.999065660379799, NB, , , 0.599290780141844, 0.3706416153991039, 0.40070921985815605, 0.3382985105147141
vehicle, 846, 18, IG, , , 4, 3.9912939467947255, NB, , , 0.5981087470449172, 0.3586155238006899, 0.40189125295508277, 0.3321670831779705
vehicle, 846, 18, IG, , , 5, 4.9832725426553806, NB, , , 0.5969267139479906, 0.3631328237112914, 0.4030732860520095, 0.3340934606892054
vehicle, 846, 18, IG, , , 6, 5.89606378399582, NB, , , 0.5921985815602837, 0.3936775935231249, 0.4078014184397163, 0.3442933798014605
vehicle, 846, 18, IG, , , 7, 6.80352588254846, NB, , , 0.5638297872340425, 0.47590655039731744, 0.43617021276595747, 0.3767359508997688
vehicle, 846, 18, IG, , , 8, 7.665174378146357, NB, , , 0.5732860520094563, 0.4513016218970129, 0.42671394799054374, 0.3723761774504145
vehicle, 846, 18, IG, , , 9, 8.537272259603688, NB, , , 0.5638297872340425, 0.45094964029451523, 0.43617021276595747, 0.3813677990193136
vehicle, 846, 18, IG, , , 10, 9.40605808895144, NB, , , 0.5626477541371159, 0.4416534174169535, 0.4373522458628842, 0.38200641758547604
vehicle, 846, 18, IG, , , 11, 10.265797994361105, NB, , , 0.5780141843971631, 0.42676521234276865, 0.4219858156028369, 0.36980504188443963
vehicle, 846, 18, IG, , , 12, 11.118432077214182, NB, , , 0.5803782505910166, 0.4260183424301171, 0.41962174940898345, 0.3718935367111291
vehicle, 846, 18, IG, , , 13, 11.973762321996482, NB, , , 0.5898345153664303, 0.4219223207732198, 0.4101654846335697, 0.3534886280735711
vehicle, 846, 18, IG, , , 14, 12.760262172795072, NB, , , 0.5815602836879432, 0.45056377678800164, 0.41843971631205673, 0.36683551408350384
vehicle, 846, 18, IG, , , 15, 13.446058741118474, NB, , , 0.5874704491725768, 0.4234318925272384, 0.41252955082742315, 0.35598442110869855
vehicle, 846, 18, IG, , , 16, 14.124464582866821, NB, , , 0.5638297872340425, 0.5049713924485961, 0.43617021276595747, 0.39408506131736937
vehicle, 846, 18, IG, , , 17, 14.717744178833593, NB, , , 0.5555555555555556, 0.5064920982058123, 0.4444444444444444, 0.40477653765380733
vehicle, 846, 18, IG, , , 18, 15.177014199710644, NB, , , 0.5520094562647754, 0.5095089351045429, 0.44799054373522457, 0.41336774379600766
vehicle, 846, 18, L2, , , 1, 1.0, NB, , , 0.6335697399527187, 0.34191689052721363, 0.3664302600472813, 0.3195440774058619
vehicle, 846, 18, L2, , , 2, 1.9985919357714916, NB, , , 0.5815602836879432, 0.4755071474157177, 0.41843971631205673, 0.34742803636261993
vehicle, 846, 18, L2, , , 3, 2.996975614859064, NB, , , 0.5803782505910166, 0.528592921056575, 0.41962174940898345, 0.3880029623155375
vehicle, 846, 18, L2, , , 4, 3.988857364618214, NB, , , 0.5531914893617021, 0.5459679307829128, 0.44680851063829785, 0.3972469294507649
vehicle, 846, 18, L2, , , 5, 4.983380824183374, NB, , , 0.5650118203309693, 0.522454110366028, 0.43498817966903075, 0.3771280861453553
vehicle, 846, 18, L2, , , 6, 5.973649754291955, NB, , , 0.5791962174940898, 0.467137829705615, 0.42080378250591016, 0.35244643873090237
vehicle, 846, 18, L2, , , 7, 6.9650588248498195, NB, , , 0.5709219858156028, 0.4718225151509595, 0.42907801418439717, 0.36739842322056876
vehicle, 846, 18, L2, , , 8, 7.948263700644352, NB, , , 0.5780141843971631, 0.4303902205119049, 0.4219858156028369, 0.3610931071176648
vehicle, 846, 18, L2, , , 9, 8.82812153599872, NB, , , 0.5839243498817966, 0.4238839862947958, 0.4160756501182033, 0.35612487793885717
vehicle, 846, 18, L2, , , 10, 9.702740179346305, NB, , , 0.5969267139479906, 0.3997183306260884, 0.4030732860520095, 0.35078410904028967
vehicle, 846, 18, L2, , , 11, 10.568375796589175, NB, , , 0.5780141843971631, 0.42676521234276865, 0.4219858156028369, 0.36980504188443963
vehicle, 846, 18, L2, , , 12, 11.44366770680185, NB, , , 0.5803782505910166, 0.4260183424301171, 0.41962174940898345, 0.3718935367111291
vehicle, 846, 18, L2, , , 13, 12.277917294536081, NB, , , 0.5898345153664303, 0.4219223207732198, 0.4101654846335697, 0.3534886280735711
vehicle, 846, 18, L2, , , 14, 13.105612894020837, NB, , , 0.5815602836879432, 0.45056377678800164, 0.41843971631205673, 0.36683551408350384
vehicle, 846, 18, L2, , , 15, 13.919324667085919, NB, , , 0.5791962174940898, 0.4358681979105529, 0.42080378250591016, 0.3688687076521938
vehicle, 846, 18, L2, , , 16, 14.740596835008793, NB, , , 0.58274231678487, 0.4291318476903112, 0.41725768321513, 0.36222971448119146
vehicle, 846, 18, L2, , , 17, 15.378121459698361, NB, , , 0.5555555555555556, 0.5064920982058123, 0.4444444444444444, 0.40477653765380733
vehicle, 846, 18, L2, , , 18, 15.88258046642574, NB, , , 0.5520094562647754, 0.5095089351045429, 0.44799054373522457, 0.41336774379600766
vehicle, 846, 18, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.6335697399527187, 0.34191689052721363, 0.3664302600472813, 0.3195440774058619
vehicle, 846, 18, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.6335697399527187, 0.34191689052721363, 0.3664302600472813, 0.3195440774058619
vehicle, 846, 18, PAS, 0.03, 0.6, 1, NaN, NB, , , 0.66548463356974, 0.34158082534266415, 0.33451536643026003, 0.302305513862329
vehicle, 846, 18, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.6217494089834515, 0.3736225153956193, 0.37825059101654845, 0.35067732039371313
vehicle, 846, 18, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.624113475177305, 0.29199019128482406, 0.375886524822695, 0.3251381706171047
vehicle, 846, 18, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.624113475177305, 0.29199019128482406, 0.375886524822695, 0.3251381706171047
vehicle, 846, 18, PAS, 0.05, 0.6, 1, NaN, NB, , , 0.5709219858156028, 0.5354666679347456, 0.42907801418439717, 0.3776586732413325
vehicle, 846, 18, PAS, 0.05, 0.8, 1, NaN, NB, , , 0.624113475177305, 0.29199019128482406, 0.375886524822695, 0.3251381706171047
vehicle, 846, 18, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.6335697399527187, 0.34191689052721363, 0.3664302600472813, 0.3195440774058619
vehicle, 846, 18, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.6335697399527187, 0.34191689052721363, 0.3664302600472813, 0.3195440774058619
