dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
waveform, 5000, 40, CHI, , , 1, 1.0, NB, , , 0.4336, 0.5068790732612335, 0.5664, 0.5063924250587294
waveform, 5000, 40, CHI, , , 2, 1.9994829685629159, NB, , , 0.3714, 0.6087167065162618, 0.6286, 0.5869317844110077
waveform, 5000, 40, CHI, , , 3, 2.9984877772616305, NB, , , 0.3484, 0.6361695941656729, 0.6516, 0.6171045492489619
waveform, 5000, 40, CHI, , , 4, 3.9979033448878223, NB, , , 0.3256, 0.6704354612938694, 0.6744, 0.641293591913642
waveform, 5000, 40, CHI, , , 5, 4.994085109182727, NB, , , 0.3248, 0.6630249211666562, 0.6752, 0.6416068204607949
waveform, 5000, 40, CHI, , , 6, 5.99019267207352, NB, , , 0.2998, 0.7052739848749869, 0.7002, 0.6702284983500587
waveform, 5000, 40, CHI, , , 7, 6.9864870334665445, NB, , , 0.3052, 0.6927554583283004, 0.6948, 0.6627031859441266
waveform, 5000, 40, CHI, , , 8, 7.9835009805829165, NB, , , 0.2926, 0.717713437316982, 0.7074, 0.6753243436502181
waveform, 5000, 40, CHI, , , 9, 8.979397631755877, NB, , , 0.269, 0.7543841556816511, 0.731, 0.7025290795920579
waveform, 5000, 40, CHI, , , 10, 9.975105327430612, NB, , , 0.2606, 0.76876546148017, 0.7394, 0.7118009450594803
waveform, 5000, 40, CHI, , , 11, 10.97097003625749, NB, , , 0.224, 0.8180948564122323, 0.776, 0.7569796120306742
waveform, 5000, 40, CHI, , , 12, 11.953123785139043, NB, , , 0.2098, 0.8293524590881843, 0.7902, 0.7747629988003064
waveform, 5000, 40, CHI, , , 13, 12.936441741884968, NB, , , 0.1928, 0.8409747752643784, 0.8072, 0.7954881704223843
waveform, 5000, 40, CHI, , , 14, 13.8830541511321, NB, , , 0.1944, 0.8398004219575432, 0.8056, 0.7935013335047791
waveform, 5000, 40, CHI, , , 15, 14.83334768383063, NB, , , 0.1988, 0.8351367499961537, 0.8012, 0.7891008927196628
waveform, 5000, 40, CHI, , , 16, 15.61035769193987, NB, , , 0.1984, 0.8354927447289134, 0.8016, 0.7894560242583578
waveform, 5000, 40, CHI, , , 17, 16.36948058173841, NB, , , 0.201, 0.8339604332259787, 0.799, 0.7868952817712754
waveform, 5000, 40, CHI, , , 18, 16.806111475684503, NB, , , 0.2016, 0.8330517799721436, 0.7984, 0.7861951819080708
waveform, 5000, 40, CHI, , , 19, 17.18950506168971, NB, , , 0.1992, 0.835381178524216, 0.8008, 0.7885708378258831
waveform, 5000, 40, CHI, , , 20, 17.18950506168971, NB, , , 0.1992, 0.8353827679490405, 0.8008, 0.7885711351207949
waveform, 5000, 40, CHI, , , 21, 17.18950506168971, NB, , , 0.1996, 0.835124717527867, 0.8004, 0.7880786423387519
waveform, 5000, 40, CHI, , , 22, 17.18950506168971, NB, , , 0.1992, 0.8353827679490405, 0.8008, 0.7885711351207949
waveform, 5000, 40, CHI, , , 23, 17.18950506168971, NB, , , 0.1994, 0.8352202645718582, 0.8006, 0.7883924973086416
waveform, 5000, 40, CHI, , , 24, 17.18950506168971, NB, , , 0.2, 0.8345241712151815, 0.8, 0.7877738693608528
