dataset, numInstances, numAttributes, evalMethod, evalSupport, evalConfidence, numAttributesToSelect, attributeEntropy, classifier, support, confidence, errorRate, precision, recall, fMeasure
zoo, 101, 17, CHI, , , 1, 1.0, NB, , , 0.594059405940594, 0.1647877659053034, 0.40594059405940597, 0.2344163993864176
zoo, 101, 17, CHI, , , 2, 1.7655982224888407, NB, , , 0.26732673267326734, 0.7044790543714349, 0.7326732673267327, 0.6795010884067129
zoo, 101, 17, CHI, , , 3, 2.3467284570083855, NB, , , 0.15841584158415842, 0.8588893671975893, 0.8415841584158416, 0.8113172076701342
zoo, 101, 17, CHI, , , 4, 2.980184717786237, NB, , , 0.13861386138613863, 0.8654900272635959, 0.8613861386138614, 0.840171521672963
zoo, 101, 17, CHI, , , 5, 3.6573580920230686, NB, , , 0.13861386138613863, 0.8654900272635959, 0.8613861386138614, 0.840171521672963
zoo, 101, 17, CHI, , , 6, 4.343213557187423, NB, , , 0.09900990099009901, 0.8808059753343757, 0.900990099009901, 0.8832231482641936
zoo, 101, 17, CHI, , , 7, 5.045664959772549, NB, , , 0.07920792079207921, 0.8935466760961812, 0.9207920792079208, 0.9015652523106716
zoo, 101, 17, CHI, , , 8, 5.754118544389658, NB, , , 0.09900990099009901, 0.881926764104982, 0.900990099009901, 0.8837163830715452
zoo, 101, 17, CHI, , , 9, 6.478893799397557, NB, , , 0.07920792079207921, 0.909388260254597, 0.9207920792079208, 0.9109633791838372
zoo, 101, 17, CHI, , , 10, 7.186633436899285, NB, , , 0.0594059405940594, 0.9493635077793494, 0.9405940594059405, 0.9398372025267626
zoo, 101, 17, CHI, , , 11, 7.862873568151009, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, CHI, , , 12, 8.550297921712035, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, CHI, , , 13, 9.135197837413044, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.9509723800839271
zoo, 101, 17, CHI, , , 14, 9.658280220837547, NB, , , 0.039603960396039604, 0.9679455445544555, 0.9603960396039604, 0.9597596828648383
zoo, 101, 17, CHI, , , 15, 10.002695223699119, NB, , , 0.039603960396039604, 0.9679455445544555, 0.9603960396039604, 0.9597596828648383
zoo, 101, 17, CHI, , , 16, 10.256808755051564, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, CHI, , , 17, 10.383904829614403, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, IG, , , 1, 1.0, NB, , , 0.594059405940594, 0.1647877659053034, 0.40594059405940597, 0.2344163993864176
zoo, 101, 17, IG, , , 2, 1.9154873589698673, NB, , , 0.26732673267326734, 0.7044790543714349, 0.7326732673267327, 0.6795010884067129
zoo, 101, 17, IG, , , 3, 2.7908144411723357, NB, , , 0.15841584158415842, 0.8588893671975893, 0.8415841584158416, 0.8113172076701342
zoo, 101, 17, IG, , , 4, 3.6669137953981075, NB, , , 0.13861386138613863, 0.8509685751183814, 0.8613861386138614, 0.8399200679561627
zoo, 101, 17, IG, , , 5, 4.5585065774115785, NB, , , 0.1188118811881188, 0.8566006600660068, 0.8811881188118812, 0.8552544143303219
zoo, 101, 17, IG, , , 6, 5.456825239194346, NB, , , 0.13861386138613863, 0.8489948994899491, 0.8613861386138614, 0.8390556958046619
zoo, 101, 17, IG, , , 7, 6.343072927248413, NB, , , 0.13861386138613863, 0.8489948994899491, 0.8613861386138614, 0.8390556958046619
zoo, 101, 17, IG, , , 8, 7.226516656832826, NB, , , 0.09900990099009901, 0.881926764104982, 0.900990099009901, 0.8837163830715452
zoo, 101, 17, IG, , , 9, 8.093488546056188, NB, , , 0.07920792079207921, 0.909388260254597, 0.9207920792079208, 0.9109633791838372
zoo, 101, 17, IG, , , 10, 8.90382848067961, NB, , , 0.06930693069306931, 0.9131600660066007, 0.9306930693069307, 0.9191106179583476
zoo, 101, 17, IG, , , 11, 9.705910738477357, NB, , , 0.06930693069306931, 0.9131600660066007, 0.9306930693069307, 0.9191106179583476
zoo, 101, 17, IG, , , 12, 10.518966878850042, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, IG, , , 13, 11.27888998116238, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.9509723800839271
zoo, 101, 17, IG, , , 14, 11.965159075786575, NB, , , 0.039603960396039604, 0.9679455445544555, 0.9603960396039604, 0.9597596828648383
zoo, 101, 17, IG, , , 15, 12.385264578957427, NB, , , 0.039603960396039604, 0.9679455445544555, 0.9603960396039604, 0.9597596828648383
zoo, 101, 17, IG, , , 16, 12.72039893034597, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, IG, , , 17, 12.938517384640608, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, L2, , , 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, L2, , , 2, 1.997341700088805, NB, , , 0.39603960396039606, 0.47422328439740524, 0.6039603960396039, 0.5074892104595075
zoo, 101, 17, L2, , , 3, 2.990504478357169, NB, , , 0.3564356435643564, 0.5584891822515584, 0.6435643564356436, 0.5657836053875658
zoo, 101, 17, L2, , , 4, 3.9525480473981314, NB, , , 0.2376237623762376, 0.6621404997642623, 0.7623762376237624, 0.6921142089070645
zoo, 101, 17, L2, , , 5, 4.912675689831764, NB, , , 0.13861386138613863, 0.8489948994899491, 0.8613861386138614, 0.8390556958046619
zoo, 101, 17, L2, , , 6, 5.817019444005074, NB, , , 0.13861386138613863, 0.8489948994899491, 0.8613861386138614, 0.8390556958046619
zoo, 101, 17, L2, , , 7, 6.621799731077676, NB, , , 0.1188118811881188, 0.857897218293258, 0.8811881188118812, 0.8557921151592283
zoo, 101, 17, L2, , , 8, 7.424081379137029, NB, , , 0.07920792079207921, 0.8944444444444445, 0.9207920792079208, 0.903332268710742
zoo, 101, 17, L2, , , 9, 8.239098341820267, NB, , , 0.06930693069306931, 0.8958195819581958, 0.9306930693069307, 0.9097013266691695
zoo, 101, 17, L2, , , 10, 9.00302732535698, NB, , , 0.04950495049504951, 0.9131600660066007, 0.9504950495049505, 0.9292591328098329
zoo, 101, 17, L2, , , 11, 9.746806248344738, NB, , , 0.039603960396039604, 0.9738330975954739, 0.9603960396039604, 0.9582037568836248
zoo, 101, 17, L2, , , 12, 10.446534790411361, NB, , , 0.0594059405940594, 0.9588932107496465, 0.9405940594059405, 0.9392519223238655
zoo, 101, 17, L2, , , 13, 11.154255219229757, NB, , , 0.039603960396039604, 0.9679455445544555, 0.9603960396039604, 0.9597596828648383
zoo, 101, 17, L2, , , 14, 11.480852984248722, NB, , , 0.039603960396039604, 0.9679455445544555, 0.9603960396039604, 0.9597596828648383
zoo, 101, 17, L2, , , 15, 11.740160267513614, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, L2, , , 16, 11.939898122412016, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, L2, , , 17, 12.064436660892829, NB, , , 0.04950495049504951, 0.9626650165016503, 0.9504950495049505, 0.947399161098376
zoo, 101, 17, PAS, 0.03, 0.2, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.03, 0.3, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.03, 0.6, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.03, 0.8, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.05, 0.2, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.05, 0.3, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.05, 0.6, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.05, 0.8, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.08, 0.2, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.08, 0.3, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.08, 0.6, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.08, 0.8, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.1, 0.2, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.1, 0.3, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.1, 0.6, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.1, 0.8, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.15, 0.2, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.15, 0.3, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.15, 0.6, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.15, 0.8, 1, 1.0, NB, , , 0.39603960396039606, 0.47194719471947194, 0.6039603960396039, 0.504950495049505
zoo, 101, 17, PAS, 0.03, 0.2, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.03, 0.3, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.03, 0.6, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.03, 0.8, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.05, 0.2, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.05, 0.3, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.05, 0.6, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.05, 0.8, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.08, 0.2, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.08, 0.3, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.08, 0.6, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.08, 0.8, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.1, 0.2, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.1, 0.3, 2, 1.7910659987540885, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.1, 0.6, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.1, 0.8, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.15, 0.2, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.15, 0.3, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.15, 0.6, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.15, 0.8, 2, 1.4934706709827172, NB, , , 0.26732673267326734, 0.6457920792079207, 0.7326732673267327, 0.667102559312535
zoo, 101, 17, PAS, 0.03, 0.2, 3, 2.361912564069167, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.03, 0.3, 3, 2.361912564069167, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.03, 0.6, 3, 1.8748202112801535, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.03, 0.8, 3, 1.8748202112801535, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.05, 0.2, 3, 2.361912564069167, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.05, 0.3, 3, 2.361912564069167, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.05, 0.6, 3, 1.8748202112801535, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.05, 0.8, 3, 1.8748202112801535, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
zoo, 101, 17, PAS, 0.08, 0.2, 3, 2.361912564069167, NB, , , 0.16831683168316833, 0.7693436010267694, 0.8316831683168316, 0.7861921327267861
